round_shots,400,300,200,200,100,100
round_queries,400,900,2200,8200,18900,278900
round_k,1,5,20,94,324,1394
round_shots,400,300,100,200,100,100,100
round_queries,400,900,1100,6600,13700,48100,690500
round_k,1,5,16,68,240,796,3452
round_shots,600,400,300,300,200,100
round_queries,600,1200,3300,14700,36200,292300
round_k,1,5,24,90,385,1461
round_shots,700,500,200,200,100,100
round_queries,700,1500,3000,11000,21500,320100
round_k,1,7,27,107,394,1600
round_shots,400,300,200,100,100,100,100
round_queries,400,900,2200,4500,14100,51500,843500
round_k,1,5,22,70,257,1024,4217
round_shots,500,300,200,200,100,100
round_queries,500,900,2200,8200,18500,276300
round_k,1,5,20,92,324,1381
round_shots,400,400,200,200,100,100,100
round_queries,400,1200,2200,8200,16300,55900,934300
round_k,1,5,20,81,279,1046,4671
round_shots,700,500,200,200,100,100,100
round_queries,700,1500,2200,8200,18100,60700,993900
round_k,1,5,20,90,303,1096,4969
round_shots,400,300,200,200,100,200,100
round_queries,400,900,2200,7400,15900,100200,776100
round_k,1,5,18,79,250,931,3880
round_shots,500,400,200,100,100,100,100
round_queries,500,1200,2200,3700,11100,38100,544300
round_k,1,5,18,55,190,657,2721
round_shots,500,300,200,200,100,100,100
round_queries,500,900,2200,8200,16300,58500,1009100
round_k,1,5,20,81,292,1157,5045
round_shots,300,300,200,200,100,100
round_queries,300,900,2200,8200,18900,249700
round_k,1,5,20,94,335,1248
round_shots,500,300,200,200,100,100
round_queries,500,900,2200,8200,18900,338900
round_k,1,5,20,94,348,1694
round_shots,500,500,200,100,200,200,100
round_queries,500,1500,2200,3700,23800,100600,715700
round_k,1,5,18,59,251,963,3578
round_shots,500,300,200,200,100,100
round_queries,500,900,2200,8200,18500,299300
round_k,1,5,20,92,324,1496
round_shots,300,600,200,100,100,100
round_queries,300,1800,3000,6300,21500,309300
round_k,1,7,31,107,396,1546
round_shots,400,400,200,100,100,100,100
round_queries,400,1200,2200,3700,11100,36300,412700
round_k,1,5,18,55,181,662,2063
round_shots,600,300,200,200,300,100
round_queries,600,900,2200,8200,52500,234500
round_k,1,5,20,87,340,1172
round_shots,400,300,200,100,100,200,100
round_queries,400,900,2200,3700,11500,75000,667500
round_k,1,5,18,57,187,757,3337
round_shots,600,400,200,200,100,100,100
round_queries,600,1200,2200,8200,18500,61900,676500
round_k,1,5,20,92,309,1064,3382
round_shots,500,300,200,200,100,100,100
round_queries,500,900,2200,8200,16700,55500,794300
round_k,1,5,20,83,277,896,3971
round_shots,400,300,200,200,100,100,100
round_queries,400,900,2200,8200,16300,56300,888300
round_k,1,5,20,81,281,1065,4441
round_shots,400,300,200,200,100,100,100
