round_shots,400,100,100,100
round_queries,700,3700,17500
round_k,0.1,3,18,87
round_shots,400,100,100,100
round_queries,900,3700,17100
round_k,0.1,4,18,85
round_shots,100,100,100,100,100
round_queries,300,1300,6100,31100
round_k,0.1,1,6,30,155
round_shots,100,100,100,100,100
round_queries,300,1300,6100,28500
round_k,0.1,1,6,30,142
round_shots,100,100,100,100,100
round_queries,300,1500,6300,32500
round_k,0.1,1,7,31,162
round_shots,100,100,100,100,100
round_queries,300,1100,4100,20900
round_k,0.1,1,5,20,104
round_shots,300,100,100,100,100
round_queries,300,1100,5100,23500
round_k,0.1,1,5,25,117
round_shots,200,100,100,100,100
round_queries,300,1300,6300,29900
round_k,0.1,1,6,31,149
round_shots,200,100,100,100,100
round_queries,300,1300,5100,24900
round_k,0.1,1,6,25,124
round_shots,200,100,100,100,100
round_queries,300,1300,6300,32500
round_k,0.1,1,6,31,162
round_shots,200,100,100,100,100
round_queries,300,1300,5100,24300
round_k,0.1,1,6,25,121
round_shots,200,100,100,100,100
round_queries,300,1300,6300,32500
round_k,0.1,1,6,31,162
round_shots,100,100,100,100,100
round_queries,300,1300,5900,31100
round_k,0.1,1,6,29,155
round_shots,100,100,100,100,100
round_queries,500,2500,12300,63300
round_k,0.1,2,12,61,316
round_shots,100,100,100,100,100
round_queries,300,1300,5700,28500
round_k,0.1,1,6,28,142
round_shots,100,200,100,100,100
round_queries,600,1700,7700,37500
round_k,0.1,1,8,38,187
round_shots,200,100,100,100,100
round_queries,300,1100,4900,24700
round_k,0.1,1,5,24,123
round_shots,200,100,100,100,100
round_queries,300,1300,5100,26300
round_k,0.1,1,6,25,131
round_shots,200,100,100,100,100
round_queries,300,1300,6100,30900
round_k,0.1,1,6,30,154
round_shots,200,100,100,100,100
round_queries,300,1300,4900,24900
round_k,0.1,1,6,24,124
round_shots,100,100,100,100,100
round_queries,300,1300,6100,31300
round_k,0.1,1,6,30,156
round_shots,200,100,100,100,100
round_queries,300,1300,4900,23700
round_k,0.1,1,6,24,118
round_shots,100,100,100,100,100
round_queries,300,1100,4900,23100
round_k,0.1,1,5,24,115
round_shots,200,100,100,100,100
round_queries,300,1300,6100,31100
round_k,0.1,1,6,30,155
round_shots,100,100,100,100,100
round_queries,300,1300,6300,29900
round_k,0.1,1,6,31,149
round_shots,200,100,100,100,100
round_queries,300,1500,6300,32100
round_k,0.1,1,7,31,160
round_shots,100,200,100,100,100
round_queries,600,1700,7300,35900
round_k,0.1,1,8,36,179
round_shots,200,100,100,100
round_queries,700,3500,16300
round_k,0.1,3,17,81
round_shots,300,100,100,100
round_queries,700,3700,18700
round_k,0.1,3,18,93
round_shots,200,200,100,100,100
round_queries,600,1500,7500,35900
round_k,0.1,1,7,37,179
round_shots,100,100,100,100,100
round_queries,300,1500,7500,38900
round_k,0.1,1,7,37,194
round_shots,200,100,100,100,100
round_queries,300,1100,5100,24500
round_k,0.1,1,5,25,122
round_shots,100,100,100,100,100
round_queries,300,1300,6300,33500
round_k,0.1,1,6,31,167
round_shots,200,100,100,100,100
round_queries,300,1500,6300,31100
round_k,0.1,1,7,31,155
round_shots,100,100,100,100,100
round_queries,300,1300,6100,30100
round_k,0.1,1,6,30,150
round_shots,200,100,100,100,100
round_queries,300,1300,6300,32300
round_k,0.1,1,6,31,161
round_shots,200,100,100,100,100
round_queries,300,1300,6100,32300
round_k,0.1,1,6,30,161
round_shots,200,100,100,100,100
round_queries,300,1100,5100,24700
round_k,0.1,1,5,25,123
round_shots,100,100,100,100,100
round_queries,300,1300,6300,32500
round_k,0.1,1,6,31,162
round_shots,200,100,100,100,100
round_queries,300,1300,6300,33500
round_k,0.1,1,6,31,167
round_shots,100,100,100,100,100
round_queries,300,1100,4700,22100
round_k,0.1,1,5,23,110
round_shots,300,100,100,100,100
round_queries,300,1300,5900,29700
round_k,0.1,1,6,29,148
round_shots,100,100,100,100,100
round_queries,300,1300,5300,27300
round_k,0.1,1,6,26,136
round_shots,300,100,100,100,100
round_queries,300,1300,6100,28300
round_k,0.1,1,6,30,141
round_shots,300,100,100,100,100
round_queries,300,1300,5100,23700
round_k,0.1,1,6,25,118
round_shots,400,200,100,100,100
round_queries,600,1500,7300,37100
round_k,0.1,1,7,36,185
round_shots,300,100,100,100,100
round_queries,300,1300,5100,24700
round_k,0.1,1,6,25,123
round_shots,100,100,100,100,100
round_queries,300,1100,5300,24700
round_k,0.1,1,5,26,123
round_shots,100,100,100,100,100
round_queries,300,1300,6300,29700
round_k,0.1,1,6,31,148
round_shots,100,100,100,100,100
round_queries,300,1300,6300,29500
round_k,0.1,1,6,31,147
round_shots,400,100,100,100,100
round_queries,300,1300,4900,23500
round_k,0.1,1,6,24,117
round_shots,200,100,100,100,100
round_queries,300,1100,4900,22900
round_k,0.1,1,5,24,114
round_shots,200,100,100,100,100
round_queries,300,1300,5900,29700
round_k,0.1,1,6,29,148
round_shots,200,100,100,100,100
round_queries,300,1100,4700,22300
round_k,0.1,1,5,23,111
round_shots,100,100,100,100,100
round_queries,300,1500,7300,36900
round_k,0.1,1,7,36,184
round_shots,200,100,100,100,100
round_queries,300,1100,4900,23700
round_k,0.1,1,5,24,118
round_shots,200,100,100,100,100
round_queries,300,1300,5100,26300
round_k,0.1,1,6,25,131
round_shots,100,100,100,100,100
round_queries,300,1300,6300,31100
round_k,0.1,1,6,31,155
round_shots,200,100,100,100,100
round_queries,300,1300,5900,29900
round_k,0.1,1,6,29,149
round_shots,200,100,100,100,100
round_queries,300,1300,6300,31100
round_k,0.1,1,6,31,155
round_shots,100,100,100,100,100
round_queries,300,1100,5100,26100
round_k,0.1,1,5,25,130
round_shots,100,100,100,100,100
round_queries,300,1100,5100,24900
round_k,0.1,1,5,25,124
round_shots,100,100,100,100,100
round_queries,300,1300,6700,35100
round_k,0.1,1,6,33,175
round_shots,400,100,100,100
round_queries,900,3700,19900
round_k,0.1,4,18,99
round_shots,300,100,100,100,100
round_queries,300,1100,5100,23300
round_k,0.1,1,5,25,116
round_shots,200,100,100,100,100
round_queries,300,1100,5500,28700
round_k,0.1,1,5,27,143
round_shots,100,100,100,100,100
round_queries,300,1100,4900,23700
round_k,0.1,1,5,24,118
round_shots,300,100,100,100,100
round_queries,300,1500,7500,36300
round_k,0.1,1,7,37,181
round_shots,100,100,100,100,100
round_queries,300,1300,5900,28700
round_k,0.1,1,6,29,143
round_shots,300,100,100,100,100
round_queries,300,1300,5100,26100
round_k,0.1,1,6,25,130
round_shots,200,200,100,100,100
round_queries,600,1500,7500,37500
round_k,0.1,1,7,37,187
round_shots,200,100,100,100,100
round_queries,300,1300,6100,28700
round_k,0.1,1,6,30,143
round_shots,100,100,100,100,100
round_queries,300,1100,4900,24700
round_k,0.1,1,5,24,123
round_shots,400,100,100,100
round_queries,900,3700,18500
round_k,0.1,4,18,92
round_shots,100,100,100,100,100
round_queries,300,1500,6300,32300
