round_shots,500,400,200,100
round_queries,500,1200,2200,19900
round_k,1,5,23,99
round_shots,700,300,100,100,100
round_queries,700,900,1100,3700,48500
round_k,1,5,18,67,242
round_shots,200,400,200,100,100
round_queries,200,1200,2600,5100,73500
round_k,1,6,25,86,367
round_shots,400,400,200,100,100
round_queries,400,1200,2200,3900,49500
round_k,1,5,19,61,247
round_shots,500,400,200,100,100
round_queries,500,1200,2200,3900,46100
round_k,1,5,19,61,230
round_shots,400,300,200,200,100
round_queries,400,900,2200,7800,73500
round_k,1,5,19,86,367
round_shots,900,300,100,100
round_queries,900,2700,2700,34500
round_k,4,13,43,172
round_shots,600,400,200,100,100
round_queries,600,1200,2200,4900,70700
round_k,1,5,24,87,353
round_shots,200,400,200,100
round_queries,200,1200,2200,17500
round_k,1,5,24,87
round_shots,500,400,200,100
round_queries,500,1200,2600,22500
round_k,1,6,30,112
round_shots,500,400,200,100
round_queries,500,1200,2600,23500
round_k,1,6,30,117
round_shots,700,400,100,100,100
round_queries,700,1200,1300,3900,50900
round_k,1,6,19,62,254
round_shots,200,400,200,100,100
round_queries,200,1200,2200,4900,70900
round_k,1,5,24,80,354
round_shots,600,400,200,100,100
round_queries,600,1200,2200,3900,57300
round_k,1,5,19,68,286
round_shots,400,300,200,100,100
round_queries,400,900,2200,3900,49500
round_k,1,5,19,61,247
round_shots,300,300,200,200,100
round_queries,300,900,1800,5400,46100
round_k,1,4,13,55,230
round_shots,400,400,200,100
round_queries,400,1200,2600,22300
round_k,1,6,31,111
round_shots,400,400,200,200,100
round_queries,400,1200,2200,7800,72100
round_k,1,5,19,85,360
round_shots,400,300,200,100,100
round_queries,400,900,2200,3900,48500
round_k,1,5,19,69,242
round_shots,200,400,200,100,100
round_queries,200,1200,2200,4900,74500
round_k,1,5,24,87,372
round_shots,100,400,200,100
round_queries,100,1200,2200,19900
round_k,1,5,23,99
round_shots,500,300,200,100,100
round_queries,500,900,2200,4900,66100
round_k,1,5,24,80,330
round_shots,500,400,200,100,100
round_queries,500,1200,2600,6100,66100
round_k,1,6,30,104,330
round_shots,400,400,300,100,100
round_queries,400,1200,2700,3700,40900
round_k,1,4,18,56,204
round_shots,200,400,200,100,100
round_queries,200,1200,2200,4900,54500
round_k,1,5,24,75,272
round_shots,300,300,200,100,100
round_queries,300,900,2200,3900,43700
round_k,1,5,19,61,218
round_shots,300,300,200,100
round_queries,300,900,2600,19900
round_k,1,6,30,99
round_shots,400,300,200,100
round_queries,400,900,2200,17500
round_k,1,5,24,87
round_shots,300,400,100,100,100
round_queries,300,1200,1300,3900,55700
round_k,1,6,19,68,278
round_shots,500,400,200,100
round_queries,500,1200,2200,18500
round_k,1,5,24,92
round_shots,500,300,200,100,100
round_queries,500,900,2200,4900,72100
round_k,1,5,24,86,360
round_shots,400,400,200,100
round_queries,400,1200,2600,17500
round_k,1,6,24,87
round_shots,400,400,200,100,100
round_queries,400,1200,2200,3900,46100
round_k,1,5,19,61,230
round_shots,300,400,200,100,100
round_queries,300,1200,2200,5100,73500
round_k,1,5,25,79,367
round_shots,400,400,300,100,100
round_queries,400,1200,2700,2700,34900
round_k,1,4,13,43,174
round_shots,400,300,200,200,100
round_queries,400,900,2200,7800,72100
round_k,1,5,19,86,360
round_shots,600,300,100,100,100
round_queries,600,900,1100,3700,57100
round_k,1,5,18,68,285
round_shots,400,300,100,100
round_queries,400,900,1300,18700
round_k,1,6,19,93
round_shots,400,300,200,100,100
round_queries,400,900,2200,3900,43700
round_k,1,5,19,61,218
round_shots,500,300,100,200,100
round_queries,500,900,1100,7000,58700
round_k,1,5,17,68,293
round_shots,300,300,200,200,100
round_queries,300,900,2200,8200,48500
round_k,1,5,20,61,242
round_shots,500,300,200,100
round_queries,500,900,2600,23500
round_k,1,6,31,117
round_shots,400,400,200,100
round_queries,400,1200,2600,24900
round_k,1,6,29,124
round_shots,300,200,300,200,100
round_queries,300,600,2700,5400,45700
round_k,1,4,13,55,228
round_shots,300,300,300,200,100
round_queries,300,900,2700,5400,38500
round_k,1,4,13,50,192
round_shots,600,300,200,100,100
round_queries,600,900,2200,5100,73500
round_k,1,5,25,79,367
round_shots,400,400,100,100,100
round_queries,400,1200,1100,3700,71100
round_k,1,5,18,73,355
round_shots,400,400,200,100
round_queries,400,1200,2600,19900
round_k,1,6,30,99
round_shots,400,300,200,100,100
round_queries,400,900,2200,3900,43700
round_k,1,5,19,61,218
round_shots,700,400,200,100,100
round_queries,700,1200,2200,3900,54500
round_k,1,5,19,68,272
round_shots,500,400,200,100,100
round_queries,500,1200,2200,3900,52100
round_k,1,5,19,62,260
round_shots,300,400,200,100,100
round_queries,300,1200,2200,3900,50700
round_k,1,5,19,62,253
round_shots,600,300,200,100,100
round_queries,600,900,2200,5100,67300
round_k,1,5,25,86,336
round_shots,200,400,200,100,100
round_queries,200,1200,2200,3900,50700
round_k,1,5,19,61,253
round_shots,300,400,200,100,100
round_queries,300,1200,2200,4900,73300
round_k,1,5,24,86,366
round_shots,700,300,200,100,100
round_queries,700,900,2200,3900,58300
round_k,1,5,19,68,291
round_shots,300,200,200,100,100
round_queries,300,600,1800,2700,27100
round_k,1,4,13,44,135
round_shots,400,300,200,100,100
round_queries,400,900,2200,4900,74500
round_k,1,5,24,86,372
round_shots,700,400,200,100,100
round_queries,700,1200,2200,3900,45900
round_k,1,5,19,69,229
round_shots,200,400,200,100,100
round_queries,200,1200,2200,3900,48500
round_k,1,5,19,61,242
round_shots,500,400,100,200
round_queries,500,1200,1300,31800
round_k,1,6,19,79
round_shots,300,400,200,100,100
round_queries,300,1200,2200,4900,64900
round_k,1,5,24,79,324
round_shots,400,400,200,100
round_queries,400,1200,2200,18500
round_k,1,5,25,92
round_shots,400,400,200,100,100
round_queries,400,1200,2600,4900,71900
round_k,1,6,24,87,359
round_shots,200,300,200,100,100
round_queries,200,900,2200,3700,57100
round_k,1,5,18,68,285
round_shots,300,400,100,100,100
round_queries,300,1200,1300,3900,48500
round_k,1,6,19,61,242
round_shots,300,300,400,200,100
round_queries,300,900,3600,5400,50900
round_k,1,4,13,62,254
round_shots,500,400,200,100
round_queries,500,1200,2200,18500
round_k,1,5,25,92
round_shots,700,400,200,100
round_queries,700,1200,2200,18700
round_k,1,5,24,93
round_shots,300,400,200,200
round_queries,300,1200,2600,44200
round_k,1,6,31,110
round_shots,400,400,200,100,100
round_queries,400,1200,2200,3900,45900
round_k,1,5,19,69,229
round_shots,500,300,200,100,100
round_queries,500,900,2200,4900,62100
round_k,1,5,24,82,310
round_shots,200,300,300,200,100
round_queries,200,900,2700,5400,46300
round_k,1,4,13,56,231
round_shots,400,200,300,200,100
round_queries,400,600,2700,5400,43700
round_k,1,4,13,55,218
round_shots,700,300,200,100
round_queries,700,900,2200,18700
round_k,1,5,24,93
round_shots,300,400,400,200,100
round_queries,300,1200,3600,5400,43700
round_k,1,4,13,55,218
round_shots,500,400,200,200,100
round_queries,500,1200,2200,8200,50900
round_k,1,5,20,61,254
round_shots,200,400,100,200,100
round_queries,200,1200,1100,7000,58500
round_k,1,5,17,68,292
round_shots,700,400,200,100,100
round_queries,700,1200,3000,4900,61900
round_k,1,7,24,81,309
round_shots,400,400,200,100
round_queries,400,1200,2600,18700
round_k,1,6,29,93
round_shots,700,300,300,100,100
round_queries,700,900,2700,2700,29700
round_k,1,4,13,44,148
round_shots,200,300,200,100,100
round_queries,200,900,2200,5100,65900
round_k,1,5,25,95,329
round_shots,500,300,200,100
round_queries,500,900,2200,18700
round_k,1,5,24,93
round_shots,300,400,300,200,100
round_queries,300,1200,2700,5400,40700
round_k,1,4,13,56,203
round_shots,400,400,200,100,100
round_queries,400,1200,2200,4900,63300
round_k,1,5,24,81,316
round_shots,700,400,200,100,100
round_queries,700,1200,2600,5100,74700
round_k,1,6,25,86,373
round_shots,500,400,200,100
round_queries,500,1200,2600,23500
round_k,1,6,30,117
round_shots,400,400,200,200,100
round_queries,400,1200,2200,7800,73300
round_k,1,5,19,86,366
round_shots,500,300,100,100
round_queries,500,900,1300,18700
round_k,1,6,19,93
round_shots,300,300,200,100,100
round_queries,300,900,2200,4900,71900
round_k,1,5,24,87,359
round_shots,400,400,200,300,100
round_queries,400,1200,2200,12300,62300
round_k,1,5,20,74,311
round_shots,400,400,200,100,100
round_queries,400,1200,2200,3900,55900
round_k,1,5,19,68,279
round_shots,500,400,200,200,100
round_queries,500,1200,2200,8200,52100
round_k,1,5,20,61,260
round_shots,200,300,200,100,100
round_queries,200,900,2200,3900,43700
round_k,1,5,19,61,218
round_shots,400,300,200,100,100
round_queries,400,900,2200,5100,68700
round_k,1,5,25,86,343
round_shots,600,400,200,100,100
round_queries,600,1200,2200,4900,68500
round_k,1,5,24,80,342
round_shots,400,400,100,100,100
round_queries,400,1200,1300,3900,49500
round_k,1,6,19,61,247
round_shots,300,400,200,100,100
round_queries,300,1200,2200,4900,73500
round_k,1,5,24,92,367
round_shots,300,300,200,100
round_queries,300,900,2200,18700
round_k,1,5,24,93
round_shots,300,400,100,100,100
round_queries,300,1200,1300,3900,52500
round_k,1,6,19,62,262
