round_shots,100,200,200,200,100,100
round_queries,100,600,2200,9800,18500,283900
round_k,1,5,24,92,346,1419
round_shots,200,200,100,100,100,100,100
round_queries,200,600,900,2900,8700,32700,583900
round_k,1,4,14,43,163,744,2919
round_shots,100,100,200,100,200,100
round_queries,100,300,1800,4300,29400,292700
round_k,1,4,21,73,322,1463
round_shots,200,100,200,100,100,100,100
round_queries,200,300,1800,3500,13700,50500,770500
round_k,1,4,17,68,252,963,3852
round_shots,200,200,200,100,100,100
round_queries,200,600,2200,5500,18300,325500
round_k,1,5,27,91,359,1627
round_shots,100,100,100,100,200,100,100
round_queries,100,300,900,2700,19800,35700,476500
round_k,1,4,13,49,178,560,2382
round_shots,100,100,100,100,100,200,100
round_queries,100,300,900,3100,11500,87800,1014900
round_k,1,4,15,57,219,1243,5074
round_shots,100,100,200,100,100,100,100
round_queries,100,300,1800,3500,12500,50300,952500
round_k,1,4,17,62,251,1007,4762
round_shots,200,200,200,100,100,100
round_queries,200,600,2200,4900,17700,300500
round_k,1,5,24,88,330,1502
round_shots,200,100,200,100,100,100,100
round_queries,200,300,1800,3500,11900,43500,733100
round_k,1,4,17,59,217,750,3665
round_shots,200,100,200,100,100,100,100
round_queries,200,300,1800,4300,14100,60300,1419300
round_k,1,4,21,70,301,1288,7096
round_shots,100,100,100,200,100,100,100
round_queries,100,300,900,5800,13900,46900,763100
round_k,1,4,14,69,234,778,3815
round_shots,100,100,200,100,100,100,100
round_queries,100,300,1800,4300,16900,57700,824900
round_k,1,4,21,84,288,930,4124
round_shots,100,100,100,200,100,100,100
round_queries,100,300,900,6200,14100,47700,778100
round_k,1,4,15,70,238,792,3890
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,9500,31300,496500
round_k,1,4,13,47,156,553,2482
round_shots,100,100,100,100,200,100,100
round_queries,100,300,900,2700,17400,39300,645100
round_k,1,4,13,43,196,704,3225
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,2900,9300,29500,361700
round_k,1,4,14,46,147,497,1808
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1300,3900,14700,54300,840500
round_k,1,6,19,73,271,1093,4202
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2900,8900,33500,441700
round_k,1,4,14,44,167,652,2208
round_shots,200,200,200,100,100,100,100
round_queries,200,600,1800,4300,14700,47700,815900
round_k,1,4,21,73,238,827,4079
round_shots,100,100,100,200,100,100,100
round_queries,100,300,900,6200,14100,47700,848900
round_k,1,4,15,70,238,906,4244
round_shots,200,100,200,100,100,100,100
round_queries,200,300,1800,3700,11700,44700,745700
round_k,1,4,18,58,223,934,3728
round_shots,100,100,100,100,100,200,100
round_queries,100,300,900,3100,11900,83000,678700
round_k,1,4,15,59,207,1057,3393
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3100,10100,36500,441300
round_k,1,4,15,50,182,573,2206
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3100,9700,38500,705300
round_k,1,4,15,48,192,887,3526
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3700,13100,42300,825700
round_k,1,5,18,65,211,836,4128
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3100,10900,43500,449700
round_k,1,4,15,54,217,663,2248
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2900,9700,34900,400100
round_k,1,4,14,48,174,594,2000
round_shots,100,100,200,100,100,100,100
round_queries,100,300,1800,3900,15300,51900,1108900
round_k,1,4,19,76,259,1157,5544
round_shots,200,200,200,100,100,100
round_queries,200,600,2200,4100,14700,295900
round_k,1,5,20,73,284,1479
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3500,11900,45500,852700
round_k,1,5,17,59,227,861,4263
round_shots,200,200,100,100,100,100
round_queries,200,600,1300,4300,15500,313700
round_k,1,6,21,77,263,1568
round_shots,200,100,200,100,100,100,100
round_queries,200,300,1800,4300,13700,55500,1365700
round_k,1,4,21,68,277,1244,6828
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3500,13100,45900,689500
round_k,1,5,17,65,229,1073,3447
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,9500,32700,492500
round_k,1,4,13,47,163,606,2462
round_shots,200,200,100,200,100,100,100
round_queries,200,600,1300,7800,17300,67700,1169500
round_k,1,6,19,86,338,1148,5847
round_shots,200,100,100,100,200,100,100
round_queries,200,300,900,3100,21800,51300,877500
round_k,1,4,15,54,256,934,4387
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3100,9700,29700,492500
round_k,1,4,15,48,148,635,2462
round_shots,200,100,200,100,100,100,100
round_queries,200,300,1800,3900,11900,45500,760300
round_k,1,4,19,59,227,951,3801
round_shots,100,200,100,100,100,100,100
round_queries,100,600,1300,4500,17900,61300,1027300
round_k,1,6,22,89,306,1079,5136
round_shots,100,200,100,100,100,100,100
round_queries,100,600,900,2700,9900,35700,519700
round_k,1,4,13,49,178,698,2598
round_shots,100,100,100,200,100,100,100
round_queries,100,300,900,5400,12500,43700,1026100
round_k,1,4,13,62,218,961,5130
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,2700,9900,39300,641100
round_k,1,4,13,49,196,737,3205
round_shots,200,200,100,200,100,100
round_queries,200,600,900,6200,16500,308500
round_k,1,4,15,82,338,1542
round_shots,200,100,200,100,100,100,100
round_queries,200,300,1800,3900,13300,51300,847300
round_k,1,4,19,66,256,856,4236
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3100,10500,39900,618500
round_k,1,4,15,52,199,749,3092
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,2900,10100,30900,418500
round_k,1,4,14,50,154,570,2092
round_shots,100,200,100,200,100,100,100
round_queries,100,600,1300,9000,16900,69500,1174100
round_k,1,6,22,84,347,1354,5870
round_shots,100,100,200,100,100,100,100
round_queries,100,300,1800,3500,10900,33500,428500
round_k,1,4,17,54,167,685,2142
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3700,13900,44900,755700
round_k,1,5,18,69,224,990,3778
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3100,10900,45900,857100
round_k,1,4,15,54,229,1013,4285
round_shots,200,100,200,100,100,100,100
round_queries,200,300,1800,3500,10500,34900,622100
round_k,1,4,17,52,174,681,3110
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3700,12700,53900,978500
round_k,1,5,18,63,269,1032,4892
round_shots,200,200,100,100,200,100,100
round_queries,200,600,1300,4300,27400,61700,762300
