round_shots,200,200,200,200,100,100
round_queries,200,600,2200,10200,20700,348100
round_k,1,5,25,103,394,1740
round_shots,200,200,200,100,100,100
round_queries,200,600,2600,6100,21500,279900
round_k,1,6,30,107,410,1399
round_shots,200,200,200,100,100,100,100
round_queries,200,600,2200,5100,16100,49700,726900
round_k,1,5,25,80,248,953,3634
round_shots,200,200,200,200,200,100
round_queries,200,600,2200,7400,32200,270100
round_k,1,5,18,80,345,1350
round_shots,200,200,200,100,200,100,100
round_queries,200,600,2200,4100,27000,59100,619700
round_k,1,5,20,67,295,986,3098
round_shots,200,300,200,100,100,200,100
round_queries,200,900,1800,3500,11900,87400,845500
round_k,1,4,17,59,218,989,4227
round_shots,200,200,200,100,100,100
round_queries,200,600,1800,3900,12700,243100
round_k,1,4,19,63,234,1215
round_shots,200,200,200,100,200,100
round_queries,200,600,2200,4500,31000,244500
round_k,1,5,22,77,313,1222
round_shots,200,200,200,100,100,100,100
round_queries,200,600,2200,4300,13500,47500,770500
round_k,1,5,21,67,237,908,3852
round_shots,200,200,200,100,200,100
round_queries,200,600,2600,6100,39000,298100
round_k,1,6,30,97,435,1490
round_shots,200,200,100,200,200,100
round_queries,200,600,1100,7000,34200,317500
round_k,1,5,17,85,379,1587
round_shots,200,200,100,200,200,100,100
round_queries,200,600,1100,6600,22200,54500,653100
round_k,1,5,16,55,272,863,3265
round_shots,200,100,200,100,200,100,100
round_queries,200,300,1800,2900,17800,34100,402300
round_k,1,4,14,44,170,576,2011
round_shots,200,200,200,100,200,100,100
round_queries,200,600,2200,4500,27000,60900,872300
round_k,1,5,22,67,304,1018,4361
round_shots,200,200,100,200,100,100,100
round_queries,200,600,1100,7000,12900,41100,910700
round_k,1,5,17,64,205,777,4553
round_shots,200,200,200,100,100,100,100
round_queries,200,600,1800,3900,12700,38700,489700
round_k,1,4,19,63,193,692,2448
round_shots,200,200,100,100,200,100,100
round_queries,200,600,1100,3500,23800,43900,440700
round_k,1,5,17,59,219,686,2203
round_shots,200,200,300,100,100,100,100
round_queries,200,600,2700,3500,10900,34300,448500
round_k,1,4,17,54,171,579,2242
round_shots,200,100,200,200,100,100,100
round_queries,200,300,1800,5800,11700,38900,520700
round_k,1,4,14,58,194,632,2603
round_shots,200,200,200,200,200,100,100
round_queries,200,600,1800,7800,25400,46900,720300
round_k,1,4,19,63,234,945,3601
round_shots,200,200,100,100,100,200,100
round_queries,200,600,1100,3300,10700,64600,684900
round_k,1,5,16,53,161,790,3424
round_shots,200,200,200,100,200,200,100
round_queries,200,600,1800,3100,19000,65800,556700
round_k,1,4,15,47,164,780,2783
round_shots,200,200,200,100,100,100,100
round_queries,200,600,2200,4300,14100,45100,560100
round_k,1,5,21,70,225,859,2800
round_shots,200,200,200,200,200,100
round_queries,200,600,2200,7800,35000,282300
round_k,1,5,19,87,376,1411
round_shots,200,200,200,100,200,100,100
round_queries,200,600,1800,3100,19800,40300,782300
round_k,1,4,15,49,201,723,3911
round_shots,200,200,200,100,200,100,100
round_queries,200,600,1800,3900,25400,44500,674700
round_k,1,4,19,63,222,846,3373
round_shots,200,200,100,200,200,100,100
round_queries,200,600,900,5400,21800,57300,625700
round_k,1,4,13,54,286,870,3128
round_shots,200,200,200,200,100,100,100
round_queries,200,600,2600,10200,22500,67700,720300
round_k,1,6,25,112,338,1087,3601
round_shots,200,300,200,200,100,100,100
round_queries,200,900,2200,8600,19300,60100,628500
round_k,1,5,21,96,300,915,3142
round_shots,200,200,200,200,100,100
round_queries,200,600,2200,7800,18700,237100
round_k,1,5,19,93,304,1185
round_shots,200,200,200,200,200,100
round_queries,200,600,2200,9000,36200,319900
round_k,1,5,22,90,402,1599
round_shots,200,200,200,200,200,100,100
round_queries,200,600,1800,6600,27000,60900,641100
round_k,1,4,16,67,304,1018,3205
round_shots,300,200,300,200,100,100,100
round_queries,300,600,3300,7800,17500,59500,849100
round_k,1,5,19,87,297,993,4245
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,6600,11100,36700,416700
round_k,1,4,16,55,183,623,2083
round_shots,200,200,100,100,200,200,100
round_queries,200,600,1100,3500,23800,83400,595900
round_k,1,5,17,59,208,754,2979
round_shots,200,200,200,200,100,100,100
round_queries,200,600,2200,7000,15100,46300,576900
round_k,1,5,17,75,231,883,2884
round_shots,200,200,200,200,100,100,100
round_queries,200,600,2200,8600,15100,50900,789100
round_k,1,5,21,75,254,928,3945
round_shots,200,100,200,200,100,100,100
round_queries,200,300,1800,5800,10300,30900,378500
round_k,1,4,14,51,154,519,1892
round_shots,200,200,200,100,100,100,100
round_queries,200,600,2200,4300,12900,39300,524700
round_k,1,5,21,64,196,670,2623
round_shots,200,200,200,100,200,100
round_queries,200,600,2200,4500,29400,244500
round_k,1,5,22,73,313,1222
round_shots,300,200,100,200,100,100,100
round_queries,300,600,1300,7800,12100,40300,418900
round_k,1,6,19,60,201,626,2094
round_shots,200,200,200,100,100,100,100
round_queries,200,600,1800,3900,12100,38500,644300
round_k,1,4,19,60,192,725,3221
round_shots,200,200,200,200,100,200,100
round_queries,200,600,2200,8600,13500,90600,519900
round_k,1,5,21,67,226,801,2599
round_shots,200,200,200,200,100,100,100
round_queries,200,600,2200,9000,19700,67500,877500
round_k,1,5,22,98,337,1135,4387
round_shots,200,200,200,200,200,100
round_queries,200,600,1800,7000,33400,411300
round_k,1,4,17,83,358,2056
round_shots,200,200,200,200,100,100
round_queries,200,600,2200,9800,19300,246100
round_k,1,5,24,96,347,1230
round_shots,200,200,200,100,200,100,100
round_queries,200,600,2200,3500,22600,53700,677900
round_k,1,5,17,56,268,982,3389
round_shots,200,200,100,200,200,100,100
round_queries,200,600,1100,6600,28600,53100,675900
round_k,1,5,16,71,265,802,3379
round_shots,200,200,100,200,300,200,100
round_queries,200,600,1100,6600,38100,85000,662500
round_k,1,5,16,63,212,961,3312
round_shots,200,200,100,200,200,100
round_queries,200,600,1100,6600,25400,237100
round_k,1,5,16,63,304,1185
round_shots,200,200,200,200,200,100,100
round_queries,200,600,2200,7000,24200,54300,692700
round_k,1,5,17,60,271,1048,3463
round_shots,200,300,200,100,200,100
round_queries,200,900,2200,4500,29400,295900
round_k,1,5,22,73,393,1479
round_shots,200,200,200,100,100,100,100
round_queries,200,600,2200,3500,11300,41300,622100
round_k,1,5,17,56,206,706,3110
round_shots,200,200,100,100,200,200,100
round_queries,200,600,1100,3300,21400,71000,712900
round_k,1,5,16,53,177,845,3564
round_shots,200,200,200,100,100,100,100
round_queries,200,600,2200,4700,14700,51900,562900
round_k,1,5,23,73,259,901,2814
round_shots,200,200,200,100,100,100,100
round_queries,200,600,2200,3900,12100,42300,601900
round_k,1,5,19,60,211,761,3009
round_shots,200,200,100,200,100,200,100
round_queries,200,600,900,5400,9300,55800,432300
round_k,1,4,13,46,139,616,2161
round_shots,200,200,100,200,200,100,100
round_queries,200,600,900,5400,23000,56500,680100
