round_shots,700,200,100
round_queries,700,1800,17100
round_k,4,21,85
round_shots,600,100,100,100
round_queries,600,300,900,14700
round_k,1,4,16,73
round_shots,800,100,100,100
round_queries,800,700,2300,42500
round_k,3,11,44,212
round_shots,800,100,100
round_queries,800,900,15500
round_k,4,16,77
round_shots,500,100,100,100
round_queries,500,700,2500,52500
round_k,3,12,53,262
round_shots,600,100,200,100
round_queries,600,300,1800,21300
round_k,1,4,24,106
round_shots,500,100,100,100,100
round_queries,500,300,900,2700,64700
round_k,1,4,13,60,323
round_shots,700,200,100,100
round_queries,700,1400,2700,57300
round_k,3,13,57,286
round_shots,400,100,100,100
round_queries,400,700,2500,41700
round_k,3,12,44,208
round_shots,500,100,100,100
round_queries,500,700,2300,36700
round_k,3,11,41,183
round_shots,400,100,100,100
round_queries,400,700,2300,40700
round_k,3,11,44,203
round_shots,600,100,100,100,100
round_queries,600,300,900,3300,65300
round_k,1,4,16,61,326
round_shots,700,100,100,100
round_queries,700,700,2500,45700
round_k,3,12,49,228
round_shots,700,100,100,100
round_queries,700,700,2300,43900
round_k,3,11,45,219
round_shots,600,200,100
round_queries,600,1400,18100
round_k,3,19,90
round_shots,400,100,100,100
round_queries,400,700,2500,45700
round_k,3,12,44,228
round_shots,700,100,100,100
round_queries,700,700,2500,48100
round_k,3,12,48,240
round_shots,500,100,100,100
round_queries,500,700,2300,45700
round_k,3,11,48,228
round_shots,600,100,100,100
round_queries,600,700,2300,41500
round_k,3,11,41,207
round_shots,400,100,100,100
round_queries,400,500,1500,24500
round_k,2,7,28,122
round_shots,400,100,100,100
round_queries,400,700,2500,46500
round_k,3,12,45,232
round_shots,600,100,100,100,100
round_queries,600,300,900,3100,64500
round_k,1,4,15,60,322
round_shots,600,100,100,100
round_queries,600,900,3100,68100
round_k,4,15,65,340
round_shots,500,200,100,100
round_queries,500,1400,3300,64700
round_k,3,16,65,323
round_shots,400,200,100,100
round_queries,400,1400,3300,67700
round_k,3,16,65,338
round_shots,600,100,100,100
round_queries,600,300,900,14900
round_k,1,4,16,74
round_shots,500,100,100,100
round_queries,500,300,900,14900
round_k,1,4,16,74
round_shots,700,100,100,100
round_queries,700,900,3300,61900
round_k,4,16,64,309
round_shots,500,100,100,100,100
round_queries,500,300,900,3300,74300
round_k,1,4,16,70,371
round_shots,500,100,200,100
round_queries,500,300,1800,15500
round_k,1,4,20,77
round_shots,800,100,100
round_queries,800,900,15500
round_k,4,16,77
round_shots,600,100,100,100
round_queries,600,700,2500,44900
round_k,3,12,45,224
round_shots,400,100,100,100
round_queries,400,700,2300,42300
round_k,3,11,45,211
round_shots,500,100,100,100
round_queries,500,700,2500,46500
round_k,3,12,48,232
round_shots,600,200,100
round_queries,600,1400,15700
round_k,3,16,78
round_shots,600,100,100,100
round_queries,600,700,2300,45700
round_k,3,11,49,228
round_shots,600,100,100,100
round_queries,600,900,3300,59100
round_k,4,16,60,295
round_shots,400,100,100,100
round_queries,400,700,2500,57900
round_k,3,12,55,289
round_shots,400,100,100,100
round_queries,400,700,2500,49700
round_k,3,12,53,248
round_shots,800,100,100,100
round_queries,800,700,2300,36700
round_k,3,11,40,183
round_shots,600,100,100,100
round_queries,600,900,3100,68500
round_k,4,15,69,342
round_shots,600,100,100,100
round_queries,600,700,2500,53100
round_k,3,12,53,265
round_shots,400,100,200,100
round_queries,400,300,1800,14700
round_k,1,4,20,73
round_shots,300,100,200,100
round_queries,300,300,1800,22900
round_k,1,4,24,114
round_shots,700,100,100,100
round_queries,700,700,2500,45700
round_k,3,12,44,228
round_shots,500,100,100,100
round_queries,500,700,2300,48900
round_k,3,11,47,244
round_shots,600,100,100,100
round_queries,600,900,3300,64500
round_k,4,16,61,322
round_shots,500,100,100,100
round_queries,500,700,2500,50700
round_k,3,12,54,253
round_shots,300,100,100,100,100
round_queries,300,300,900,3300,58100
round_k,1,4,16,57,290
round_shots,500,100,200,100
round_queries,500,300,1800,15300
round_k,1,4,21,76
round_shots,700,100,100
round_queries,700,900,14700
round_k,4,17,73
round_shots,600,200,100,100
round_queries,600,1400,3300,74300
round_k,3,16,69,371
round_shots,500,100,100,100
round_queries,500,700,2500,46300
round_k,3,12,49,231
round_shots,500,100,100,100
round_queries,500,700,2500,51300
round_k,3,12,49,256
round_shots,700,200,100
round_queries,700,1800,15300
round_k,4,20,76
round_shots,500,100,100,100,100
round_queries,500,300,900,3100,52300
round_k,1,4,15,52,261
round_shots,800,200,100,100
round_queries,800,1400,3100,75300
round_k,3,15,69,376
round_shots,700,100,100,100
round_queries,700,700,2500,52300
round_k,3,12,49,261
