round_shots,1596,288,192,192,96,96,96
round_queries,1596,2016,4800,19008,40032,133344,1766112
round_k,3,12,49,208,694,2557,9198
round_shots,1100,200,300,300,100,100,200,100
round_queries,1100,600,2700,11700,13100,40100,249800,2167300
round_k,1,4,19,65,200,624,2493,10836
round_shots,1500,300,200,200,100,100,100
round_queries,1500,2700,6600,22600,43300,149500,2232700
round_k,4,16,56,216,747,2733,11163
round_shots,1000,200,200,200,100,100,100,100
round_queries,1000,1400,5000,16200,30300,96500,313700,4746700
round_k,3,12,40,151,482,1568,5422,23733
round_shots,1200,200,200,200,100,100,200
round_queries,1200,1800,6600,26200,55500,187100,5516200
round_k,4,16,65,277,935,3424,13790
round_shots,1000,200,200,200,300,100,100,100
round_queries,1000,1400,5000,17800,99900,113700,375900,6586500
round_k,3,12,44,166,568,1879,7347,32932
round_shots,1300,300,200,200,100,100,100,100
round_queries,1300,2100,5000,19800,41700,138100,502700,7245300
round_k,3,12,49,208,690,2513,9463,36226
round_shots,900,300,200,200,100,100,100,100
round_queries,900,2100,5000,19400,37500,120900,432300,7781300
round_k,3,12,48,187,604,2161,8622,38906
round_shots,1500,300,200,200,100,100,100,100
round_queries,1500,2100,5000,16200,31100,94700,304900,4509700
round_k,3,12,40,155,473,1524,5954,22548
round_shots,1000,300,300,200,100,100,100,100
round_queries,1000,900,2700,6600,13900,44100,149500,2235100
round_k,1,4,16,69,220,747,2790,11175
round_shots,1200,300,200,200,100,100,100
round_queries,1200,2100,5000,19400,39300,127500,1726900
round_k,3,12,48,196,637,2320,8634
round_shots,1500,300,200,200,100,100,100,100
round_queries,1500,2100,5000,17800,33500,107100,378300,5415100
round_k,3,12,44,167,535,1891,6771,27075
round_shots,1000,300,300,200,100,100,100,100
round_queries,1000,2100,6900,15000,24500,75900,256500,3592100
round_k,3,11,37,122,379,1282,4580,17960
round_shots,1500,200,200,200,100,300,100,100
round_queries,1500,1800,6600,24600,53900,493500,513900,7172500
round_k,4,16,61,269,822,2569,7960,35862
round_shots,1300,300,200,200,200,100,200,100
round_queries,1300,2700,6600,21000,72200,141300,883000,7629300
round_k,4,16,52,180,706,2207,9226,38146
round_shots,1300,300,200,200,300,100,100
round_queries,1300,2700,6600,27800,185700,270500,4504900
round_k,4,16,69,309,1352,5214,22524
round_shots,1000,300,200,200,100,100,100,100
round_queries,1000,2100,5000,16200,32700,105500,376900,5151300
round_k,3,12,40,163,527,1884,7082,25756
round_shots,1200,300,200,200,100,100,100,100
round_queries,1200,2100,5000,19400,38500,125900,445300,6935100
round_k,3,12,48,192,629,2226,8062,34675
round_shots,800,200,300,200,200,100,100,100
round_queries,800,600,2700,6600,21000,41700,137300,1952500
round_k,1,4,16,52,208,686,2500,9762
round_shots,1300,200,200,200,100,100,100
round_queries,1300,1800,6600,22600,41700,144700,2219700
