round_shots,300,300,100,100,100
round_queries,300,1500,2700,8900,173100
round_k,2,13,44,188,865
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8300,158100
round_k,2,11,41,167,790
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8500,146100
round_k,2,11,42,160,730
round_shots,500,200,100,100,100
round_queries,500,1000,2300,8300,149900
round_k,2,11,41,165,749
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,30300,672900
round_k,2,11,39,151,633,3364
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,28900,738900
round_k,2,11,39,144,679,3694
round_shots,300,100,100,100,100,100
round_queries,300,300,900,2700,8900,174900
round_k,1,4,13,44,181,874
round_shots,500,200,100,100,100
round_queries,500,1000,2300,8900,158700
round_k,2,11,44,172,793
round_shots,500,300,100,100,100
round_queries,500,1500,2700,9700,189500
round_k,2,13,48,197,947
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7900,28300,652300
round_k,2,11,39,141,616,3261
round_shots,400,300,100,100,100,100
round_queries,400,1500,2300,7500,27100,655300
round_k,2,11,37,135,614,3276
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,24700,594700
round_k,2,9,32,123,570,2973
round_shots,400,200,200,100,100
round_queries,400,1000,3800,8300,142900
round_k,2,9,41,165,714
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6500,25100,605300
round_k,2,9,32,125,570,3026
round_shots,500,100,200,100,100,100
round_queries,500,300,1800,3700,13500,267100
round_k,1,4,18,67,281,1335
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,25100,620900
round_k,2,9,32,125,581,3104
round_shots,500,200,100,100,100
round_queries,500,1000,2300,7900,143900
round_k,2,11,39,153,719
round_shots,300,300,100,100,100
round_queries,300,1500,2700,8900,152700
round_k,2,13,44,172,763
round_shots,500,100,100,100,100,100
round_queries,500,300,900,2700,9700,165300
round_k,1,4,13,48,188,826
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,23700,528100
round_k,2,9,32,118,495,2640
round_shots,500,200,100,100,100
round_queries,500,1000,2300,7900,149900
round_k,2,11,39,160,749
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,5700,21900,513300
round_k,2,9,28,109,486,2566
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,26100,626300
round_k,2,9,32,130,581,3131
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,8300,30300,699500
round_k,2,11,41,151,651,3497
round_shots,500,200,100,100,100
round_queries,500,1000,2300,8900,156300
round_k,2,11,44,165,781
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,22300,503900
round_k,2,9,30,111,486,2519
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,26100,568300
round_k,2,9,32,130,544,2841
round_shots,400,300,100,100,100
round_queries,400,1500,2700,10300,189300
round_k,2,13,51,207,946
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,23700,541300
round_k,2,9,32,118,525,2706
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8300,156300
round_k,2,11,41,174,781
round_shots,300,300,100,100,100,100
round_queries,300,1500,2300,7900,30300,724500
round_k,2,11,39,151,674,3622
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,22700,504300
round_k,2,9,30,113,484,2521
round_shots,500,200,100,100,100,100
round_queries,500,600,1300,3900,15900,343900
round_k,1,6,19,79,353,1719
round_shots,400,200,200,100,100
round_queries,400,1000,3800,8300,159100
round_k,2,9,41,171,795
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7900,29300,721700
round_k,2,11,39,146,667,3608
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8900,173700
round_k,2,11,44,181,868
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,6900,26500,660300
round_k,2,11,34,132,614,3301
round_shots,500,200,100,100,100,100
round_queries,500,1000,2300,7900,28900,714700
round_k,2,11,39,144,660,3573
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,23700,510500
round_k,2,9,30,118,493,2552
round_shots,300,200,100,100,100,100
round_queries,300,1000,1700,6500,23300,531500
round_k,2,8,32,116,507,2657
round_shots,400,300,100,100,100,100
round_queries,400,1500,2300,7900,29300,720900
round_k,2,11,39,146,676,3604
round_shots,300,300,100,100,100,100
round_queries,300,1500,2300,7900,29700,715300
round_k,2,11,39,148,665,3576
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8300,155900
round_k,2,11,41,167,779
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,23300,557900
round_k,2,9,32,116,532,2789
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,23300,504300
round_k,2,9,32,116,481,2521
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,24700,559300
round_k,2,9,32,123,525,2796
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,151700
round_k,2,11,39,165,758
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,25100,625500
round_k,2,9,32,125,581,3127
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,30700,739900
round_k,2,11,37,153,686,3699
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,26900,625100
round_k,2,11,37,134,579,3125
round_shots,400,100,200,100,100,100
round_queries,400,300,1800,4100,14900,286700
round_k,1,4,20,74,286,1433
round_shots,400,300,100,100,100
round_queries,400,1500,2700,9300,194100
round_k,2,13,46,200,970
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,5100,18100,361100
round_k,2,7,25,90,356,1805
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7500,30300,738500
round_k,2,11,37,151,679,3692
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,5100,18700,387100
round_k,2,7,25,93,388,1935
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,23700,582700
round_k,2,9,30,118,551,2913
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,26100,639900
round_k,2,9,32,130,600,3199
round_shots,400,100,200,100,100,100
round_queries,400,300,1800,4700,16300,324900
round_k,1,4,23,81,328,1624
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,31700,749100
round_k,2,11,39,158,679,3745
round_shots,300,200,200,100,100
round_queries,300,1000,3800,8300,148900
round_k,2,9,41,158,744
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,31300,753300
round_k,2,11,37,156,695,3766
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7900,29300,684100
round_k,2,11,39,146,635,3420
round_shots,500,100,100,100,100,100
round_queries,500,300,900,2700,8700,147900
round_k,1,4,13,43,167,739
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,30700,733900
round_k,2,11,39,153,676,3669
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,23300,545900
round_k,2,9,32,116,523,2729
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7500,30700,713900
round_k,2,11,37,153,663,3569
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,23700,541300
round_k,2,9,30,118,507,2706
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7900,32100,746100
round_k,2,11,39,160,696,3730
round_shots,200,100,100,100,100,100
round_queries,200,300,900,3300,11700,230900
round_k,1,4,16,58,237,1154
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,24700,563900
round_k,2,9,30,123,533,2819
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,24700,578500
round_k,2,9,32,123,537,2892
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,22300,469900
round_k,2,9,30,111,456,2349
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,27900,691100
round_k,2,11,37,139,644,3455
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,27100,632300
round_k,2,11,37,135,593,3161
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,24700,570100
round_k,2,9,30,123,539,2850
round_shots,300,300,100,100,100,100
round_queries,300,1500,2300,7500,31100,740700
round_k,2,11,37,155,688,3703
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,24700,594900
round_k,2,9,32,123,556,2974
round_shots,300,300,100,100,100,100
round_queries,300,1500,2300,7500,27500,663100
round_k,2,11,37,137,620,3315
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,145100
round_k,2,11,39,153,725
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,24300,550500
round_k,2,9,30,121,516,2752
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,25100,567700
round_k,2,9,32,125,532,2838
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,25100,611900
round_k,2,9,32,125,584,3059
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,24100,544900
round_k,2,9,30,120,516,2724
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,4700,16300,348100
round_k,2,7,23,81,342,1740
round_shots,500,300,100,100,100
round_queries,500,1500,2700,9700,170500
round_k,2,13,48,181,852
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,25100,591900
round_k,2,9,32,125,569,2959
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,21900,501700
round_k,2,9,30,109,488,2508
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,24700,611900
round_k,2,9,32,123,565,3059
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,25100,606300
round_k,2,9,32,125,569,3031
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,23300,542700
round_k,2,9,32,116,519,2713
round_shots,400,300,100,100,100,100
round_queries,400,1500,2300,6900,27900,634300
round_k,2,11,34,139,586,3171
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6900,25100,569100
round_k,2,9,34,125,537,2845
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,32100,772100
round_k,2,11,39,160,704,3860
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,22300,513300
round_k,2,9,30,111,486,2566
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,4700,16700,350700
round_k,2,7,23,83,353,1753
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,25100,603500
round_k,2,9,32,125,570,3017
round_shots,400,200,200,100,100
round_queries,400,1000,3800,8900,175300
round_k,2,9,44,190,876
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6900,26500,593700
round_k,2,9,34,132,558,2968
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,24700,585300
round_k,2,9,32,123,553,2926
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,23300,523700
round_k,2,9,32,116,495,2618
