round_shots,400,700,300,200,300,200,200,100,100
round_queries,400,2100,4500,12600,68700,175000,701000,1469900,18443300
round_k,1,7,31,114,437,1752,7349,26055,92216
round_shots,600,500,200,200,200,200,300,100,100,100
round_queries,600,1500,2200,7400,26600,99400,450900,493100,1691500,21990700
round_k,1,5,18,66,248,751,2465,8457,27816,109953
round_shots,400,500,200,200,200,200,200,200,100,100
round_queries,400,1500,2200,7400,27400,108200,462200,1744200,3776700,67456700
round_k,1,5,18,68,270,1155,4360,18883,74794,337283
round_shots,600,500,200,200,200,100,200,100,100,100
round_queries,600,1500,2200,7400,27400,56300,343000,811300,2737900,42203500
round_k,1,5,18,68,281,857,4056,13689,48774,211017
round_shots,600,400,300,300,200,200,100,100,100,100
round_queries,600,1200,3300,14100,28200,112600,247500,768300,2781300,48132500
round_k,1,5,23,70,281,1237,3841,13906,54916,240662
round_shots,500,400,200,200,200,200,100,100,100,100
round_queries,500,1200,2200,7400,23800,86600,176700,584900,1934500,22829300
round_k,1,5,18,59,216,883,2924,9672,36383,114146
round_shots,800,500,200,200,300,200,100,100,100,100
round_queries,800,1500,2200,8200,38700,103800,219700,690100,2402300,38828500
round_k,1,5,20,64,259,1098,3450,12011,44940,194142
round_shots,400,800,200,200,200,200,100,100,100,100
round_queries,400,2400,3000,9000,28200,111000,197100,620100,2159700,34014900
round_k,1,7,22,70,277,985,3100,10798,41239,170074
round_shots,800,500,200,200,200,200,100,200,100,100
round_queries,800,1500,2200,8200,27400,107400,232300,1409800,3145100,52486300
round_k,1,5,20,68,268,1161,3524,15725,59376,262431
round_shots,700,600,200,200,200,100,300,200,100,100
round_queries,700,1800,2200,8200,27400,53700,496500,1102600,2199700,30224100
round_k,1,5,20,68,268,827,2756,10998,42536,151120
round_shots,300,700,200,200,300,200,100,100,100,100
round_queries,300,2100,2200,7400,36900,85800,158900,515300,1803300,24789300
round_k,1,5,18,61,214,794,2576,9016,33260,123946
round_shots,700,500,200,200,200,200,200,100,100,100
round_queries,700,1500,2200,7400,27400,113400,505400,1010900,3575500,62387300
round_k,1,5,18,68,283,1263,5054,17877,70119,311936
round_shots,500,500,200,200,200,200,100,100,100,100
round_queries,500,1500,2200,7400,27400,111000,209300,690900,2414900,40606100
round_k,1,5,18,68,277,1046,3454,12074,46742,203030
round_shots,500,300,200,200,200,200,100,200,100,100
round_queries,500,900,2200,8200,27400,103800,214100,1414200,2693900,39395900
round_k,1,5,20,68,259,1070,3535,13469,52349,196979
round_shots,400,600,200,200,200,200,100,100,100,100
round_queries,400,1800,2200,6600,23000,92600,207100,660100,2274900,28048500
round_k,1,5,16,57,231,1035,3300,11374,41307,140242
round_shots,700,500,200,200,200,200,100,100,100,100
round_queries,700,1500,2200,7400,27400,107400,234500,791300,2746100,47603500
round_k,1,5,18,68,268,1172,3956,13730,54088,238017
round_shots,500,600,200,200,200,100,100,100,100,100
round_queries,500,1800,3000,9000,27400,56300,171500,569700,1858900,28061900
round_k,1,7,22,68,281,857,2848,9294,35010,140309
round_shots,1000,300,200,200,200,200,200,100,100,100
round_queries,1000,900,2200,7400,27400,108200,467400,1004300,3697100,53464300
round_k,1,5,18,68,270,1168,5021,18485,65735,267321
round_shots,500,400,200,200,200,200,100,100,100,100
round_queries,500,1200,2200,7400,27400,106600,219300,728700,2462700,35282500
round_k,1,5,18,68,266,1096,3643,12313,47248,176412
round_shots,800,400,200,200,200,200,100,100,200,100
round_queries,800,1200,2200,7400,27400,103800,214100,698300,4982600,41890900
round_k,1,5,18,68,259,1070,3491,12456,54623,209454
round_shots,400,400,200,300,300,200,100,200,100,100
round_queries,400,1200,2200,9900,36900,86600,176700,1163800,2602700,38992500
round_k,1,5,16,61,216,883,2909,13013,47096,194962
round_shots,500,400,200,200,200,200,200,200,100,100
round_queries,500,1200,2200,8200,28200,114200,411800,1473000,3418100,52332900
round_k,1,5,20,70,285,1029,3682,17090,68608,261664
round_shots,600,700,200,200,200,200,100,100,100,100
round_queries,600,2100,2200,7400,27400,109000,229700,720100,2237900,33977100
round_k,1,5,18,68,272,1148,3600,11189,40591,169885
round_shots,700,500,200,200,200,100,100,100,100,100
round_queries,700,1500,2200,8200,27400,54100,164100,535700,1732900,18226900
round_k,1,5,20,68,270,820,2678,8664,27298,91134
round_shots,600,400,200,200,200,200,100,200,100,100
round_queries,600,1200,2200,8200,31800,119400,218900,1317400,3066900,52532900
round_k,1,5,20,79,298,1094,3293,15334,60919,262664
round_shots,600,300,300,200,200,200,100,100,100,100
round_queries,600,900,3300,9000,28200,111000,206700,690500,2416100,33653300
round_k,1,5,22,70,277,1033,3452,12080,39298,168266
round_shots,500,500,200,200,200,200,100,100,100,100
round_queries,500,1500,2200,6600,23000,88200,188900,610100,2144500,35464100
round_k,1,5,16,57,220,944,3050,10722,41556,177320
round_shots,700,400,200,200,200,100,100,100,200,100
round_queries,700,1200,2200,7400,26600,48900,148500,452300,3139000,27136900
round_k,1,5,18,66,244,742,2261,7847,33147,135684
round_shots,700,500,300,200,200,100,200,100,100,100
round_queries,700,1500,3300,8200,28200,56700,349800,748300,2718700,46639900
round_k,1,5,20,70,283,874,3741,13593,53210,233199
round_shots,600,500,200,200,200,100,100,200,100,200
round_queries,600,1500,2200,6600,22200,44100,134500,856600,1675100,47166200
round_k,1,5,16,55,220,672,2141,8375,29109,117915
round_shots,800,500,200,200,200,200,100,200,200,100
round_queries,800,1500,2200,8200,26600,94200,186700,1229000,4667000,39218900
round_k,1,5,20,66,235,933,3072,11667,43717,196094
round_shots,600,400,200,200,200,100,100,200,200,100
round_queries,600,1200,2200,7400,27400,54100,164100,1078600,3940200,32405300
round_k,1,5,18,68,270,820,2696,9850,39246,162026
round_shots,500,1000,200,200,200,100,100,100,100,100
round_queries,500,3000,3000,11000,33400,66700,204100,665700,2319300,33110300
round_k,1,7,27,83,333,1020,3328,11596,42880,165551
round_shots,300,400,200,200,200,100,100,100,100,100
round_queries,300,1200,2200,6600,23000,44100,134500,427500,1488100,25626900
round_k,1,5,16,57,220,672,2137,7440,28111,128134
round_shots,500,600,200,200,200,200,100,100,300,100
round_queries,500,1800,2200,7400,23800,92600,199700,622700,6233700,35387700
round_k,1,5,18,59,231,998,3113,10389,47440,176938
round_shots,700,700,200,200,200,100,100,100,100,100,100
round_queries,700,2100,2200,6600,23800,41500,126700,412700,1415500,4866100,78243300
round_k,1,5,16,59,207,633,2063,7077,24330,95207,391216
round_shots,800,600,300,200,200,200,100,100,100
round_queries,800,1800,4500,12600,48200,199400,407100,1411700,18605900
round_k,1,7,31,120,498,2035,7058,22704,93029
round_shots,500,400,300,200,200,200,100,100,100,100
round_queries,500,1200,3300,8200,26600,102200,217500,678300,2415300,37657500
round_k,1,5,20,66,255,1087,3391,12076,46766,188287
round_shots,500,400,200,200,200,100,100,100,100,100
round_queries,500,1200,2200,7400,28200,54100,164100,539700,1718900,25737700
round_k,1,5,18,70,270,820,2698,8594,31241,128688
round_shots,400,500,200,200,200,200,100,100,300,100
round_queries,400,1500,2200,7400,27400,113400,249700,818300,8873700,59219900
round_k,1,5,18,68,283,1248,4091,14789,67576,296099
round_shots,900,500,200,200,200,200,100,100,100,100
round_queries,900,1500,2200,7400,23800,86600,179300,587500,2021900,29878500
round_k,1,5,18,59,216,896,2937,10109,39026,149392
round_shots,700,600,300,300,200,200,100,100,100,100
round_queries,700,1800,3300,13500,37000,151800,322300,1109500,3946300,68535100
round_k,1,5,22,92,379,1611,5547,19731,75896,342675
round_shots,800,400,200,200,200,200,200,100,100,100
round_queries,800,1200,2200,7400,28200,106600,415000,847900,2888700,49506500
round_k,1,5,18,70,266,1037,4239,14443,56094,247532
round_shots,600,400,300,200,200,200,100,100,100,100
round_queries,600,1200,3300,8200,27400,113400,244500,818300,2932100,48174700
round_k,1,5,20,68,283,1222,4091,14660,54664,240873
round_shots,600,500,200,200,200,200,100,100,200,100
round_queries,600,1500,2200,7400,27400,109000,219300,732700,4416600,32242700
round_k,1,5,18,68,272,1096,3663,11041,41263,161213
round_shots,500,400,200,300,200,100,100,100,100,100
round_queries,500,1200,2200,9900,29000,51100,154100,500100,1768900,20954100
round_k,1,5,16,72,255,770,2500,8844,33688,104770
round_shots,600,400,200,200,200,200,200,100,100,100
round_queries,600,1200,2200,7400,27400,106600,424600,968700,3443700,49453900
round_k,1,5,18,68,266,1061,4843,17218,58598,247269
round_shots,500,500,300,200,200,100,100,100,100,100
round_queries,500,1500,3300,8200,26600,48900,148900,482300,1653300,25635500
round_k,1,5,20,66,244,744,2411,8266,31276,128177
round_shots,800,600,200,200,200,100,200,100,100,100
round_queries,800,1800,2200,8200,28200,56700,340200,708700,2342300,38902100
round_k,1,5,20,70,283,850,3543,11711,45588,194510
round_shots,900,400,300,300,200,200,200,200,100,100
round_queries,900,1200,3300,13500,37000,149000,645400,2636600,4185700,68105700
round_k,1,5,22,92,372,1613,6591,20928,75144,340528
round_shots,1000,500,300,200,200,200,100,100,100,100
round_queries,1000,1500,3300,8200,27400,108200,236700,785300,2765300,37110300
round_k,1,5,20,68,270,1183,3926,13826,44464,185551
round_shots,500,500,200,200,200,200,100,100,100,100
round_queries,500,1500,2200,7400,27400,108200,234100,753900,2402300,39200700
round_k,1,5,18,68,270,1170,3769,12011,45440,196003
round_shots,500,400,200,200,200,200,100,100,100,100
round_queries,500,1200,2200,7400,26600,102200,217100,726100,2417100,33537700
round_k,1,5,18,66,255,1085,3630,12085,41945,167688
round_shots,800,500,200,200,200,100,100,100,100,100
round_queries,800,1500,2200,7400,28200,54100,167100,509700,1676300,22972300
round_k,1,5,18,70,270,835,2548,8381,31017,114861
round_shots,600,500,200,200,200,100,200,100,100,100
round_queries,600,1500,2200,7400,27400,54100,329800,697900,2494900,23260500
round_k,1,5,18,68,270,824,3489,12474,38767,116302
round_shots,900,400,200,200,200,100,200,200,100,100
round_queries,900,1200,2200,7400,25800,44100,264600,1038600,2110100,30673100
round_k,1,5,18,64,220,661,2596,10550,38085,153365
round_shots,500,500,200,200,200,200,100,100,100,100
round_queries,500,1500,2200,6600,23000,91000,166700,540500,1884100,29178700
round_k,1,5,16,57,227,833,2702,9420,34897,145893
round_shots,600,600,200,200,200,200,100,100,100,100
round_queries,600,1800,2200,7400,28200,107400,232300,745700,2676500,36557500
round_k,1,5,18,70,268,1161,3728,13382,50556,182787
round_shots,500,500,200,200,200,200,100,100,100,100
round_queries,500,1500,2200,8200,31000,108200,239700,788300,2850900,30660100
round_k,1,5,20,77,270,1198,3941,14254,45974,153300
round_shots,400,500,200,200,200,200,200,200,100,100
round_queries,400,1500,2200,7400,26600,102200,435800,1738200,4242300,74160300
round_k,1,5,18,66,255,1089,4345,21211,85633,370801
round_shots,600,400,200,200,200,200,100,100,100,100
round_queries,600,1200,2200,7400,27400,109000,224100,747500,2380100,39908300
round_k,1,5,18,68,272,1120,3737,11900,46642,199541
round_shots,500,300,200,300,200,200,100,100,100,100
round_queries,500,900,2200,9900,24600,77800,168900,545300,1916300,28351900
round_k,1,5,16,61,194,844,2726,9581,35620,141759
round_shots,400,600,200,200,200,100,200,100,100,100
round_queries,400,1800,2200,7400,27400,54100,329800,708300,2489700,33797900
round_k,1,5,18,68,270,824,3541,12448,45525,168989
round_shots,700,500,200,200,200,200,300,100,100,100
