round_shots,100,200,100,100
round_queries,100,600,1100,14900
round_k,1,5,17,74
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,46300
round_k,1,4,14,52,231
round_shots,200,200,100,100
round_queries,200,600,1100,17900
round_k,1,5,20,89
round_shots,200,100,100,100,100
round_queries,200,300,900,3300,62500
round_k,1,4,16,58,312
round_shots,100,100,200,100
round_queries,100,300,1800,26100
round_k,1,4,26,130
round_shots,200,100,100,100
round_queries,200,300,900,15900
round_k,1,4,17,79
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,54700
round_k,1,4,13,55,273
round_shots,100,200,100,100
round_queries,100,600,1500,30300
round_k,1,7,33,151
round_shots,100,100,100,100
round_queries,100,300,900,14500
round_k,1,4,17,72
round_shots,100,100,200,100
round_queries,100,300,2200,23700
round_k,1,5,27,118
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,54900
round_k,1,4,13,60,274
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,66900
round_k,1,4,13,63,334
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,57700
round_k,1,4,14,55,288
round_shots,200,200,100,100,100
round_queries,200,600,900,3300,70900
round_k,1,4,16,66,354
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,53900
round_k,1,4,13,51,269
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,56700
round_k,1,4,13,58,283
round_shots,200,100,100,100,100
round_queries,200,300,900,2900,60500
round_k,1,4,14,61,302
round_shots,100,100,200,100
round_queries,100,300,1800,16100
round_k,1,4,20,80
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,61700
round_k,1,4,14,59,308
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,53100
round_k,1,4,13,52,265
round_shots,100,100,100,100
round_queries,100,300,900,15100
round_k,1,4,17,75
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,54500
round_k,1,4,13,54,272
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,68700
round_k,1,4,16,64,343
round_shots,100,100,100,100,100
round_queries,100,300,900,3300,69100
round_k,1,4,16,68,345
round_shots,200,100,200,100
round_queries,200,300,1800,24700
round_k,1,4,26,123
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,50300
round_k,1,4,13,49,251
round_shots,100,200,200,100
round_queries,100,600,1800,19500
round_k,1,4,23,97
round_shots,100,200,200,100
round_queries,100,600,1800,20300
round_k,1,4,23,101
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,43700
round_k,1,4,13,46,218
