round_shots,3400,500,300,500,500,300,200,200,200
round_queries,3400,4500,7500,27500,61500,101700,158600,352600,765400
round_k,0,4,12,27,61,169,396,881,1913
round_shots,2300,400,400,500,200,300,200,200,200,200
round_queries,2300,2800,6800,19500,21000,65100,95400,205400,447800,1031400
round_k,0,3,8,19,52,108,238,513,1119,2578
round_shots,2300,300,300,300,200,200,200,200,200,200
round_queries,2300,2100,5100,12300,20200,41800,95400,204600,447400,933800
round_k,0,3,8,20,50,104,238,511,1118,2334
round_shots,3800,400,400,300,200,200,300,200,200,200
round_queries,3800,2800,6000,9900,16200,33800,106500,176200,399400,916600
round_k,0,3,7,16,40,84,177,440,998,2291
round_shots,3500,400,200,300,200,200,300,200,200
round_queries,3500,3600,5000,15300,27000,59400,195900,338600,763800
round_k,0,4,12,25,67,148,326,846,1909
round_shots,3300,400,400,400,200,200,300,200,200,100
round_queries,3300,2800,6800,16400,19400,40200,137700,241400,534600,579500
round_k,0,3,8,20,48,100,229,603,1336,2897
round_shots,2700,500,500,200,300,300,200,200,200,200,100
round_queries,2700,1500,4500,5000,15300,35100,57400,128200,293400,664200,737700
round_k,0,1,4,12,25,58,143,320,733,1660,3688
round_shots,2200,400,300,300,300,300,300,200,200,100
round_queries,2200,2800,5100,12300,30300,74700,177900,303400,610600,684700
round_k,0,3,8,20,50,124,296,758,1526,3423
round_shots,3200,400,500,200,300,300,200,200,200
round_queries,3200,3600,11500,11400,39300,95100,155000,362200,838600
round_k,0,4,11,28,65,158,387,905,2096
round_shots,3200,400,300,500,200,200,300,400,200,100
round_queries,3200,2800,5100,17500,18200,36600,117900,373200,499000,544700
round_k,0,3,8,17,45,91,196,466,1247,2723
round_shots,2800,300,300,300,200,200,200,200,200,200
round_queries,2800,2100,5100,12300,18200,36600,74600,174200,393000,925400
round_k,0,3,8,20,45,91,186,435,982,2313
round_shots,3000,400,400,500,300,200,200,200,300,100
round_queries,3000,2800,6800,19500,26700,51800,113400,257400,852900,732700
