round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,27900,131500,645900,3255100,16343500
round_k,0,1,6,30,139,657,3229,16275,81717
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5900,25100,120500,590100,2967500,15059300,76284500
round_k,0,1,6,29,125,602,2950,14837,75296,381422
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,4900,24500,115300,571900,2873900,14517300,73590100
round_k,0,1,6,24,122,576,2859,14369,72586,367950
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,3900,18300,84700,399500,1918500,9678300,48651300
round_k,0,1,5,19,91,423,1997,9592,48391,243256
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5500,25500,122700,610300,3065700,15390100,77516900
round_k,0,1,6,27,127,613,3051,15328,76950,387584
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,24100,114500,575300,2898500,14661300,74346500
round_k,0,1,5,25,120,572,2876,14492,73306,371732
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,4900,22900,111300,544700,2728700,13823500,69706100
round_k,0,1,6,24,114,556,2723,13643,69117,348530
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1300,5100,22300,110700,541300,2715300,13732900,69686700
round_k,0,1,6,25,111,553,2706,13576,68664,348433
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1300,5100,22900,109500,541500,2716700,13749300,69509900
round_k,0,1,6,25,114,547,2707,13583,68746,347549
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5100,23700,118500,592700,2972100,15038500,75920900
round_k,0,1,6,25,118,592,2963,14860,75192,379604
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,6300,29300,140700,703300,3499900,17614900
round_k,0,1,7,31,146,703,3516,17499,88074
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,3900,18100,85700,420900,2120900,10683300,54085500
round_k,0,1,5,19,90,428,2104,10604,53416,270427
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,5900,27500,132700,658500,3313700,16771900
round_k,0,1,6,29,137,663,3292,16568,83859
round_shots,400,100,100,100,100,100,100,100,100,100
round_queries,400,300,1500,5900,24900,121900,606100,3042100,15378100,77798900
round_k,0,1,7,29,124,609,3030,15210,76890,388994
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,29100,136300,684300,3455100,17294100
round_k,0,1,6,29,145,681,3421,17275,86470
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4700,22500,99100,489900,2459500,12383500,62845300
round_k,0,1,5,23,112,495,2449,12297,61917,314226
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,1500,6300,28700,139100,699900,3513700,17805700
round_k,0,1,7,31,143,695,3499,17568,89028
