round_shots,1200,1300,300,300,200,200,300,300,200,200
round_queries,1200,3900,3900,8100,13000,28600,97500,243300,383400,832600
round_k,0,1,6,13,32,71,162,405,958,2081
round_shots,1500,1200,300,400,300,300,200,200,200,200
round_queries,1500,3600,3300,10000,17700,42300,77000,163800,348200,729800
round_k,0,1,5,12,29,70,192,409,870,1824
round_shots,1000,1200,400,300,200,200,200,300,200,200
round_queries,1000,3600,4400,7500,12600,27400,57400,187500,331800,729000
round_k,0,1,5,12,31,68,143,312,829,1822
round_shots,1500,1100,300,300,300,200,300,200,200,200
round_queries,1500,3300,3300,7500,18300,34600,118500,219000,507000,1059000
round_k,0,1,5,12,30,86,197,547,1267,2647
round_shots,1400,1100,300,300,200,300,300,300,400,200
round_queries,1400,3300,3300,7500,12200,36900,95100,239100,723600,967000
round_k,0,1,5,12,30,61,158,398,904,2417
round_shots,1100,1100,300,300,200,200,200,200,200,300,100
round_queries,1100,3300,3300,7500,12200,27000,58600,117800,249800,816300,695700
round_k,0,1,5,12,30,67,146,294,624,1360,3478
round_shots,1200,1200,300,400,300,200,200,300,200,200
round_queries,1200,3600,3900,10800,18300,27400,59800,197700,324200,720200
round_k,0,1,6,13,30,68,149,329,810,1800
round_shots,1400,1500,200,200,200,300,300,300,200,200,100
round_queries,1400,4500,2200,4600,9800,32700,74100,172500,272600,635800,742500
round_k,0,1,5,11,24,54,123,287,681,1589,3712
round_shots,900,1100,300,300,200,300,200,300,300,300
round_queries,900,3300,3300,7500,12200,40500,71000,234300,543300,1106700
round_k,0,1,5,12,30,67,177,390,905,1844
round_shots,1100,1200,300,300,300,300,300,200,200,200
round_queries,1100,3600,3300,7500,17700,43500,113100,211000,471000,1090200
round_k,0,1,5,12,29,72,188,527,1177,2725
round_shots,1400,1200,400,400,200,200,200,200,400,300
round_queries,1400,3600,4400,10800,12600,27400,59800,125000,541200,1080300
round_k,0,1,5,13,31,68,149,312,676,1800
round_shots,1800,1100,300,200,300,200,200,200,200,200,100
round_queries,1800,3300,3300,5000,15300,25400,53000,119000,278600,625400,696500
round_k,0,1,5,12,25,63,132,297,696,1563,3482
round_shots,1700,1100,300,300,300,200,200,200,200,200,100
round_queries,1700,3300,3300,7500,18300,29400,60600,133400,286600,609000,668700
round_k,0,1,5,12,30,73,151,333,716,1522,3343
round_shots,1200,1100,400,300,300,300,200,200,200,200
round_queries,1200,3300,4400,8100,18900,42900,72200,162600,366200,848200
round_k,0,1,5,13,31,71,180,406,915,2120
round_shots,800,1300,400,500,300,200,200,200,200,200
round_queries,800,3900,4400,13500,21900,34600,79400,168200,388200,907400
round_k,0,1,5,13,36,86,198,420,970,2268
round_shots,900,1200,400,300,300,200,400,200,200,300
round_queries,900,3600,4400,8100,18900,35800,146800,186200,374200,1196100
round_k,0,1,5,13,31,89,183,465,935,1993
round_shots,1400,1300,400,300,200,300,200,200,300,200
round_queries,1400,3900,4400,8100,13000,43500,75400,171800,557700,895400
round_k,0,1,5,13,32,72,188,429,929,2238
round_shots,1100,1200,300,300,300,400,400,300,300,300
round_queries,1100,3600,3300,7500,18900,53200,114000,221100,484500,1174500
round_k,0,1,5,12,31,66,142,368,807,1957
round_shots,1300,1100,400,300,300,200,200,200,300,200,100
round_queries,1300,3300,4400,7500,18300,32200,69000,148200,492300,662600,710100
round_k,0,1,5,12,30,80,172,370,820,1656,3550
round_shots,1400,1100,400,300,200,200,200,300,300,300
round_queries,1400,3300,4400,8100,12600,25400,53000,174900,420300,971100
round_k,0,1,5,13,31,63,132,291,700,1618
round_shots,800,1100,300,300,200,200,300,300,200,200
round_queries,800,3300,3300,7500,12200,26600,90900,249900,404200,921800
round_k,0,1,5,12,30,66,151,416,1010,2304
round_shots,1400,1200,300,200,300,200,200,200,200,400,100
round_queries,1400,3600,3300,5000,15300,25000,50600,103000,216600,946000,594500
round_k,0,1,5,12,25,62,126,257,541,1182,2972
round_shots,900,1100,300,300,300,200,200,200,200,200
round_queries,900,3300,3300,7500,18900,34600,79400,168200,371400,851800
round_k,0,1,5,12,31,86,198,420,928,2129
round_shots,900,1100,300,300,300,200,200,200,300,200,100
round_queries,900,3300,3300,7500,18300,27400,57000,119400,398700,659800,736900
round_k,0,1,5,12,30,68,142,298,664,1649,3684
round_shots,1200,1300,400,300,300,200,200,200,200,200
round_queries,1200,3900,4400,8100,19500,36200,82600,183400,423400,989000
round_k,0,1,5,13,32,90,206,458,1058,2472
round_shots,1300,1200,400,400,200,200,200,300,300,200,100
