round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1100,7400,23300,98900,501500,2569300
round_k,0,1,5,18,116,494,2507,12846
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,12300,53100,260500,1193700,5982100
round_k,0,1,4,13,61,265,1302,5968,29910
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,7700,18100,93100,478100,2439700
round_k,0,1,4,13,38,90,465,2390,12198
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,10500,44100,218100,1085300,5574500
round_k,0,1,5,19,52,220,1090,5426,27872
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1500,9000,29700,136100,688300,3510900
round_k,0,1,7,22,148,680,3441,17554
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,15100,56100,224100,981300,4829900
round_k,0,1,4,21,75,280,1120,4906,24149
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,13900,64700,304900,1530300
round_k,0,1,6,29,69,323,1524,7651
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,19300,86100,422900,2155500
round_k,0,1,5,22,96,430,2114,10777
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,14700,48300,240700,1235300,6334500
round_k,0,1,6,24,73,241,1203,6176,31672
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,10700,42700,201700,1031300,5275700
round_k,0,1,5,26,53,213,1008,5156,26378
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,8100,35700,165500,844500,4354500
round_k,0,1,3,13,40,178,827,4222,21772
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1300,4900,39800,123900,563900,2804500
round_k,0,1,6,24,99,619,2819,14022
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1300,4900,23700,71100,252500,1035700,5134700
round_k,0,1,6,24,118,355,1262,5178,25673
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,2500,7500,18100,63100,279900,1405500,7155300
round_k,0,2,12,37,90,315,1399,7027,35776
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,14700,70300,315500,1580300
round_k,0,1,5,24,73,351,1577,7901
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,18500,53500,219300,879100,4414300
round_k,0,1,4,21,92,267,1096,4395,22071
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,2900,6900,31300,155900,792700,4040500
round_k,0,1,5,14,34,156,779,3963,20202
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,12300,34300,144300,711300,3583100
round_k,0,1,4,13,61,171,721,3556,17915
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,16700,61500,280500,1424500,7298500
round_k,0,1,5,19,83,307,1402,7122,36492
round_shots,100,100,100,100,100,200,100,100,100
round_queries,100,300,1100,4900,25100,122200,347900,1517900,7547700
round_k,0,1,5,24,125,305,1739,7589,37738
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,3700,11100,40900,203500,1025300,5231300
round_k,0,1,6,18,55,204,1017,5126,26156
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,900,3500,33800,119500,592300,2996500
round_k,0,1,4,17,84,597,2961,14982
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1100,4700,25000,66100,336900,1717300
round_k,0,1,5,23,62,330,1684,8586
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,16500,80900,327300,1652500
round_k,0,1,5,23,82,404,1636,8262
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3700,10300,47900,240100,1202700,6136500
round_k,0,1,5,18,51,239,1200,6013,30682
