round_shots,200,100,200,200,100,500,100
round_queries,200,300,1800,7000,13100,241500,1717900
round_k,1,4,17,65,241,2114,8589
round_shots,200,200,100,100,200,200,100,100
round_queries,200,600,900,2900,19000,64600,146900,2881500
round_k,1,4,14,47,161,734,2975,14407
round_shots,100,200,100,500,100,100,100,100
round_queries,100,600,1300,21500,13700,48700,168100,3722500
round_k,1,6,21,68,243,840,3632,18612
round_shots,200,100,100,200,200,300,100,100
round_queries,200,300,900,5400,23400,131700,280700,5917500
round_k,1,4,13,58,219,1403,5588,29587
round_shots,100,200,100,200,100,200,100,100
round_queries,100,600,900,5400,11700,81800,143500,2537100
round_k,1,4,13,58,204,717,2579,12685
round_shots,200,100,200,400,200,100,100,100
round_queries,200,300,1800,11600,19000,41300,163100,3800100
round_k,1,4,14,47,206,815,3696,19000
round_shots,100,200,100,200,300,100,100
round_queries,100,600,1300,8200,38700,84900,1516100
round_k,1,6,20,64,424,1612,7580
round_shots,200,200,200,200,600,100,100
round_queries,200,600,2200,7800,73800,109500,2335700
round_k,1,5,19,61,547,2360,11678
round_shots,200,200,200,500,200,100,100
round_queries,200,600,2200,16500,51000,136900,2926700
round_k,1,5,16,127,684,2904,14633
round_shots,200,200,200,300,100,100,100,100
round_queries,200,600,2600,14100,14100,46700,171100,4044900
round_k,1,6,23,70,233,855,3886,20224
round_shots,200,200,200,200,600,100,100,100
round_queries,200,600,1800,5400,54600,82100,288700,7008900
round_k,1,4,13,45,410,1443,6446,35044
round_shots,200,100,200,200,100,100,100,100
round_queries,200,300,1800,8600,13300,44900,166700,3330300
round_k,1,4,21,66,224,833,3287,16651
round_shots,100,200,100,100,300,100,100,100
round_queries,100,600,1100,3500,36300,37700,146300,2726900
round_k,1,5,17,60,188,731,2789,13634
round_shots,200,200,100,700,100,100,100
round_queries,200,600,900,18900,24700,83700,1632300
round_k,1,4,13,123,418,1700,8161
round_shots,200,200,200,100,500,100,100,100
round_queries,200,600,2200,4700,72500,43900,143900,2844500
round_k,1,5,23,72,219,719,2865,14222
round_shots,200,200,200,200,400,100,100
round_queries,200,600,1800,6200,45200,79700,1454300
round_k,1,4,15,56,398,1563,7271
round_shots,200,200,100,100,500,100,100
round_queries,200,600,1100,3300,51500,83500,1540300
round_k,1,5,16,51,417,1611,7701
round_shots,200,200,200,200,400,100,100
round_queries,200,600,2200,10200,66000,114100,2063100
round_k,1,5,25,82,570,2149,10315
round_shots,100,200,200,100,200,200,100,100
round_queries,100,600,2600,4700,29000,90200,249100,5687900
round_k,1,6,23,72,225,1245,5471,28439
round_shots,200,200,100,400,100,100,100,100
round_queries,200,600,1100,13200,11100,42300,135700,2851300
round_k,1,5,16,55,211,678,2827,14256
round_shots,100,200,200,700,100,100,100
round_queries,100,600,2200,25900,34900,122900,2689900
round_k,1,5,18,174,614,2680,13449
round_shots,100,300,200,100,200,100,100,100
round_queries,100,900,1800,3500,25000,42900,161300,3128300
round_k,1,4,17,62,214,806,3372,15641
round_shots,100,200,100,200,300,100,100,100
round_queries,100,600,1100,6600,34500,74700,285100,7359500
round_k,1,5,16,57,373,1425,6676,36797
round_shots,200,200,200,200,300,100,100,100
round_queries,200,600,1800,5800,30300,62900,254500,6363900
round_k,1,4,14,50,314,1272,5877,31819
round_shots,200,200,200,400,100,100,100,100
round_queries,200,600,2200,18800,14300,52100,211700,5058700
round_k,1,5,23,71,260,1058,4795,25293
round_shots,100,100,100,200,200,100,100,100
round_queries,100,300,900,5800,17400,43500,150100,3423700
round_k,1,4,14,43,217,750,3349,17118
round_shots,100,100,100,200,200,100,100,100
round_queries,100,300,900,5800,17400,37700,150500,3287300
round_k,1,4,14,43,188,752,3242,16436
round_shots,200,200,200,200,200,100,100
round_queries,200,600,2200,9400,33800,89100,1683500
round_k,1,5,23,84,445,1768,8417
round_shots,200,100,100,100,200,300,100,100
round_queries,200,300,900,2900,17400,119100,129700,2789900
round_k,1,4,14,43,198,648,2834,13949
round_shots,200,200,100,400,300,100,100
round_queries,200,600,1300,16400,39900,83100,1525500
round_k,1,6,20,66,415,1604,7627
round_shots,300,200,200,400,100,100,100
round_queries,300,600,1800,13200,23500,89300,1853100
round_k,1,4,16,117,446,1914,9265
round_shots,100,200,200,500,100,100,100,100
round_queries,100,600,2200,18500,11100,34900,134700,3026100
round_k,1,5,18,55,174,673,3007,15130
round_shots,200,200,100,100,100,300,100,100
round_queries,200,600,1100,3300,10300,98700,106900,1588700
round_k,1,5,16,51,164,534,1675,7943
round_shots,200,200,100,100,300,400,100
round_queries,200,600,1100,3300,30900,157200,1423500
round_k,1,5,16,51,196,1560,7117
round_shots,200,200,200,200,300,100,100,100
round_queries,200,600,1800,6200,32100,70100,283900,7388900
round_k,1,4,15,53,350,1419,6710,36944
round_shots,200,200,100,200,200,100,100,100
round_queries,200,600,1100,7000,21800,52700,198900,4938300
round_k,1,5,17,54,263,994,4535,24691
round_shots,100,200,200,200,200,200,100,100
round_queries,100,600,1800,6600,21800,73000,168500,3291700
round_k,1,4,16,54,182,842,3319,16458
round_shots,200,200,100,200,200,500,100
round_queries,200,600,1100,7000,32200,291500,2531700
round_k,1,5,17,80,291,2689,12658
round_shots,200,200,200,500,100,100,100,100
round_queries,200,600,1800,14500,9100,29300,110500,2313300
round_k,1,4,14,45,146,552,2357,11566
round_shots,200,200,200,100,300,100,100,100
round_queries,200,600,2200,3500,37500,38500,149500,2813500
round_k,1,5,17,62,192,747,2882,14067
round_shots,200,200,200,600,200,100,100,100
round_queries,200,600,1800,21000,21000,41300,143100,3131700
round_k,1,4,17,52,206,715,3086,15658
round_shots,200,200,100,100,300,100,100,100
round_queries,200,600,1100,3300,33900,71100,253100,6079100
round_k,1,5,16,56,355,1265,5661,30395
round_shots,200,300,200,300,100,100,100,100
round_queries,200,900,1800,8100,8300,30100,117300,2500500
round_k,1,4,13,41,150,586,2511,12502
round_shots,100,100,100,100,100,300,400,100
round_queries,100,300,900,2700,8700,83100,363600,3576900
round_k,1,4,13,43,138,454,3707,17884
round_shots,200,100,100,100,200,100,100,100
round_queries,200,300,900,2700,17000,26900,106300,2036700
round_k,1,4,13,42,134,531,2112,10183
round_shots,200,100,200,200,100,300,100,100
round_queries,200,300,1800,6200,13900,125100,260900,5409700
round_k,1,4,15,69,208,1304,5162,27048
round_shots,200,200,100,100,100,100,400,100,100
round_queries,200,600,1100,3300,9900,34300,446800,354100,5442100
round_k,1,5,16,49,171,558,1770,5777,27210
round_shots,200,200,100,400,100,100,100,100
round_queries,200,600,900,10800,8900,32300,119900,2465900
round_k,1,4,13,44,161,599,2508,12329
round_shots,200,200,100,200,300,100,100,100
round_queries,200,600,900,5400,26100,55100,195700,4377700
round_k,1,4,13,43,275,978,4214,21888
round_shots,200,100,300,300,100,100,100,100
round_queries,200,300,2700,9300,19100,66700,274500,6946300
round_k,1,4,15,95,333,1372,6381,34731
round_shots,100,200,100,400,300,100,100,100
round_queries,100,600,1100,13200,29700,56900,198700,4753900
round_k,1,5,16,49,284,993,4500,23769
round_shots,200,100,200,200,100,100,100,100
round_queries,200,300,1800,6600,12700,47300,171500,3853500
round_k,1,4,16,63,236,857,3756,19267
round_shots,100,100,200,200,200,400,100,100
round_queries,100,300,1800,6600,21800,155600,297900,7064500
round_k,1,4,16,54,194,1489,6498,35322
round_shots,200,100,100,400,100,100,100,100
round_queries,200,300,900,11600,9500,34500,118900,2466700
round_k,1,4,14,47,172,594,2476,12333
round_shots,200,100,200,300,300,100,100,100
round_queries,200,300,1800,8100,24900,45700,159500,3670300
round_k,1,4,13,41,228,797,3581,18351
round_shots,100,200,200,100,400,100,100,100
round_queries,100,600,2200,4300,59600,49300,170300,3995500
round_k,1,5,21,74,246,851,3846,19977
round_shots,100,100,100,200,200,100,100,100
round_queries,100,300,900,5400,18600,32300,113700,2230500
round_k,1,4,13,46,161,568,2298,11152
round_shots,200,100,100,300,500,100,100,100
round_queries,200,300,900,8100,41500,69100,279900,7134300
round_k,1,4,13,41,345,1399,6527,35671
round_shots,100,200,100,100,400,100,100,100
round_queries,100,600,900,2900,34800,63700,266900,6655900
round_k,1,4,14,43,318,1334,6116,33279
round_shots,200,200,100,400,100,100,100,100
round_queries,200,600,1300,15600,11900,44300,164900,3823100
round_k,1,6,19,59,221,824,3716,19115
round_shots,100,200,200,100,100,100,100,100
round_queries,100,600,1800,3700,11700,44900,136700,2892300
round_k,1,4,18,58,224,683,2884,14461
round_shots,200,200,200,500,100,100,100
round_queries,200,600,2200,20500,31700,126900,2755500
round_k,1,5,20,158,634,2754,13777
round_shots,200,100,100,300,300,100,100,100
round_queries,200,300,900,8700,26100,49500,198900,4607700
round_k,1,4,14,43,247,994,4383,23038
round_shots,200,200,100,200,400,100,100
round_queries,200,600,1100,6600,46800,82500,1595700
