round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,1500,6500,32100,154500,770900,3883500,19701100
round_k,0,1,7,32,160,772,3854,19417,98505
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,27700,134700,664300,3320700,16840100
round_k,0,1,6,29,138,673,3321,16603,84200
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1500,6500,29300,143900,715300,3573700,17959900
round_k,0,1,7,32,146,719,3576,17868,89799
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6700,30300,148500,740300,3753500,18864100
round_k,0,1,7,33,151,742,3701,18767,94320
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1300,5100,23700,111900,543700,2711700,13673500,69228700
round_k,0,1,6,25,118,559,2718,13558,68367,346143
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4700,20700,95100,475700,2404500,12093300,60741300
round_k,0,1,6,23,103,475,2378,12022,60466,303706
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,5100,22900,104300,527100,2647100,13410900,67965700
round_k,0,1,5,25,114,521,2635,13235,67054,339828
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4900,22100,105300,525300,2642300,13254500,67255500
round_k,0,1,5,24,110,526,2626,13211,66272,336277
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4500,20300,94100,463700,2318700,11728700,59454100
round_k,0,1,5,22,101,470,2318,11593,58643,297270
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1300,5100,22900,102900,517900,2596500,13086300,66174300
round_k,0,1,6,25,114,514,2589,12982,65431,330871
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,24500,121900,610700,3070100,15541700
round_k,0,1,6,26,122,609,3053,15350,77708
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,3900,16300,77500,378900,1892900,9593100,48612300
round_k,0,1,5,19,81,387,1894,9464,47965,243061
round_shots,300,100,100,100,100,100,100,100,100,100
round_queries,300,300,1100,4900,24300,110900,548100,2771700,13932500,70639300
round_k,0,1,5,24,121,554,2740,13858,69662,353196
round_shots,400,100,100,100,100,100,100,100,100,100
round_queries,400,300,1300,5700,23900,101700,493300,2478100,12472900,63061100
round_k,0,1,6,28,119,508,2466,12390,62364,315305
round_shots,200,100,100,100,100,100,100,100,100,100
