round_shots,500,400,100,100
round_queries,500,1200,1300,18700
round_k,1,6,19,93
round_shots,300,400,200,100
round_queries,300,1200,2200,18700
round_k,1,5,24,93
round_shots,900,400,100,100
round_queries,900,3600,3700,50100
round_k,4,18,59,250
round_shots,300,300,200,100,100
round_queries,300,900,2200,3900,36900
round_k,1,5,19,61,184
round_shots,500,400,100,100,100
round_queries,500,1200,1100,3500,43700
round_k,1,5,17,54,218
round_shots,500,400,200,100
round_queries,500,1200,2200,21900
round_k,1,5,25,109
round_shots,300,300,200,100,100
round_queries,300,900,2200,3900,50500
round_k,1,5,19,70,252
round_shots,400,400,100,100,100
round_queries,400,1200,1100,3500,48700
round_k,1,5,17,61,243
round_shots,500,400,200,100,100
round_queries,500,1200,2200,3900,54900
round_k,1,5,19,63,274
round_shots,500,400,200,100
round_queries,500,1200,2600,23100
round_k,1,6,30,115
round_shots,400,400,100,100,100
round_queries,400,1200,1100,3500,43500
round_k,1,5,17,54,217
round_shots,300,300,200,100,100
round_queries,300,900,2200,3900,62700
round_k,1,5,19,68,313
round_shots,300,300,100,100,100
round_queries,300,900,1300,3900,52100
round_k,1,6,19,63,260
round_shots,400,300,300,200,100
round_queries,400,900,2700,5400,52500
round_k,1,4,13,62,262
round_shots,200,400,200,200,100
round_queries,200,1200,2200,7800,71300
round_k,1,5,19,85,356
round_shots,300,300,200,100,100
round_queries,300,900,2200,3900,50700
round_k,1,5,19,61,253
round_shots,200,300,300,200,100
round_queries,200,900,3300,8600,65900
round_k,1,5,21,95,329
round_shots,300,400,200,100,100
round_queries,300,1200,2200,4900,63300
round_k,1,5,24,87,316
round_shots,800,400,200,100,100
round_queries,800,1200,2600,5100,52900
round_k,1,6,25,80,264
round_shots,400,300,200,100,100
round_queries,400,900,2200,3900,67300
round_k,1,5,19,77,336
round_shots,200,300,200,200,100
round_queries,200,900,1800,5400,46300
round_k,1,4,13,54,231
round_shots,300,400,100,200,100
round_queries,300,1200,1300,8200,45700
round_k,1,6,20,62,228
round_shots,300,400,200,100
round_queries,300,1200,2600,22300
round_k,1,6,31,111
round_shots,500,400,200,100
round_queries,500,1200,2200,18700
round_k,1,5,25,93
round_shots,500,400,200,100,100
round_queries,500,1200,1800,2700,34700
round_k,1,4,13,45,173
round_shots,500,400,200,200
round_queries,500,1200,2200,36200
round_k,1,5,24,90
round_shots,300,400,200,100,100
round_queries,300,1200,2200,3900,57100
round_k,1,5,19,69,285
round_shots,600,300,200,200,100
round_queries,600,900,2600,10200,47900
round_k,1,6,25,76,239
round_shots,300,300,200,100,100
round_queries,300,900,2200,3900,58700
round_k,1,5,19,68,293
round_shots,400,400,200,200,100
round_queries,400,1200,2200,7800,64300
round_k,1,5,19,79,321
round_shots,300,300,200,100,100
round_queries,300,900,1800,2700,36500
round_k,1,4,13,44,182
round_shots,500,300,300,200,100
round_queries,500,900,2700,5400,31300
round_k,1,4,13,41,156
round_shots,700,400,200,100,100
round_queries,700,1200,3000,4900,69300
round_k,1,7,24,81,346
round_shots,300,400,200,100,100
round_queries,300,1200,2200,3700,43700
round_k,1,5,18,61,218
round_shots,700,300,200,100
round_queries,700,900,2200,20300
round_k,1,5,25,101
round_shots,200,400,200,100,100
round_queries,200,1200,2200,4900,68100
round_k,1,5,24,82,340
round_shots,300,300,100,100,100
round_queries,300,900,1300,3900,48700
round_k,1,6,19,63,243
round_shots,400,400,200,100,100
round_queries,400,1200,2200,4100,60300
round_k,1,5,20,72,301
round_shots,200,400,200,100,100
round_queries,200,1200,2600,5100,68300
round_k,1,6,25,102,341
round_shots,100,400,200,100
round_queries,100,1200,2600,24300
round_k,1,6,31,121
round_shots,300,300,100,200,100
round_queries,300,900,1300,8200,57100
round_k,1,6,20,69,285
round_shots,500,300,200,100,100
round_queries,500,900,2200,4700,54300
round_k,1,5,23,73,271
round_shots,300,400,200,100,100
round_queries,300,1200,1800,2700,31300
round_k,1,4,13,44,156
round_shots,600,300,200,100
round_queries,600,900,2200,18300
round_k,1,5,24,91
round_shots,300,400,100,200,100
round_queries,300,1200,1300,8200,71100
round_k,1,6,20,82,355
round_shots,400,300,300,200,100
round_queries,400,900,2700,5400,42300
round_k,1,4,13,55,211
