round_shots,300,100,100,100,100,100,100
round_queries,300,700,3300,14100,67500,342300,1748100
round_k,0,3,16,70,337,1711,8740
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10700,49900,251700,1278700,6530900
round_k,0,3,12,53,249,1258,6393,32654
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,3500,17300,84500,425700,2172100
round_k,0,1,4,17,86,422,2128,10860
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2500,9700,38700,191500,979500,5014500
round_k,0,3,12,48,193,957,4897,25072
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3700,17700,85700,422500,2107500
round_k,0,1,4,18,88,428,2112,10537
round_shots,400,100,100,100,100,100,100
round_queries,400,900,3300,13700,65300,317100,1614500
round_k,0,4,16,68,326,1585,8072
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3500,15100,73100,358500,1808300
round_k,0,1,4,17,75,365,1792,9041
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10900,53500,264300,1344900,6890900
round_k,0,3,12,54,267,1321,6724,34454
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2500,11100,54700,267700,1362900,6981300
round_k,0,2,12,55,273,1338,6814,34906
round_shots,400,100,100,100,100,100,100
round_queries,400,700,2700,11900,60700,302100,1547300
round_k,0,3,13,59,303,1510,7736
round_shots,300,100,100,100,100,100,100
round_queries,300,700,3100,13300,67700,349300,1785900
round_k,0,3,15,66,338,1746,8929
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3300,13700,61500,311700,1581500
round_k,0,1,4,16,68,307,1558,7907
round_shots,400,100,100,100,100,100,100
round_queries,400,900,4100,16300,78900,388900,1996500
round_k,0,4,20,81,394,1944,9982
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,4100,17100,79100,398700,2029100
round_k,0,1,4,20,85,395,1993,10145
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,1100,5100,23700,116300,584300,2978900
round_k,0,1,5,25,118,581,2921,14894
round_shots,300,100,100,100,100,100,100,100
round_queries,300,700,2500,10700,50100,246100,1244300,6375300
round_k,0,3,12,53,250,1230,6221,31876
round_shots,400,100,100,100,100,100,100
round_queries,400,700,2500,12500,61300,308700,1541900
round_k,0,3,12,62,306,1543,7709
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,1100,4100,20300,100500,510300,2619100
round_k,0,1,5,20,101,502,2551,13095
round_shots,400,100,100,100,100,100,100,100
round_queries,400,700,2300,10700,52100,260700,1319300,6768700
round_k,0,3,11,53,260,1303,6596,33843
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,1500,6300,29100,144100,733300,3745700
round_k,0,2,7,31,145,720,3666,18728
round_shots,300,100,100,100,100,100,100,100
round_queries,300,300,900,3300,13100,64500,322500,1651100
round_k,0,1,4,16,65,322,1612,8255
