round_shots,300,300,100,100,100
round_queries,300,1500,2700,10500,206500
round_k,2,13,52,218,1032
round_shots,500,100,100,100,100,100
round_queries,500,300,900,2700,9500,184900
round_k,1,4,13,47,192,924
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,4700,16100,342500
round_k,2,7,23,80,348,1712
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,22700,523100
round_k,2,9,32,113,503,2615
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,23900,575900
round_k,2,9,30,119,538,2879
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,141500
round_k,2,11,39,154,707
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6300,22700,547700
round_k,2,9,31,113,527,2738
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,26300,641500
round_k,2,9,35,131,601,3207
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,5700,20500,416300
round_k,2,9,28,102,420,2081
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,28900,616300
round_k,2,11,39,144,592,3081
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7300,27900,664100
round_k,2,11,36,139,609,3320
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8300,142500
round_k,2,11,41,156,712
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6900,26900,672500
round_k,2,9,34,134,624,3362
round_shots,300,300,100,100,100
round_queries,300,1500,2700,9700,183300
round_k,2,13,48,196,916
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,25700,577300
round_k,2,9,32,128,562,2886
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,150100
round_k,2,11,39,157,750
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,28300,697900
round_k,2,11,37,141,644,3489
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,29700,721500
round_k,2,11,37,148,670,3607
round_shots,400,200,100,100,100
round_queries,400,1000,2300,7700,149300
round_k,2,11,38,161,746
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,26500,627900
round_k,2,9,32,132,595,3139
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6900,27900,652100
round_k,2,9,34,139,610,3260
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,25300,594300
round_k,2,9,32,126,555,2971
round_shots,400,100,100,100,100,100
round_queries,400,500,1500,4700,17300,376100
round_k,2,7,23,86,370,1880
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8500,147100
round_k,2,11,42,164,735
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,24100,530900
round_k,2,9,32,120,502,2654
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7500,26900,619300
round_k,2,11,37,134,574,3096
round_shots,300,200,200,100,100
round_queries,300,1000,3800,9300,170900
round_k,2,9,46,178,854
round_shots,400,100,100,100,100,100
round_queries,400,300,900,3100,10500,199300
round_k,1,4,15,52,207,996
round_shots,500,100,200,100,100,100
round_queries,500,300,1800,3700,13900,307700
round_k,1,4,18,69,303,1538
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,25700,593900
round_k,2,9,32,128,604,2969
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8500,156700
round_k,2,11,42,168,783
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,147700
round_k,2,11,39,159,738
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6900,27900,683900
round_k,2,9,34,139,627,3419
round_shots,300,200,100,100,100
round_queries,300,1000,2300,8300,142500
round_k,2,11,41,156,712
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,26100,613500
round_k,2,9,32,130,567,3067
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6700,26900,651700
round_k,2,9,33,134,601,3258
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,24700,619300
round_k,2,9,30,123,574,3096
round_shots,400,100,200,100,100,100
round_queries,400,500,3000,6300,24100,589100
round_k,2,7,31,120,554,2945
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7500,29500,729700
round_k,2,11,37,147,672,3648
round_shots,500,200,100,100,100,100
round_queries,500,1000,2300,7700,30700,731700
round_k,2,11,38,153,681,3658
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7100,28700,718900
round_k,2,11,35,143,657,3594
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,23100,544300
round_k,2,9,30,115,515,2721
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,21900,486500
round_k,2,9,30,109,472,2432
round_shots,400,200,200,100,100
round_queries,400,1000,3800,9300,172700
round_k,2,9,46,184,863
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,5700,21700,512300
round_k,2,9,28,108,483,2561
round_shots,400,200,100,100,100
round_queries,400,1000,2300,7500,142700
round_k,2,11,37,151,713
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,29500,721500
round_k,2,11,37,147,657,3607
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8300,146500
round_k,2,11,41,157,732
round_shots,400,100,100,100,100,100
round_queries,400,300,900,2700,9300,174500
round_k,1,4,13,46,182,872
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,25500,601500
round_k,2,9,32,127,559,3007
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,22500,516300
round_k,2,9,30,112,493,2581
round_shots,500,100,100,100,100,100
round_queries,500,300,900,2700,10500,205300
round_k,1,4,13,52,215,1026
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7700,150900
round_k,2,11,38,163,754
round_shots,400,200,100,100,100
round_queries,400,1000,2300,7500,141700
round_k,2,11,37,157,708
round_shots,500,100,100,100,100,100
round_queries,500,500,1500,4700,15700,333300
round_k,2,7,23,78,330,1666
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,26700,660700
round_k,2,9,32,133,622,3303
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,6100,22500,532300
round_k,2,8,30,112,504,2661
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,28500,706700
round_k,2,9,35,142,649,3533
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,22900,538900
round_k,2,9,30,114,527,2694
round_shots,500,100,100,100,100,100
round_queries,500,500,1500,4500,16300,344900
round_k,2,7,22,81,339,1724
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,30100,760100
round_k,2,11,39,150,694,3800
round_shots,300,100,200,100,100,100
round_queries,300,300,1800,3700,13900,292500
round_k,1,4,18,69,296,1462
round_shots,300,300,100,100,100
round_queries,300,1500,2700,9300,184500
round_k,2,13,46,192,922
round_shots,400,300,100,100,100
round_queries,400,1500,2700,9100,174100
round_k,2,13,45,186,870
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6900,26700,642700
round_k,2,9,34,133,609,3213
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,5900,21900,526900
round_k,2,9,29,109,501,2634
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,5700,22300,521100
round_k,2,9,28,111,489,2605
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,21100,464900
round_k,2,9,30,105,442,2324
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,24100,546700
round_k,2,9,30,120,522,2733
round_shots,400,200,100,100,100,100
round_queries,400,1000,1500,4700,17700,373500
round_k,2,7,23,88,384,1867
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6700,26300,619900
round_k,2,9,33,131,579,3099
round_shots,400,100,200,100,100,100
round_queries,400,300,1800,3700,13300,271700
round_k,1,4,18,66,273,1358
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,27100,665100
round_k,2,9,32,135,612,3325
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,28300,716300
round_k,2,11,37,141,662,3581
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,22500,508500
round_k,2,9,30,112,483,2542
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6100,24500,581300
round_k,2,9,30,122,550,2906
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,28300,709100
round_k,2,9,35,141,651,3545
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,24300,565300
