round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,23300,119100,599300
round_k,0,1,5,26,116,595,2996
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3500,17500,87500,444700,2314500
round_k,0,1,5,17,87,437,2223,11572
round_shots,100,100,100,100,100,100,100
round_queries,100,500,2300,10100,48300,250900,1298100
round_k,0,2,11,50,241,1254,6490
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1500,5300,23900,120700,617700
round_k,0,1,7,26,119,603,3088
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1500,6500,27900,140700,722700
round_k,0,1,7,32,139,703,3613
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,16300,81100,420100,2180900
round_k,0,1,4,16,81,405,2100,10904
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,17300,81900,415100,2135900
round_k,0,1,4,19,86,409,2075,10679
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,14900,72500,367900,1904300
round_k,0,1,4,17,74,362,1839,9521
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,16900,87300,440700,2266100
round_k,0,1,4,17,84,436,2203,11330
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3900,15700,76300,393100,2037900
round_k,0,1,4,19,78,381,1965,10189
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,17700,90100,447100,2288300
round_k,0,1,5,20,88,450,2235,11441
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,12300,51900,268300,1372700
round_k,0,1,4,16,61,259,1341,6863
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,16300,78100,400700,2067100
round_k,0,1,4,17,81,390,2003,10335
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,13900,67500,337500,1742100
round_k,0,1,4,16,69,337,1687,8710
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,26700,132900,674500
round_k,0,1,5,26,133,664,3372
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,19500,95300,487700,2544300
round_k,0,1,5,19,97,476,2438,12721
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,17700,83300,426300,2207100
round_k,0,1,5,20,88,416,2131,11035
round_shots,100,100,100,100,100,100,100,100
