round_shots,300,200,300,200,200,200,100,100,100
round_queries,300,600,2700,8200,25400,97800,204900,722900,9869300
round_k,1,4,20,63,244,1024,3614,13614,49346
round_shots,200,200,400,200,200,100,100,100,100
round_queries,200,600,3600,7400,24200,48300,156700,531900,7524700
round_k,1,4,18,60,241,783,2659,9360,37623
round_shots,300,200,200,200,300,100,100,100,100,100
round_queries,300,600,1800,5800,32100,39300,123700,402900,1337500,22844700
round_k,1,4,14,53,196,618,2014,6687,25433,114223
round_shots,300,200,200,200,200,200,200,100,100,100
round_queries,300,600,1800,5400,21000,68600,217400,467100,1684500,29593900
round_k,1,4,13,52,171,543,2335,8422,32861,147969
round_shots,300,200,200,300,200,200,100,100,200,100
round_queries,300,600,1800,8100,19800,62600,108700,362500,2521800,19024300
round_k,1,4,13,49,156,543,1812,6304,25216,95121
round_shots,300,200,200,200,200,200,200,100,100,100
round_queries,300,600,1800,5400,18600,59400,252200,472700,1702900,29334300
round_k,1,4,13,46,148,630,2363,8514,33117,146671
round_shots,200,200,300,200,200,200,100,100,100
round_queries,200,600,2700,7400,24200,82600,164500,497100,7203700
round_k,1,4,18,60,206,822,2485,9145,36018
round_shots,200,300,300,300,200,100,100,100,100,100
round_queries,200,900,2700,9300,24600,47500,149900,459300,1690500,19725100
round_k,1,4,15,61,237,749,2296,8452,29167,98625
round_shots,300,300,300,300,200,200,100,100,100,100
round_queries,300,900,2700,8700,19000,59000,126100,410700,1439300,24323900
round_k,1,4,14,47,147,630,2053,7196,28226,121619
round_shots,200,200,200,200,200,300,200,100,100,100
round_queries,200,600,1800,5400,17800,93900,230200,419900,1455700,21740900
round_k,1,4,13,44,156,575,2099,7278,25527,108704
round_shots,300,200,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5800,18200,72600,144500,468300,1734300,28966900
round_k,1,4,14,45,181,722,2341,8671,31533,144834
round_shots,300,300,500,200,200,100,200,100,100
round_queries,300,900,5500,8200,31000,65100,399800,790500,10190500
round_k,1,5,20,77,325,999,3952,12240,50952
round_shots,300,200,300,200,200,100,100,100,100,100
round_queries,300,600,2700,5800,19400,38100,116700,396700,1371100,22199100
round_k,1,4,14,48,190,583,1983,6855,26078,110995
round_shots,300,200,200,200,200,200,100,200,100
round_queries,300,600,1800,5800,19800,78600,161700,1102600,9658100
round_k,1,4,14,49,196,808,2756,12694,48290
round_shots,300,300,200,200,200,100,100,100,100,100
round_queries,300,900,1800,5400,19000,33100,101700,328700,1068700,14972700
round_k,1,4,13,47,165,508,1643,5343,17630,74863
round_shots,200,300,200,400,200,100,100,100,100,100
round_queries,200,900,1800,10800,22200,46500,144100,473300,1712900,20311300
round_k,1,4,13,55,232,720,2366,8564,33682,101556
round_shots,300,200,300,200,200,100,100,100,100,100
round_queries,300,600,2700,7000,21800,43300,131900,453700,1664700,26940700
round_k,1,4,17,54,216,659,2268,8323,33221,134703
round_shots,300,200,300,200,200,100,200,100,100
round_queries,300,600,2700,7000,24200,47700,300200,691500,11045100
round_k,1,4,17,60,238,750,3457,13142,55225
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5800,20600,40500,127100,425900,1538700,25218700
round_k,1,4,14,51,202,635,2129,7693,29167,126093
round_shots,300,200,200,300,200,200,100,100,100,100
round_queries,300,600,1800,8700,20200,66200,141700,480100,1769500,28456100
round_k,1,4,14,50,165,708,2400,8847,36024,142280
round_shots,300,300,200,200,200,100,100,100,100,100
round_queries,300,900,1800,5400,16200,32300,98700,315900,1054900,16652900
round_k,1,4,13,40,161,493,1579,5274,20014,83264
round_shots,300,200,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5400,18600,75000,141100,474700,1658100,30211100
round_k,1,4,13,46,187,705,2373,8290,33762,151055
round_shots,200,300,300,200,200,100,100,100,200,100
round_queries,200,900,3300,7000,23000,45900,148300,505700,3297800,24693900
round_k,1,5,17,57,229,741,2528,8244,30868,123469
round_shots,300,200,200,300,200,100,200,100,100
round_queries,300,600,1800,8100,23000,48700,309800,667900,10405300
round_k,1,4,13,57,243,774,3339,12584,52026
round_shots,300,200,200,200,200,200,200,100,100,100
round_queries,300,600,1800,6600,19800,73400,288600,620100,2232500,30392900
round_k,1,4,16,49,183,721,3100,11162,45828,151964
round_shots,300,200,200,200,200,100,100,100,100,100
round_queries,300,600,1800,5400,17000,33100,101700,317500,984900,14827300
round_k,1,4,13,42,165,508,1587,4924,19047,74136
round_shots,200,200,200,200,200,200,200,200,100,100
round_queries,200,600,1800,5400,17400,55400,213000,762600,1503700,26035300
round_k,1,4,13,43,138,532,1906,7518,30196,130176
round_shots,300,200,300,200,200,200,100,100,100
round_queries,300,600,2700,5400,20200,72200,161300,559900,7218900
round_k,1,4,13,50,180,806,2799,10170,36094
round_shots,300,300,300,300,200,200,100,100,200
round_queries,300,900,2700,8700,23400,89800,197500,678300,19769000
round_k,1,4,14,58,224,987,3391,12329,49422
round_shots,300,200,200,300,200,200,100,100,100
round_queries,300,600,1800,9900,32200,122200,245100,863100,13239100
round_k,1,4,16,80,305,1225,4315,16390,66195
round_shots,300,300,300,300,200,100,100,100,100,100
round_queries,300,900,2700,8100,26200,54900,168500,563900,1817700,26794300
round_k,1,4,13,65,274,842,2819,9088,31660,133971
round_shots,300,200,300,300,200,100,100,100,100,100
round_queries,300,600,2700,10500,26600,48900,154700,530100,1955700,25094900
round_k,1,4,17,66,244,773,2650,9778,37809,125474
round_shots,200,200,200,200,200,200,200,100,100
round_queries,200,600,1800,5400,21400,76200,305000,674700,8097700
round_k,1,4,13,53,190,762,3373,12079,40488
round_shots,200,200,300,200,200,100,100,100,200,100
round_queries,200,600,2700,5800,19400,41100,126300,427700,3109000,29950900
round_k,1,4,14,48,205,631,2138,7772,34121,149754
round_shots,200,200,300,200,200,200,100,100,100
round_queries,200,600,2700,7000,21400,78200,174500,601700,10215900
round_k,1,4,17,53,195,872,3008,11364,51079
round_shots,300,400,500,300,200,200,100,100,100
round_queries,300,1200,5500,9900,25400,96600,210700,699100,10104100
round_k,1,5,16,63,241,1053,3495,13227,50520
round_shots,300,300,200,300,200,100,100,100,100,100
round_queries,300,900,1800,8700,21800,45900,146500,453500,1599100,26904500
round_k,1,4,14,54,229,732,2267,7995,30634,134522
round_shots,300,200,200,300,600,100,200,100,100,100
round_queries,300,600,1800,8100,60600,32900,201000,351700,1235500,16488100
round_k,1,4,13,50,164,502,1758,6177,19579,82440
round_shots,300,300,300,200,200,200,100,100,100
round_queries,300,900,3300,7000,21800,87400,182700,638300,10008700
round_k,1,5,17,54,218,913,3191,12069,50043
round_shots,300,200,300,200,300,200,200,100,100
round_queries,300,600,2700,6600,39900,102200,425400,865900,14011700
round_k,1,4,16,66,255,1063,4329,16408,70058
round_shots,300,200,200,200,200,200,100,100,200,100
round_queries,300,600,1800,5400,17800,70200,138500,466100,3387000,25721500
round_k,1,4,13,44,175,692,2330,8467,29874,128607
round_shots,300,300,300,600,200,300,100,100,100
round_queries,300,900,2700,17400,19000,105300,154100,483500,7873100
round_k,1,4,14,47,175,770,2417,8637,39365
round_shots,300,200,300,200,200,200,100,100,200
round_queries,300,600,2700,5800,17800,74600,171700,517900,14693800
round_k,1,4,14,44,186,858,2589,9297,36734
round_shots,300,200,200,200,200,200,200,100,100,100
round_queries,300,600,1800,5400,17400,52200,189800,404300,1479700,18980300
