round_shots,200,200,800,200,100,100,100,100
round_queries,200,600,7200,10600,21700,67700,230300,3199100
round_k,1,4,26,108,338,1151,4320,15995
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,400,200,100,300,200,100
round_queries,200,600,1800,12400,18600,37500,381900,764600,7247100
round_k,1,4,15,46,187,636,1911,8154,36235
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,600,200,200,100,100,100
round_queries,200,600,5400,9800,41000,91100,330500,5349700
round_k,1,4,24,102,455,1652,6208,26748
round_shots,200,200,400,300,100,100,100,100,100
round_queries,200,600,3600,8100,9500,28700,93100,322100,5340900
round_k,1,4,13,47,143,465,1610,6265,26704
round_shots,200,200,400,200,200,100,300,100
round_queries,200,600,3600,8200,27800,59500,610500,2566300
round_k,1,4,20,69,297,1017,4212,12831
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,200,200,200,100,100
round_queries,200,600,1800,6600,25800,103000,227100,3014900
round_k,1,4,16,64,257,1135,3597,15074
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,200,200,100,200,100
round_queries,200,600,1800,5400,17400,34100,226200,1770100
round_k,1,4,13,43,170,565,2278,8850
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,300,200,200,200,200,100,100
round_queries,200,900,1800,6200,22600,94600,153700,2077500
round_k,1,4,15,56,236,768,2524,10387
round_shots,200,200,600,200,100,100,200,100
round_queries,200,600,5400,9400,19500,62100,421800,3047900
round_k,1,4,23,97,310,1054,3558,15239
round_shots,200,200,600,300,200,200,100,100
round_queries,200,600,5400,8100,18600,74600,156500,2258300
round_k,1,4,13,46,186,782,2785,11291
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,500,300,100,100,100,100,100
round_queries,200,600,4500,8100,8900,26900,81700,264900,4142300
round_k,1,4,13,44,134,408,1324,4787,20711
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,200,200,200,100,100,200,100
round_queries,200,600,1800,5400,17400,35900,111300,716600,5705500
round_k,1,4,13,43,179,556,1791,7044,28527
round_shots,200,200,300,200,200,100,100,100
round_queries,200,600,2700,7000,29800,67100,233300,2408700
round_k,1,4,17,74,335,1166,3756,12043
round_shots,200,200,300,300,100,100,100,100,100
round_queries,200,600,2700,8700,11300,33900,110100,398500,7028300
round_k,1,4,14,56,169,550,1992,7888,35141
round_shots,200,200,700,300,100,100,100,200,100
round_queries,200,600,6300,8100,9300,28100,88900,567000,5924100
round_k,1,4,13,46,140,444,1417,6748,29620
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3100,9300,28900,92900,309300,3910700
round_k,1,4,15,46,144,464,1546,5363,19553
round_shots,200,200,300,300,200,100,100,100
