round_shots,300,200,200,100,100,100
round_queries,300,600,2200,4500,17100,338500
round_k,1,5,22,85,352,1692
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3700,12300,47900,1114100
round_k,1,5,18,61,239,1056,5570
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3300,11500,44100,1051700
round_k,1,5,16,57,220,998,5258
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3300,12300,48700,1132500
round_k,1,5,16,61,243,1065,5662
round_shots,300,400,100,100,100,100,100
round_queries,300,1200,1100,3500,11500,45500,1071300
round_k,1,5,17,57,227,1016,5356
round_shots,400,200,100,100,100,100,100
round_queries,400,600,1100,3700,13500,53100,1307100
round_k,1,5,18,67,265,1223,6535
round_shots,400,300,200,100,100,100
round_queries,400,900,2200,4900,18300,347900
round_k,1,5,24,91,377,1739
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3300,10300,42500,952700
round_k,1,5,16,51,212,925,4763
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3300,11100,43100,1011900
round_k,1,5,16,55,215,970,5059
round_shots,200,300,100,100,100,100,100
round_queries,200,900,1100,3700,13500,53100,1276700
round_k,1,5,18,67,265,1205,6383
round_shots,200,300,100,100,100,100
round_queries,200,900,1500,5300,18300,351300
round_k,1,7,26,91,372,1756
round_shots,300,200,200,100,100,100,100
round_queries,300,600,2200,4100,13700,54700,1344900
round_k,1,5,20,68,273,1268,6724
round_shots,200,300,200,100,100,100
round_queries,200,900,2200,4500,16700,315900
round_k,1,5,22,83,342,1579
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3300,11500,45300,1083100
round_k,1,5,16,57,226,1025,5415
round_shots,200,200,200,100,100,100
round_queries,200,600,2200,4500,15500,311900
round_k,1,5,22,77,328,1559
round_shots,200,300,200,100,100,100
round_queries,200,900,2200,4900,16100,312500
round_k,1,5,24,80,334,1562
round_shots,300,200,200,100,100,100
round_queries,300,600,2200,5300,18500,355900
round_k,1,5,26,92,374,1779
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3700,13700,54300,1337900
round_k,1,5,18,68,271,1248,6689
round_shots,200,200,200,100,100,100
round_queries,200,600,2200,4900,17700,337900
round_k,1,5,24,88,363,1689
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3300,11300,44300,1060900
round_k,1,5,16,56,221,1006,5304
round_shots,300,300,200,100,100,100
round_queries,300,900,3000,7700,30100,590700
round_k,1,7,38,150,630,2953
round_shots,300,200,200,100,100,100
round_queries,300,600,2200,5700,22100,457900
round_k,1,5,28,110,474,2289
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3300,10700,40900,963700
round_k,1,5,16,53,204,918,4818
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3300,11700,47300,1128100
round_k,1,5,16,58,236,1060,5640
round_shots,300,300,100,100,100,100
round_queries,300,900,1700,6100,20900,391500
round_k,1,8,30,104,408,1957
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3700,14100,56300,1461100
round_k,1,5,18,70,281,1327,7305
round_shots,400,300,100,100,100,100,100
round_queries,400,900,1100,3700,12100,46500,1074300
round_k,1,5,18,60,232,1025,5371
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3700,13300,53100,1310100
round_k,1,5,18,66,265,1228,6550
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3700,12700,52300,1279500
round_k,1,5,18,63,261,1190,6397
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3700,12500,50100,1204300
round_k,1,5,18,62,250,1129,6021
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3300,11300,44100,1046500
round_k,1,5,16,56,220,993,5232
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3700,12500,52100,1276500
round_k,1,5,18,62,260,1191,6382
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3300,12500,49100,1186900
round_k,1,5,16,62,245,1105,5934
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3300,11900,47500,1115300
round_k,1,5,16,59,237,1052,5576
round_shots,300,300,100,100,100,100
round_queries,300,900,1500,4500,16700,321300
round_k,1,7,22,83,335,1606
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3300,10700,41900,1015700
round_k,1,5,16,53,209,958,5078
round_shots,200,300,100,100,100,100,100
round_queries,200,900,1100,3700,12300,46900,1149700
round_k,1,5,18,61,234,1088,5748
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3700,13500,53500,1306100
round_k,1,5,18,67,267,1216,6530
round_shots,300,200,200,100,100,100
round_queries,300,600,2200,5100,17300,339900
round_k,1,5,25,86,352,1699
round_shots,100,200,100,100,100,100,100
round_queries,100,600,1100,3700,12500,50300,1237300
round_k,1,5,18,62,251,1146,6186
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3700,13500,54100,1309700
round_k,1,5,18,67,270,1237,6548
round_shots,300,200,200,100,100,100
round_queries,300,600,2200,4700,16300,318900
round_k,1,5,23,81,342,1594
round_shots,200,200,200,100,100,100
round_queries,200,600,2200,4900,17900,343300
round_k,1,5,24,89,363,1716
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3300,11100,41700,949100
round_k,1,5,16,55,208,925,4745
round_shots,300,200,100,100,100,100,100
round_queries,300,600,1100,3300,10700,42900,991300
round_k,1,5,16,53,214,951,4956
round_shots,400,200,100,100,100,100,100
round_queries,400,600,1100,3300,12300,49900,1236900
round_k,1,5,16,61,249,1159,6184
round_shots,400,200,200,100,100,100,100
round_queries,400,600,2200,3500,10700,39900,907100
round_k,1,5,17,53,199,873,4535
round_shots,300,300,200,100,100,100
round_queries,300,900,2200,4500,16700,327500
round_k,1,5,22,83,354,1637
round_shots,300,200,200,100,100,100,100
round_queries,300,600,2200,4100,13300,53900,1344100
round_k,1,5,20,66,269,1236,6720
round_shots,400,200,200,100,100,100
round_queries,400,600,2200,4900,17100,330300
round_k,1,5,24,85,344,1651
round_shots,200,300,100,100,100,100,100
round_queries,200,900,1100,3700,12500,52500,1295300
round_k,1,5,18,62,262,1199,6476
round_shots,300,200,200,100,100,100
round_queries,300,600,2200,4700,18300,354300
round_k,1,5,23,91,385,1771
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3300,10300,39900,947300
round_k,1,5,16,51,199,905,4736
round_shots,300,200,200,100,100,100
round_queries,300,600,2200,4500,16900,313700
round_k,1,5,22,84,336,1568
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1100,3300,11300,44100,1048700
round_k,1,5,16,56,220,989,5243
round_shots,200,200,200,100,100,100
round_queries,200,600,2200,4300,15100,288100
round_k,1,5,21,75,305,1440
round_shots,400,200,100,100,100,100,100
round_queries,400,600,1100,3700,13700,54500,1400700
round_k,1,5,18,68,272,1287,7003
round_shots,300,200,200,100,100,100
round_queries,300,600,2200,5300,20700,419100
round_k,1,5,26,103,437,2095
round_shots,200,300,100,100,100,100,100
round_queries,200,900,1100,3700,12700,48700,1174500
round_k,1,5,18,63,243,1090,5872
round_shots,200,300,200,100,100,100
round_queries,200,900,3000,6700,24900,512100
round_k,1,7,33,124,527,2560
round_shots,300,200,200,100,100,100
round_queries,300,600,2200,4500,15900,311900
round_k,1,5,22,79,329,1559
round_shots,300,300,100,100,100,100,100
round_queries,300,900,1100,3700,13900,56300,1389500
round_k,1,5,18,69,281,1286,6947
round_shots,300,200,200,100,100,100
round_queries,300,600,2200,5100,19100,370700
round_k,1,5,25,95,392,1853
round_shots,200,300,100,100,100,100,100
round_queries,200,900,1500,4500,14900,60700,1533100
round_k,1,7,22,74,303,1394,7665
round_shots,300,200,200,100,100,100
round_queries,300,600,2200,4900,17500,326300
