round_shots,1300,400,200,200,200,100,200,100,100
round_queries,1300,2000,4600,15800,61000,124500,781400,1761100,27821100
round_k,2,11,39,152,622,1953,8805,33590,139105
round_shots,1100,400,200,200,200,100,100,100,100,100
round_queries,1100,2000,4600,16600,55800,88500,273900,924100,3368700,60238700
round_k,2,11,41,139,442,1369,4620,16843,67160,301193
round_shots,1100,400,300,200,200,100,100,100,100,100
round_queries,1100,2000,5700,13800,52600,87500,266100,868300,2886500,47333100
round_k,2,9,34,131,437,1330,4341,14432,54183,236665
round_shots,1300,400,200,300,200,100,100,100,200,100
round_queries,1300,2000,4600,22500,49000,102700,323300,1098900,8111400,55432300
round_k,2,11,37,122,513,1616,5494,20278,68094,277161
round_shots,1000,400,200,200,400,200,100,200,100,100
round_queries,1000,2000,4600,15000,102000,207800,472300,2984200,4832700,76640300
round_k,2,11,37,127,519,2361,7460,24163,86512,383201
round_shots,800,500,200,200,200,100,200,100,100
round_queries,800,2500,5400,18200,73400,156300,977400,1920300,23365100
round_k,2,13,45,183,781,2443,9601,29874,116825
round_shots,800,400,200,200,200,200,100,200,100
round_queries,800,2000,4600,15800,54200,198600,445700,3093000,24749700
round_k,2,11,39,135,496,2228,7732,33170,123748
round_shots,1200,300,300,200,200,100,100,100,100,100
round_queries,1200,1500,5700,16600,55800,110500,351900,1094500,4012300,61247500
round_k,2,9,41,139,552,1759,5472,20061,71852,306237
round_shots,1300,200,300,200,200,100,100,100,200,100
round_queries,1300,600,2700,7400,27400,53100,161100,529100,3434200,30146300
round_k,1,4,18,68,265,805,2645,8585,37753,150731
round_shots,800,300,200,200,200,200,100,200,100,100
round_queries,800,1500,3800,12200,49000,198600,377100,2599400,4157300,75696100
round_k,2,9,30,122,496,1885,6498,20786,84728,378480
round_shots,700,400,300,200,100,100,100,100,100,100
round_queries,700,2000,6900,15400,25700,77100,240300,807500,2692500,43096300
round_k,2,11,38,128,385,1201,4037,13462,50627,215481
round_shots,800,400,200,200,200,100,100,100,100,100
round_queries,800,2000,3800,13000,47000,77700,240900,793900,2500300,29176300
round_k,2,9,32,117,388,1204,3969,12501,39587,145881
round_shots,900,300,300,200,200,200,100,100,100,100
round_queries,900,1500,5700,15800,56600,213000,420100,1309300,4929500,76340100
round_k,2,9,39,141,532,2100,6546,24647,98619,381700
round_shots,1000,300,200,200,200,200,100,100,100,100
round_queries,1000,1500,3800,12200,42200,142200,282700,876500,3134900,54817700
round_k,2,9,30,105,355,1413,4382,15674,61590,274088
round_shots,1100,300,300,300,200,200,200,200,100
round_queries,1100,1500,5700,17700,47800,177800,747400,3027000,27165700
round_k,2,9,29,119,444,1868,7567,28364,135828
round_shots,1000,500,200,200,200,100,200,100,100
round_queries,1000,2500,5400,18200,68600,142500,888600,2043700,33275100
round_k,2,13,45,171,712,2221,10218,39330,166375
round_shots,1000,300,200,200,200,200,100,100,100
round_queries,1000,1500,3800,13400,50600,204600,463100,1624900,23888100
round_k,2,9,33,126,511,2315,8124,28635,119440
round_shots,800,300,300,200,200,200,200,100,100
round_queries,800,1500,5700,14600,47000,169000,629800,1420700,18669300
round_k,2,9,36,117,422,1574,7103,23669,93346
round_shots,1200,300,200,200,200,200,100,100,100
round_queries,1200,1500,3800,12200,45000,184600,370900,1212900,17180500
round_k,2,9,30,112,461,1854,6064,21232,85902
round_shots,700,200,300,200,200,200,200,100,100,100
round_queries,700,1000,4500,10200,37400,155000,681400,1316500,4742100,52548100
round_k,2,7,25,93,387,1703,6582,23710,73224,262740
round_shots,1400,400,200,300,200,200,200,100,100
round_queries,1400,2000,4600,23100,61400,243400,1045400,2186100,35896300
round_k,2,11,38,153,608,2613,10930,42124,179481
round_shots,700,400,200,200,200,200,200,100,100
round_queries,700,2000,4600,16600,60200,202200,806600,1762100,26105700
round_k,2,11,41,150,505,2016,8810,32397,130528
round_shots,1400,300,300,400,200,200,200,200,100,100
round_queries,1400,900,2700,13200,24600,87000,379800,1631400,3760500,58425100
round_k,1,4,16,61,217,949,4078,18802,66686,292125
round_shots,1300,400,200,200,200,200,100,100,100
round_queries,1300,2000,4600,16600,61000,249000,539900,1834500,29203300
round_k,2,11,41,152,622,2699,9172,34712,146016
round_shots,1100,400,200,200,200,100,100,100,100,100
round_queries,1100,2000,4600,16600,61000,126900,409300,1380700,4931500,68587500
round_k,2,11,41,152,634,2046,6903,24657,100791,342937
round_shots,700,400,200,200,200,100,100,300,100,100
round_queries,700,2000,4600,14200,51800,108900,343300,3329700,4202500,62971500
round_k,2,11,35,129,544,1716,5549,21012,70189,314857
round_shots,1500,300,200,200,200,200,200,100,200,100
round_queries,1500,900,1800,5800,17800,69000,269000,551700,3885400,25911700
round_k,1,4,14,44,172,672,2758,9713,33208,129558
round_shots,1000,300,300,200,200,200,100,100,100,100
round_queries,1000,1500,5700,13800,51400,210200,477900,1471100,5508300,73294900
round_k,2,9,34,128,525,2389,7355,27541,114096,366474
round_shots,1400,400,200,200,200,100,100,200,100
round_queries,1400,2000,4600,15800,64200,123900,392100,2648600,18432900
round_k,2,11,39,160,619,1960,6621,22844,92164
round_shots,1000,300,200,200,200,200,100,100,200,100
round_queries,1000,1500,3800,13000,48600,179000,382900,1189100,8760200,73390500
round_k,2,9,32,121,447,1914,5945,21900,95333,366952
round_shots,1300,300,300,200,200,200,200,100,200,100
round_queries,1300,900,2700,7400,22600,70200,269400,585900,3968200,27743500
round_k,1,4,18,56,175,673,2929,9920,34694,138717
round_shots,900,400,200,300,200,100,200,100,100
round_queries,900,2000,4600,22500,53800,111300,698600,1432100,19539300
round_k,2,11,37,134,556,1746,7160,23852,97696
round_shots,1300,300,200,200,200,100,100,200,200,100
round_queries,1300,1500,3800,11400,38600,77700,247700,1551800,5376600,42781500
round_k,2,9,28,96,388,1238,3879,13441,58883,213907
round_shots,1000,400,200,200,200,100,100,100,100,100
round_queries,1000,2000,4600,15800,50600,104500,328500,1119500,4047700,71603900
round_k,2,11,39,126,522,1642,5597,20238,80448,358019
round_shots,900,300,200,200,200,100,200,200,100,100
round_queries,900,1500,3800,13000,42200,79100,485800,1791400,4100300,75424700
round_k,2,9,32,105,395,1214,4478,20501,82989,377123
round_shots,1100,400,200,200,200,200,100,100,100,100
round_queries,1100,2000,4600,15000,55000,199800,383100,1233700,4568100,73997500
round_k,2,11,37,137,499,1915,6168,22840,91770,369987
round_shots,900,400,200,200,200,100,100,100,200
round_queries,900,2000,4600,15800,61000,123100,390500,1342700,34702600
round_k,2,11,39,152,615,1952,6713,21543,86756
round_shots,1300,400,200,200,200,200,100,100,100,100
round_queries,1300,2000,4600,15800,57400,231000,476100,1555500,4840100,70649500
round_k,2,11,39,143,577,2380,7777,24200,98019,353247
round_shots,1100,400,200,200,200,100,100,100,100,100
round_queries,1100,2000,4600,14600,47000,97100,303300,1039700,3807100,64892100
round_k,2,11,36,117,485,1516,5198,19035,73114,324460
round_shots,1400,500,400,200,200,100,100,100,100
round_queries,1400,2500,10800,21400,77000,165700,505300,1777100,25949300
round_k,2,13,53,192,828,2526,8885,33184,129746
round_shots,800,400,200,200,200,100,100,100,100,100
round_queries,800,2000,4600,16600,58600,96900,306500,1056300,3858500,44145100
round_k,2,11,41,146,484,1532,5281,19292,71277,220725
round_shots,1300,200,400,200,200,100,100,100,200,100
round_queries,1300,1000,6000,12200,45800,92100,287900,865300,5737400,34379300
round_k,2,7,30,114,460,1439,4326,14343,46279,171896
round_shots,800,500,200,200,200,100,100,100,100
round_queries,800,2500,4600,16600,63400,135900,443500,1445900,19541100
round_k,2,11,41,158,679,2217,7229,27037,97705
round_shots,1300,500,200,200,200,100,100,200,100,100
round_queries,1300,2500,4600,14600,58600,119100,378300,2537000,4230900,75916500
round_k,2,11,36,146,595,1891,6342,21154,85714,379582
round_shots,1000,400,300,200,200,100,100,100,100
round_queries,1000,2000,6900,19000,76200,149300,484500,1697900,18468900
round_k,2,11,47,190,746,2422,8489,30188,92344
round_shots,1100,500,200,200,200,100,100,100,100,100
round_queries,1100,2500,4600,14200,52600,109100,340500,1126500,4187100,73047900
round_k,2,11,35,131,545,1702,5632,20935,85021,365239
round_shots,800,300,200,200,200,200,100,200,100
round_queries,800,1500,3800,12200,47800,191400,414500,2870600,21659300
round_k,2,9,30,119,478,2072,7176,29411,108296
round_shots,900,300,200,200,200,100,100,100,100,100
round_queries,900,1500,3800,12600,42200,88300,275900,930900,3422700,50767900
round_k,2,9,31,105,441,1379,4654,17113,57994,253839
round_shots,1300,400,200,200,200,100,100,200,100,100
round_queries,1300,2000,4600,15000,50200,98900,307900,2010600,3261500,42402100
round_k,2,11,37,125,494,1539,5026,16307,50251,212010
round_shots,1400,400,200,200,200,100,100,100,100,100
round_queries,1400,2000,4600,15800,61000,129500,417100,1451100,4963500,64043100
