round_shots,800,300,100,100,100,100
round_queries,800,2100,2500,9100,35700,645500
round_k,3,12,45,178,674,3227
round_shots,700,300,100,100,100,100
round_queries,700,1500,2500,8500,30300,598500
round_k,2,12,42,151,637,2992
round_shots,700,200,100,100,100,100
round_queries,700,1000,2300,8300,31900,638100
round_k,2,11,41,159,669,3190
round_shots,400,200,200,200,100,100
round_queries,400,1000,3800,14200,37700,691300
round_k,2,9,35,188,717,3456
round_shots,800,200,200,100,100,100
round_queries,800,1400,5800,10100,35700,708700
round_k,3,14,50,178,743,3543
round_shots,300,300,200,100,100,100,100
round_queries,300,1500,3400,7100,24100,95500,2328900
round_k,2,8,35,120,477,2185,11644
round_shots,500,100,100,200,100,100,100
round_queries,500,500,1700,12200,24500,95300,2373300
round_k,2,8,30,122,476,2194,11866
round_shots,500,300,100,100,100,100,100
round_queries,500,1500,1900,6100,19900,82300,1229900
round_k,2,9,30,99,411,1653,6149
round_shots,400,200,200,200,200,100,100
round_queries,400,1000,3400,11800,49400,111100,2315500
round_k,2,8,29,123,555,2434,11577
round_shots,700,200,200,100,100,100
round_queries,700,1400,5000,11100,42100,885500
round_k,3,12,55,210,906,4427
round_shots,500,200,100,100,100,100,100
round_queries,500,1000,1900,6100,20300,65100,1424900
round_k,2,9,30,101,325,1396,7124
round_shots,300,200,100,100,100,100,100
round_queries,300,1000,2300,7900,25300,94300,2271500
round_k,2,11,39,126,471,2129,11357
round_shots,500,200,200,200,100,100
round_queries,500,1000,4600,21800,53500,1189500
round_k,2,11,54,267,1174,5947
round_shots,700,200,200,100,100,100,100
round_queries,700,1000,3400,7700,26100,101500,2571300
round_k,2,8,38,130,507,2372,12856
round_shots,400,300,200,100,100,100,100
round_queries,400,1500,3800,7100,22700,91700,2195500
round_k,2,9,35,113,458,2074,10977
round_shots,700,200,200,100,100,100,100
round_queries,700,1400,4600,7700,25100,85100,1900700
round_k,3,11,38,125,425,1833,9503
round_shots,500,300,100,100,100,100
round_queries,500,1500,2500,9300,31700,628500
round_k,2,12,46,158,659,3142
round_shots,400,300,200,200,100,100
round_queries,400,1500,3800,15400,35100,697900
round_k,2,9,38,175,723,3489
round_shots,600,200,100,200,100,100,100
round_queries,600,1000,1700,10600,24300,94700,2332500
round_k,2,8,26,121,473,2183,11662
round_shots,800,200,100,100,100,100,100
round_queries,800,1400,2300,7300,24900,98500,2392100
round_k,3,11,36,124,492,2233,11960
round_shots,700,200,200,100,100,100,100
round_queries,700,1400,4600,8900,27700,106900,2619300
round_k,3,11,44,138,534,2413,13096
round_shots,500,300,200,200,100,100
round_queries,500,1500,3800,14600,37500,730900
round_k,2,9,36,187,752,3654
round_shots,700,100,200,100,100,100
round_queries,700,700,4600,10700,37900,610100
round_k,3,11,53,189,688,3050
round_shots,700,200,200,200,100,100,100
round_queries,700,1000,3800,13400,24500,77900,1548100
round_k,2,9,33,122,389,1536,7740
round_shots,700,300,100,100,100,100,100
round_queries,700,1500,1900,6100,22900,75300,1665900
round_k,2,9,30,114,376,1633,8329
round_shots,800,200,100,100,100,100,100
round_queries,800,1400,2500,8500,27900,109300,2769300
round_k,3,12,42,139,546,2549,13846
round_shots,400,300,100,100,100,100,100
round_queries,400,1500,1900,5900,21100,72300,1716300
round_k,2,9,29,105,361,1645,8581
round_shots,600,300,100,100,100,100,100
round_queries,600,1500,1900,5900,20100,78900,1831300
round_k,2,9,29,100,394,1745,9156
round_shots,600,200,100,100,100,100,100
