round_shots,300,100,100,100,100,100
round_queries,300,900,4300,19100,95500,491900
round_k,0,4,21,95,477,2459
round_shots,400,100,100,100,100,100,100
round_queries,400,300,1500,5500,25700,112900,536900
round_k,0,1,7,27,128,564,2684
round_shots,400,100,100,100,100,100,100
round_queries,400,700,2500,11500,53900,279300,1445900
round_k,0,3,12,57,269,1396,7229
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3300,13100,61700,318500
round_k,0,1,4,16,65,308,1592
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2700,11500,57300,285900,1471300
round_k,0,3,13,57,286,1429,7356
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,11900,48100,250500,1223500
round_k,0,3,12,59,240,1252,6117
round_shots,300,100,100,100,100,100,100
round_queries,300,300,900,3300,16100,79900,415100
round_k,0,1,4,16,80,399,2075
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,9700,45500,224300,1166300
round_k,0,3,12,48,227,1121,5831
round_shots,200,100,100,100,100,100,100
round_queries,200,700,2300,9900,48300,244300,1267700
round_k,0,3,11,49,241,1221,6338
round_shots,400,100,100,100,100,100
round_queries,400,700,3300,16300,77500,397500
round_k,0,3,16,81,387,1987
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2700,10900,55700,287900,1507100
round_k,0,3,13,54,278,1439,7535
round_shots,400,100,100,100,100,100
round_queries,400,900,3300,13300,65700,337500
round_k,0,4,16,66,328,1687
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2700,11700,57900,298100,1544700
round_k,0,3,13,58,289,1490,7723
round_shots,300,100,100,100,100,100
round_queries,300,700,2500,12300,58700,301700
round_k,0,3,12,61,293,1508
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,3300,16300,77700,405100
round_k,0,1,4,16,81,388,2025
round_shots,200,100,100,100,100,100,100
round_queries,200,700,2500,12100,49100,246300,1279500
round_k,0,3,12,60,245,1231,6397
round_shots,200,100,100,100,100,100,100
round_queries,200,700,2500,9500,42300,193900,967100
round_k,0,3,12,47,211,969,4835
round_shots,400,100,100,100,100,100,100
round_queries,400,700,3100,11900,49700,250100,1272500
round_k,0,3,15,59,248,1250,6362
round_shots,300,100,100,100,100,100
round_queries,300,700,3100,13700,62100,324500
round_k,0,3,15,68,310,1622
round_shots,200,100,100,100,100,100
round_queries,200,700,2700,12500,61700,316900
round_k,0,3,13,62,308,1584
round_shots,400,100,100,100,100,100,100
round_queries,400,700,2500,11700,56900,293300,1512500
round_k,0,3,12,58,284,1466,7562
round_shots,300,100,100,100,100,100
round_queries,300,700,3100,12700,62700,319900
round_k,0,3,15,63,313,1599
round_shots,300,100,100,100,100,100
round_queries,300,900,3300,14500,74700,388300
round_k,0,4,16,72,373,1941
round_shots,200,100,100,100,100,100,100
round_queries,200,700,2300,9300,45300,230300,1191700
round_k,0,3,11,46,226,1151,5958
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,11500,56900,288700,1500700
round_k,0,3,12,57,284,1443,7503
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,10700,54700,284300,1465900
round_k,0,3,12,53,273,1421,7329
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1500,6300,26500,130900,677100
round_k,0,1,7,31,132,654,3385
round_shots,300,100,100,100,100,100
round_queries,300,700,3500,16700,81500,418500
round_k,0,3,17,83,407,2092
round_shots,200,100,100,100,100,100,100
round_queries,200,700,2500,11300,49500,247100,1117300
round_k,0,3,12,56,247,1235,5586
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,10700,54300,274900,1426500
round_k,0,3,12,53,271,1374,7132
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2300,9100,46300,236900,1234700
round_k,0,3,11,45,231,1184,6173
round_shots,300,100,100,100,100,100,100
round_queries,300,300,900,4100,15900,63100,319700
round_k,0,1,4,20,79,315,1598
round_shots,300,100,100,100,100,100,100
round_queries,300,300,900,3900,16300,80500,415700
round_k,0,1,4,19,81,402,2078
round_shots,300,100,100,100,100,100,100
round_queries,300,300,900,4100,19500,95700,493700
round_k,0,1,4,20,97,478,2468
round_shots,400,100,100,100,100,100
round_queries,400,900,3100,12900,65300,322100
round_k,0,4,15,64,326,1610
round_shots,400,100,100,100,100,100
round_queries,400,700,3300,16500,81700,422500
round_k,0,3,16,82,408,2112
round_shots,400,100,100,100,100,100
round_queries,400,700,3100,16100,83300,411900
round_k,0,3,15,80,416,2059
round_shots,300,100,100,100,100,100,100
round_queries,300,300,900,4700,22100,113300,581100
round_k,0,1,4,23,110,566,2905
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,4100,20300,99500,502900
round_k,0,1,4,20,101,497,2514
round_shots,300,100,100,100,100,100
round_queries,300,700,2900,13300,67100,343900
round_k,0,3,14,66,335,1719
round_shots,400,100,100,100,100,100,100
round_queries,400,700,2300,8900,44700,228500,1186500
round_k,0,3,11,44,223,1142,5932
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3300,16900,88100,453700
round_k,0,1,4,16,84,440,2268
round_shots,200,100,100,100,100,100
round_queries,200,700,3300,14900,74700,372900
round_k,0,3,16,74,373,1864
round_shots,200,100,100,100,100,100,100
round_queries,200,700,2300,8700,37300,191500,996700
round_k,0,3,11,43,186,957,4983
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,4100,15900,66900,341500
round_k,0,1,4,20,79,334,1707
round_shots,300,100,100,100,100,100
round_queries,300,700,3300,14300,70500,363300
round_k,0,3,16,71,352,1816
round_shots,300,100,100,100,100,100,100
round_queries,300,700,2500,11300,54900,283300,1455700
round_k,0,3,12,56,274,1416,7278
round_shots,400,100,100,100,100,100,100
round_queries,400,700,2500,10900,55900,287500,1483900
round_k,0,3,12,54,279,1437,7419
round_shots,400,100,100,100,100,100
round_queries,400,700,3100,15500,75700,383100
round_k,0,3,15,77,378,1915
round_shots,400,100,100,100,100,100
round_queries,400,900,3100,14900,63700,329700
round_k,0,4,15,74,318,1648
