round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1500,6100,28900,136500,675700,3401700,17130500
round_k,0,1,7,30,144,682,3378,17008,85652
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,24500,121500,607500,3067900,15544300
round_k,0,1,6,26,122,607,3037,15339,77721
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1300,6100,28300,137100,675500,3399100,17105300
round_k,0,1,6,30,141,685,3377,16995,85526
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1500,6300,29900,145900,732900,3680900,18633900
round_k,0,1,7,31,149,729,3664,18404,93169
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,22500,107700,536100,2700900,13670100,68693500
round_k,0,1,5,24,112,538,2680,13504,68350,343467
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,22500,108300,527500,2646100,13436500,67608900
round_k,0,1,6,24,112,541,2637,13230,67182,338044
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,17900,89900,450900,2276300,11523300,58331700
round_k,0,1,5,19,89,449,2254,11381,57616,291658
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,22300,111100,553100,2791900,14086700,71472500
round_k,0,1,5,24,111,555,2765,13959,70433,357362
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,20100,99300,493700,2469500,12436900,62958700
round_k,0,1,5,23,100,496,2468,12347,62184,314793
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,300,1500,6100,27100,131100,657700,3324300,16831700
round_k,0,1,7,30,135,655,3288,16621,84158
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,21900,105900,523900,2659900,13437300,68155300
round_k,0,1,5,24,109,529,2619,13299,67186,340776
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,4900,23300,110300,547100,2712700,13683500,69332100
round_k,0,1,5,24,116,551,2735,13563,68417,346660
round_shots,400,100,100,100,100,100,100,100,100
round_queries,400,900,3500,15900,76300,380900,1903700,9530700,48269900
round_k,0,4,17,79,381,1904,9518,47653,241349
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,1100,5100,24700,121300,596700,2984700,15117500,76645300
round_k,0,1,5,25,123,606,2983,14923,75587,383226
round_shots,100,100,100,100,100,100,100,100,100,100
