round_shots,200,1000,200,200,100,100,100
round_queries,200,3000,5000,19800,43100,144900,2071700
round_k,1,12,49,215,724,2670,10358
round_shots,300,800,200,200,100,100,100,100
round_queries,300,2400,4200,14600,31300,97100,352300,4324100
round_k,1,10,36,156,485,1761,5288,21620
round_shots,300,1000,200,200,100,100,200,100
round_queries,300,3000,4600,15000,30500,93100,641000,4975300
round_k,1,11,37,152,465,1602,6132,24876
round_shots,300,1100,200,200,200,100,100,100
round_queries,300,3300,1800,5400,21400,38500,128300,1914700
round_k,1,4,13,53,192,641,2373,9573
round_shots,300,900,200,200,100,100,100,100
round_queries,300,2700,4600,15000,31700,104500,366500,6189900
round_k,1,11,37,158,522,1832,7006,30949
round_shots,200,700,200,200,200,100,100,100
round_queries,200,2100,1800,5400,20200,43300,149900,2145300
round_k,1,4,13,50,216,749,2832,10726
round_shots,300,800,200,200,300,100,100,100,100
round_queries,300,2400,1800,5400,27900,32300,100900,357300,6263500
round_k,1,4,13,46,161,504,1786,7007,31317
round_shots,300,1000,200,200,200,100,100,100,100
round_queries,300,3000,1800,5400,21000,46700,148900,466300,5456700
round_k,1,4,13,52,233,744,2331,9094,27283
round_shots,300,900,200,200,100,100,200,100
round_queries,300,2700,4200,13800,26300,88300,569800,4838300
round_k,1,10,34,131,441,1424,6189,24191
round_shots,200,900,300,200,200,100,100,100
round_queries,200,2700,6900,21400,76200,141700,452100,7154900
round_k,1,11,53,190,708,2260,8495,35774
round_shots,300,1000,200,100,100,200,100,100
round_queries,300,3000,5000,10300,31300,202200,457700,6009100
round_k,1,12,51,156,505,2288,7652,30045
round_shots,200,1100,200,100,100,100,100,100
round_queries,200,3300,5000,10500,31700,103500,371900,5169100
round_k,1,12,52,158,517,1859,6807,25845
round_shots,300,1000,200,200,100,100,100
round_queries,300,3000,5000,19800,43700,148300,2265900
round_k,1,12,49,218,741,2756,11329
round_shots,200,1000,200,200,100,100,100,100
round_queries,200,3000,5000,17400,37300,123300,455700,7466900
round_k,1,12,43,186,616,2278,8518,37334
round_shots,400,900,200,200,100,300,200,100
round_queries,400,2700,4600,19000,39900,414900,853000,7765300
round_k,1,11,47,199,691,2132,8949,38826
round_shots,300,1000,100,200,100,200,100,100
round_queries,300,3000,2500,15000,29300,194600,422700,6919300
round_k,1,12,37,146,486,2113,8262,34596
round_shots,200,1000,200,200,100,100,100,100
round_queries,200,3000,5000,16600,35500,107700,391700,6404300
round_k,1,12,41,177,538,1958,7137,32021
round_shots,300,800,200,200,200,100,100,100
round_queries,300,2400,1800,5400,20200,39100,133100,1738300
round_k,1,4,13,50,195,665,2160,8691
round_shots,200,900,200,200,100,100,100,100
round_queries,200,2700,4200,15000,30700,102100,363100,4234900
round_k,1,10,37,153,510,1815,6552,21174
round_shots,300,900,300,200,200,200,100,100
round_queries,300,2700,2700,5400,20200,89800,162500,2097700
round_k,1,4,13,50,224,812,2616,10488
round_shots,300,1200,200,200,100,100,100,100
round_queries,300,3600,5000,19800,40900,129500,389900,4902500
round_k,1,12,49,204,647,1949,7783,24512
round_shots,300,900,300,200,100,100,200,100,100
round_queries,300,2700,2700,5400,10700,32700,217000,490300,7516900
round_k,1,4,13,53,163,542,2451,9186,37584
round_shots,300,1000,200,200,100,100,100,100
round_queries,300,3000,4600,15400,32500,112500,363900,5996900
round_k,1,11,38,162,562,1819,6784,29984
round_shots,400,900,300,200,200,100,100,100
round_queries,400,2700,6300,15800,54200,117100,419100,7526700
round_k,1,10,39,135,585,2095,8297,37633
round_shots,400,800,300,200,200,100,100,100
round_queries,400,2400,6300,15400,48200,109700,407300,6743700
round_k,1,10,38,120,548,2036,7530,33718
round_shots,400,900,200,200,100,100,100,100
round_queries,400,2700,4600,15000,31900,101300,365500,6349100
round_k,1,11,37,159,506,1827,7236,31745
round_shots,200,900,200,200,300,200,100,100
round_queries,200,2700,4600,15400,88500,206600,342900,5583700
round_k,1,11,38,147,516,1714,6312,27918
round_shots,400,1100,200,200,100,100,100,100
