round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1700,7100,32500,156700,786300,3946300,20009900
round_k,0,1,8,35,162,783,3931,19731,100049
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12500,58900,285100,1427300,7219300,36365900
round_k,0,1,3,13,62,294,1425,7136,36096,181829
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13100,62100,294900,1485500,7538700,38166100
round_k,0,1,3,14,65,310,1474,7427,37693,190830
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,2100,9500,46500,233700,1170100,5902900,29788100
round_k,0,1,10,47,232,1168,5850,29514,148940
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11900,57100,287500,1453300,7352900,37212700
round_k,0,1,3,13,59,285,1437,7266,36764,186063
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,11700,57500,287500,1439100,7259300,36775500
round_k,0,1,3,12,58,287,1437,7195,36296,183877
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11100,51900,259500,1308500,6568900,33178100
round_k,0,1,3,13,55,259,1297,6542,32844,165890
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10100,49700,246500,1214500,6102500,30902500
round_k,0,1,3,12,50,248,1232,6072,30512,154512
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3100,13900,65100,319700,1611100,8110500,41151100
round_k,0,1,4,15,69,325,1598,8055,40552,205755
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,900,3300,15100,72900,357900,1783900,9042100,45873900
round_k,0,1,4,16,75,364,1789,8919,45210,229369
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2700,12900,62100,308100,1867300,9425900,47340700
round_k,0,1,3,13,64,310,1540,9336,47129,236703
round_shots,200,200,100,100,100,100,100,100,100,100
round_queries,200,600,900,3100,12500,62100,310300,1545900,7763500,39363500
round_k,0,1,4,15,62,310,1551,7729,38817,196817
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1900,7900,36300,181700,916100,4629100,23317300
round_k,0,1,9,39,181,908,4580,23145,116586
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,11700,54900,273700,1370500,6901700,34985500
round_k,0,1,3,12,58,274,1368,6852,34508,174927
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,12500,58100,293100,1465900,7426100,37583700
round_k,0,1,3,12,62,290,1465,7329,37130,187918
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,11300,53100,255700,1278900,6453100,32710900
round_k,0,1,3,12,56,265,1278,6394,32265,163554
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,13300,63100,308300,1526700,7693700,38920500
round_k,0,1,3,13,66,315,1541,7633,38468,194602
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2700,12700,59100,297100,1495100,7545500,38234100
round_k,0,1,3,13,63,295,1485,7475,37727,191170
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12500,60500,297900,1480900,7479700,37871300
round_k,0,1,3,14,62,302,1489,7404,37398,189356
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2500,10300,47500,236700,1185300,6006900,30475700
round_k,0,1,3,12,51,237,1183,5926,30034,152378
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,14100,65300,308700,1535100,7756100,39190300
round_k,0,1,3,14,70,326,1543,7675,38780,195951
round_shots,200,200,100,100,100,100,100,100,100,100
round_queries,200,600,700,2700,12900,64500,324900,1621100,8213700,41572100
round_k,0,1,3,13,64,322,1624,8105,41068,207860
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10500,46700,232100,1160900,5813900,29509900
round_k,0,1,3,12,52,233,1160,5804,29069,147549
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,2300,9700,46300,220700,1104500,5349100,26393100
round_k,0,2,11,48,231,1103,5522,26745,131965
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,10100,46100,221900,1104300,5526500,27926900
round_k,0,1,3,12,50,230,1109,5521,27632,139634
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13500,66500,324900,1625100,8192900,41094900
round_k,0,1,3,14,67,332,1624,8125,40964,205474
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2300,10100,45700,221900,1115900,5607500,28401500
round_k,0,1,3,11,50,228,1109,5579,28037,142007
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11900,59300,293100,1482900,7427500,37679900
round_k,0,1,3,13,59,296,1465,7414,37137,188399
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12900,62500,296100,1462900,7330100,37050700
