round_shots,200,600,200,100,100,100
round_queries,200,1800,4600,10900,40700,844700
round_k,1,11,54,203,872,4223
round_shots,100,800,200,100,100,100
round_queries,100,2400,5000,12300,45500,940500
round_k,1,12,61,227,962,4702
round_shots,200,700,100,200,100,100,100
round_queries,200,2100,900,5400,12900,47500,1011700
round_k,1,4,13,64,237,1037,5058
round_shots,200,500,100,200,100,100,100
round_queries,200,1500,900,5400,12500,50300,1073300
round_k,1,4,13,62,251,1075,5366
round_shots,200,800,100,100,100,100
round_queries,200,2400,2700,9500,36900,744700
round_k,1,13,47,184,777,3723
round_shots,200,700,200,100,100,100
round_queries,200,2100,5000,11900,45500,943100
round_k,1,12,59,227,962,4715
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2500,8100,28500,115300,2922100
round_k,1,12,40,142,576,2695,14610
round_shots,300,400,200,100,100,100,100
round_queries,300,1200,1800,3300,11100,40300,829300
round_k,1,4,16,55,201,850,4146
round_shots,200,700,100,200,100,100,100
round_queries,200,2100,900,5400,12500,45100,947300
round_k,1,4,13,62,225,974,4736
round_shots,300,600,100,100,100,100,100
round_queries,300,1800,2300,7500,26300,105500,2578300
round_k,1,11,37,131,527,2420,12891
round_shots,200,800,100,100,100,100,100
round_queries,200,2400,900,2900,10100,39300,779500
round_k,1,4,14,50,196,819,3897
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2300,7100,24700,100300,2473700
round_k,1,11,35,123,501,2289,12368
round_shots,200,800,100,200,100,100,100
round_queries,200,2400,900,5800,12700,47100,965900
round_k,1,4,14,63,235,980,4829
round_shots,200,800,100,100,100,100,100
round_queries,200,2400,2500,7500,27500,113700,2825100
round_k,1,12,37,137,568,2608,14125
round_shots,200,600,200,100,100,100
round_queries,200,1800,4200,9700,37100,742500
round_k,1,10,48,185,785,3712
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2300,7500,28700,114300,2919900
round_k,1,11,37,143,571,2679,14599
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2300,7500,27900,109100,2748100
round_k,1,11,37,139,545,2524,13740
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2100,7500,26500,105900,2669500
round_k,1,10,37,132,529,2475,13347
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,6900,24700,96900,2416900
round_k,1,11,34,123,484,2261,12084
round_shots,400,800,200,100,100,100
round_queries,400,2400,5000,12100,47900,1003100
round_k,1,12,60,239,1024,5015
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,2300,7300,24900,98700,2406100
round_k,1,11,36,124,493,2243,12030
round_shots,100,600,200,100,100,100
round_queries,100,1800,4200,10100,39900,813500
round_k,1,10,50,199,836,4067
round_shots,200,500,100,100,100,100,100
round_queries,200,1500,900,2700,8100,30900,602500
round_k,1,4,13,40,154,634,3012
round_shots,200,800,100,100,100,100,100
round_queries,200,2400,2500,7500,27300,113700,2896100
round_k,1,12,37,136,568,2650,14480
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2500,7700,28100,111900,2813500
round_k,1,12,38,140,559,2596,14067
round_shots,200,500,100,200,100,100,100
round_queries,200,1500,900,5400,12700,49700,1037700
round_k,1,4,13,63,248,1042,5188
round_shots,100,700,100,100,100,100,100
round_queries,100,2100,2500,7900,27900,112100,2854700
round_k,1,12,39,139,560,2603,14273
round_shots,100,700,100,100,100,100,100
round_queries,100,2100,2500,7900,28700,114100,2727700
round_k,1,12,39,143,570,2600,13638
round_shots,300,600,100,100,100,100,100
round_queries,300,1800,2300,7500,25700,105100,2606900
round_k,1,11,37,128,525,2409,13034
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,2300,7300,25100,98500,2468700
round_k,1,11,36,125,492,2280,12343
round_shots,300,500,100,100,100,100,100
round_queries,300,1500,2100,6900,25900,110100,2811100
round_k,1,10,34,129,550,2577,14055
