round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1900,7500,34500,170500,858700,4377700
round_k,0,1,9,37,172,852,4293,21888
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2700,12700,62900,311100,1563300,7961500
round_k,0,1,3,13,63,314,1555,7816,39807
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2700,12300,60300,303700,1538100,7846300
round_k,0,1,3,13,61,301,1518,7690,39231
round_shots,300,200,100,100,100,100,100,100,100
round_queries,300,600,700,2500,11700,56300,280900,1419700,7160300
round_k,0,1,3,12,58,281,1404,7098,35801
round_shots,100,200,100,100,100,100,100,100
round_queries,100,1000,3500,16500,78100,392900,2003300,10140100
round_k,0,2,17,82,390,1964,10016,50700
round_shots,100,200,100,100,100,100,100,100
round_queries,100,1000,2900,13500,63700,317500,1615500,8255300
round_k,0,2,14,67,318,1587,8077,41276
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,10300,49500,241500,1224500,6211500
round_k,0,1,3,12,51,247,1207,6122,31057
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2700,12300,59900,301500,1532100,7837300
round_k,0,1,3,13,61,299,1507,7660,39186
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,13100,63900,322900,1643700,8383900
round_k,0,1,4,13,65,319,1614,8218,41919
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2700,12300,58100,344900,1736700,8922100
round_k,0,1,3,13,61,290,1724,8683,44610
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3100,15300,72300,361900,1715900,8371700
round_k,0,1,3,15,76,361,1809,8579,41858
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,3300,16100,80300,409700,2084500,10602500
round_k,0,1,3,16,80,401,2048,10422,53012
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1900,7700,38500,186100,932100,4714300
round_k,0,1,9,38,192,930,4660,23571
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2300,10100,49500,246700,1239900,6316300
round_k,0,1,3,11,50,247,1233,6199,31581
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10700,50500,251900,1268500,6442100
round_k,0,1,3,12,53,252,1259,6342,32210
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,3100,15300,71500,356300,1803700,9142500
round_k,0,1,3,15,76,357,1781,9018,45712
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,3100,12700,61900,306100,1544300,7860900
round_k,0,1,3,15,63,309,1530,7721,39304
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,2900,12500,63100,304700,1544100,7874900
round_k,0,1,3,14,62,315,1523,7720,39374
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,13700,64100,318300,1604900,8175100
round_k,0,1,4,14,68,320,1591,8024,40875
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,3100,15100,76300,381500,1942300,9836100
round_k,0,1,3,15,75,381,1907,9711,49180
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,13100,63100,310900,1566700,8006500
round_k,0,1,3,13,65,315,1554,7833,40032
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,12500,60300,299900,1521100,7716100
round_k,0,1,3,14,62,301,1499,7605,38580
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2700,12500,59500,295500,1480500,7511300
round_k,0,1,3,13,62,297,1477,7402,37556
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,12100,59900,295700,1492300,7603900
round_k,0,1,4,14,60,299,1478,7461,38019
round_shots,100,200,100,100,100,100,100,100
round_queries,100,1000,3100,13700,66900,337700,1713100,8711100
round_k,0,2,15,68,334,1688,8565,43555
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1700,7100,36100,169100,858500,4355500
round_k,0,1,8,35,180,845,4292,21777
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2700,12300,59100,297900,1512100,7706300
round_k,0,1,3,13,61,295,1489,7560,38531
round_shots,100,100,100,100,100,100,100,100,100
