round_shots,300,600,200,100,100
round_queries,300,1800,5000,11900,221100
round_k,1,12,59,238,1105
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,6900,26100,618300
round_k,1,11,34,130,595,3091
round_shots,100,600,100,200,100,100
round_queries,100,1800,900,5400,12900,259700
round_k,1,4,13,64,275,1298
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,7700,30100,695100
round_k,1,12,38,150,663,3475
round_shots,100,500,100,100,100,100,100
round_queries,100,1500,900,2700,9100,35700,891700
round_k,1,4,13,45,178,825,4458
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,900,2700,9700,40300,1004500
round_k,1,4,13,48,201,920,5022
round_shots,200,600,100,100,100,100
round_queries,200,1800,2500,7700,31700,763500
round_k,1,12,38,158,720,3817
round_shots,200,700,100,100,100,100,100
round_queries,200,2100,900,2700,9700,37100,908900
round_k,1,4,13,48,185,844,4544
round_shots,100,700,100,100,100,100
round_queries,100,2100,2500,7700,28900,674700
round_k,1,12,38,144,637,3373
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,900,2700,8300,32900,807900
round_k,1,4,13,41,164,754,4039
round_shots,200,300,100,100,100,100,100
round_queries,200,900,900,2700,10100,40100,1036900
round_k,1,4,13,50,200,940,5184
round_shots,100,700,100,100,100,100
round_queries,100,2100,2700,9700,40300,983500
round_k,1,13,48,201,904,4917
round_shots,300,500,100,100,100,100,100
round_queries,300,1500,900,2700,8100,32700,765500
round_k,1,4,13,40,163,725,3827
round_shots,100,400,200,100,100,100
round_queries,100,1200,3800,9700,37700,938100
round_k,1,9,48,188,870,4690
round_shots,100,400,200,100,100
round_queries,100,1200,3800,10100,170300
round_k,1,9,50,194,851
round_shots,100,500,200,100,100
round_queries,100,1500,4200,10700,192900
round_k,1,10,53,207,964
round_shots,300,500,100,100,100,100
round_queries,300,1500,2100,7300,30100,725900
round_k,1,10,36,150,691,3629
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,8300,32100,790900
round_k,1,11,41,160,736,3954
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,900,2900,9900,38700,902300
round_k,1,4,14,49,193,844,4511
round_shots,400,600,100,100,100,100
round_queries,400,1800,2300,7100,26900,606100
round_k,1,11,35,134,580,3030
round_shots,300,500,100,100,100,100
round_queries,300,1500,2100,7500,26900,621300
round_k,1,10,37,134,599,3106
round_shots,300,500,100,100,100,100
round_queries,300,1500,2100,7500,30300,736500
round_k,1,10,37,151,695,3682
round_shots,100,600,100,100,100,100,100
round_queries,100,1800,900,2900,10500,41500,987500
round_k,1,4,14,52,207,918,4937
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,900,3100,9900,41500,1037900
round_k,1,4,15,49,207,943,5189
round_shots,200,500,100,100,100,100,100
round_queries,200,1500,900,2700,9900,40500,1021900
round_k,1,4,13,49,202,940,5109
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,900,2700,8300,31900,755500
round_k,1,4,13,41,159,717,3777
round_shots,100,600,100,100,100,100
round_queries,100,1800,2300,7700,29300,676100
round_k,1,11,38,146,644,3380
round_shots,200,500,100,100,100,100,100
round_queries,200,1500,900,2700,9500,36500,865300
round_k,1,4,13,47,182,811,4326
round_shots,100,600,200,100,100,100
round_queries,100,1800,1800,3500,10700,203300
round_k,1,4,17,53,213,1016
round_shots,100,600,100,100,100,100
round_queries,100,1800,2300,7500,27900,668100
round_k,1,11,37,139,643,3340
round_shots,200,700,100,100,100,100
round_queries,200,2100,900,2900,10500,193900
round_k,1,4,14,52,205,969
round_shots,200,500,100,100,100,100,100
round_queries,200,1500,900,2700,8500,35900,914900
round_k,1,4,13,42,179,845,4574
round_shots,100,200,100,100,100,100
round_queries,100,600,900,2900,10100,189500
round_k,1,4,14,50,208,947
round_shots,100,600,100,100,100,100
round_queries,100,1800,2500,8100,30900,768100
round_k,1,12,40,154,716,3840
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,8100,32500,773100
round_k,1,12,40,162,726,3865
round_shots,300,500,200,100,100
round_queries,300,1500,4200,10700,189100
round_k,1,10,53,208,945
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,6900,27100,619100
round_k,1,11,34,135,592,3095
round_shots,100,600,100,100,100,100
round_queries,100,1800,900,2700,9900,188700
round_k,1,4,13,49,201,943
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,900,2700,8100,31100,702100
round_k,1,4,13,40,155,676,3510
round_shots,200,500,100,100,100,100
round_queries,200,1500,2100,7500,30500,694300
round_k,1,10,37,152,673,3471
round_shots,200,600,100,100,100,100
round_queries,200,1800,900,2900,10500,205900
round_k,1,4,14,52,219,1029
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,7900,30700,855700
round_k,1,12,39,153,690,4278
round_shots,300,600,100,100,100,100
