round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6300,30900,161100
round_k,0,1,6,31,154,805
round_shots,100,200,100,100,100,100
round_queries,100,600,1500,6100,30500,149500
round_k,0,1,7,30,152,747
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,23300,115300,597300
round_k,0,1,6,25,116,576,2986
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,6500,30500,156900
round_k,0,1,7,32,152,784
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6300,29700,150500
round_k,0,1,6,31,148,752
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5300,27100,140700,735900
round_k,0,1,6,26,135,703,3679
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,21700,110100,573300
round_k,0,1,5,24,108,550,2866
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4700,21500,104700,507700
round_k,0,1,5,23,107,523,2538
round_shots,300,100,100,100,100,100
round_queries,300,300,1300,6100,30100,152300
round_k,0,1,6,30,150,761
round_shots,200,100,100,100,100,100
round_queries,200,300,1500,6100,30100,157500
round_k,0,1,7,30,150,787
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3700,18300,90500,463900
round_k,0,1,4,18,91,452,2319
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6100,29900,151700
round_k,0,1,6,30,149,758
round_shots,200,100,100,100,100,100
round_queries,200,300,1500,6100,30500,154100
round_k,0,1,7,30,152,770
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,5300,26900,137500,706700
round_k,0,1,6,26,134,687,3533
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,27700,132900,689900
round_k,0,1,6,29,138,664,3449
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,22100,110700,579900
round_k,0,1,5,23,110,553,2899
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,25300,129500,667300
round_k,0,1,6,26,126,647,3336
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6300,31900,167100
round_k,0,1,6,31,159,835
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4500,22100,106300,555900
round_k,0,1,5,22,110,531,2779
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,25100,127900,657100
round_k,0,1,5,25,125,639,3285
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4700,21700,105300,521900
round_k,0,1,5,23,108,526,2609
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,5900,28700,147700,771900
round_k,0,1,6,29,143,738,3859
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,25300,130100,672100
round_k,0,1,6,25,126,650,3360
round_shots,200,100,100,100,100,100
round_queries,200,300,1500,6300,30700,152300
round_k,0,1,7,31,153,761
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,3900,17900,87900,450300
round_k,0,1,5,19,89,439,2251
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,6300,29300,146100,765700
round_k,0,1,6,31,146,730,3828
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,26100,134500,697900
round_k,0,1,6,26,130,672,3489
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,22500,109900,568500
round_k,0,1,5,24,112,549,2842
round_shots,100,200,100,100,100,100
round_queries,100,600,1700,7900,38300,196100
round_k,0,1,8,39,191,980
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,6700,33100,173300
round_k,0,1,7,33,165,866
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,23900,120500,631500
round_k,0,1,6,25,119,602,3157
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,22300,112700,580700
round_k,0,1,5,23,111,563,2903
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6500,32500,166100
round_k,0,1,6,32,162,830
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,23300,120500,624500
round_k,0,1,6,25,116,602,3122
round_shots,100,200,100,100,100,100
round_queries,100,600,1700,7700,38300,198500
round_k,0,1,8,38,191,992
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,5100,24700,130500,667100
round_k,0,1,6,25,123,652,3335
round_shots,100,200,100,100,100,100
round_queries,100,600,1500,6500,31100,158700
round_k,0,1,7,32,155,793
round_shots,300,100,100,100,100,100
round_queries,300,900,3700,18900,92700,479900
round_k,0,4,18,94,463,2399
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,21300,110500,577700
round_k,0,1,5,23,106,552,2888
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,23300,119100,616700
round_k,0,1,5,24,116,595,3083
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,25700,130100,671900
round_k,0,1,6,25,128,650,3359
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3900,17900,85700,444300
round_k,0,1,4,19,89,428,2221
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,26100,134700,701300
round_k,0,1,6,25,130,673,3506
round_shots,300,100,100,100,100,100
round_queries,300,300,1500,6300,30700,161500
round_k,0,1,7,31,153,807
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5900,25900,133700,693900
round_k,0,1,6,29,129,668,3469
