round_shots,400,500,200,200,200,100,100
round_queries,400,1500,2200,7800,30200,63700,839500
round_k,1,5,19,75,318,1080,4197
round_shots,500,400,300,200,100,100,100
round_queries,500,1200,3300,7800,16300,53900,760100
round_k,1,5,19,81,269,1002,3800
round_shots,600,500,200,200,100,100,100,100
round_queries,600,1500,2200,7400,15500,47900,160500,2779500
round_k,1,5,18,77,239,802,3148,13897
round_shots,500,500,200,200,200,100,100
round_queries,500,1500,2200,7400,31400,52900,782700
round_k,1,5,18,78,264,958,3913
round_shots,400,400,200,200,200,200,200
round_queries,400,1200,2200,7400,30200,131800,1707800
round_k,1,5,18,75,329,1354,4269
round_shots,500,500,200,200,100,100,100,100
round_queries,500,1500,2600,9400,16100,50900,169500,2954300
round_k,1,6,23,80,254,847,3384,14771
round_shots,500,500,200,200,200,100,100
round_queries,500,1500,2200,7400,27400,60500,886300
round_k,1,5,18,68,302,1084,4431
round_shots,400,400,200,200,200,100,100,100
round_queries,400,1200,2200,7400,27000,64700,217900,2693500
round_k,1,5,18,67,323,1089,3276,13467
round_shots,200,400,200,200,200,100,100
round_queries,200,1200,2200,7800,30200,71100,1043300
round_k,1,5,19,75,355,1259,5216
round_shots,400,500,200,200,100,100,100,100
round_queries,400,1500,2200,7400,14700,49100,169700,3037700
round_k,1,5,18,73,245,848,3401,15188
round_shots,700,400,400,300,200,200,100,100
round_queries,700,1200,3600,8100,16200,48600,103700,1614500
round_k,1,4,13,40,121,518,1888,8072
round_shots,400,500,300,200,200,100,100
round_queries,400,1500,3300,10200,36600,75300,1021500
round_k,1,5,25,91,376,1383,5107
round_shots,500,500,300,300,200,100,100
round_queries,500,1500,3300,12300,33000,70500,895300
round_k,1,5,20,82,352,1254,4476
round_shots,400,500,300,200,200,100,100,100
round_queries,400,1500,3300,7800,24200,46900,166500,3001900
round_k,1,5,19,60,234,832,3373,15009
round_shots,400,400,200,100,200,100,100,100
round_queries,400,1200,2200,3700,22200,46300,168900,2943100
round_k,1,5,18,55,231,844,3415,14715
round_shots,500,500,200,200,100,100,100,100
round_queries,500,1500,2600,8200,12700,38500,131700,2194300
round_k,1,6,20,63,192,658,2558,10971
round_shots,600,500,200,200,200,100,100
round_queries,600,1500,2200,7400,31400,76500,973500
round_k,1,5,18,78,382,1413,4867
round_shots,300,500,200,200,100,100,100,100
round_queries,300,1500,2200,7400,14900,48700,160300,2843900
round_k,1,5,18,74,243,801,3163,14219
round_shots,600,500,200,200,100,100,100
round_queries,600,1500,2200,7400,15900,50500,719300
round_k,1,5,18,79,252,888,3596
round_shots,400,400,200,200,100,200,100
round_queries,400,1200,2200,7400,15100,96200,770900
round_k,1,5,18,75,240,994,3854
round_shots,800,500,200,200,200,100,100
round_queries,800,1500,2200,7400,26200,59300,726900
round_k,1,5,18,65,296,1050,3634
round_shots,500,400,200,100,100,200,200,100
round_queries,500,1200,2600,4900,14900,93800,335400,2574300
round_k,1,6,24,74,234,838,3596,12871
round_shots,300,400,300,200,300,200,100
round_queries,300,1200,3300,9800,54900,109800,820100
round_k,1,5,24,91,274,1054,4100
round_shots,700,500,200,200,100,100,100
round_queries,700,1500,2600,10200,21500,70700,1159300
round_k,1,6,25,107,353,1308,5796
round_shots,500,400,200,200,200,300,100
round_queries,500,1200,2200,7400,32600,196500,924100
round_k,1,5,18,81,327,1230,4620
round_shots,900,500,200,300,100,100,100
round_queries,900,1500,2200,14100,19900,68100,1014900
round_k,1,5,23,99,340,1263,5074
round_shots,700,500,200,200,300,200,100,100
round_queries,700,1500,2200,7800,45300,109800,214100,2503500
round_k,1,5,19,75,274,1070,4089,12517
round_shots,500,400,200,200,200,100,200,100
round_queries,500,1200,2200,7800,26600,51500,312600,2277300
round_k,1,5,19,66,257,781,2753,11386
round_shots,700,500,200,200,300,100,100,100
round_queries,700,1500,2200,7400,45900,53500,166100,2931300
round_k,1,5,18,76,267,830,3233,14656
round_shots,700,400,100,200,400,100,200,100
round_queries,700,1200,1300,7800,54000,55100,391800,2436900
round_k,1,6,19,67,275,979,3281,12184
round_shots,800,400,100,200,200,200,100
round_queries,800,1200,1300,7800,30600,125800,759900
round_k,1,6,19,76,314,1238,3799
round_shots,300,500,500,200,200,100,100,100
round_queries,300,1500,4500,5400,17400,37700,129100,2183300
round_k,1,4,13,43,188,645,2489,10916
round_shots,400,500,200,200,200,100,200,100
round_queries,400,1500,2200,7800,29800,64100,395800,2337300
round_k,1,5,19,74,320,989,3895,11686
round_shots,300,400,300,200,200,100,100
round_queries,300,1200,3300,8200,28200,60900,852100
round_k,1,5,20,70,304,1034,4260
round_shots,500,400,200,200,100,100,100,100
round_queries,500,1200,2200,7400,16500,51700,159500,1803300
round_k,1,5,18,82,258,797,2775,9016
round_shots,800,500,500,300,200,100,100,100
round_queries,800,1500,4500,8100,16600,33500,102100,1428700
round_k,1,4,13,41,167,510,1947,7143
round_shots,500,400,200,200,100,200,300,100
round_queries,500,1200,2200,7400,13700,86600,422700,2422700
round_k,1,5,18,68,216,704,3159,12113
round_shots,400,500,200,200,100,100,100,100
round_queries,400,1500,2200,7000,13300,44900,156700,2589700
round_k,1,5,17,66,224,783,2875,12948
round_shots,400,500,200,300,100,100,100,100
round_queries,400,1500,2600,14700,18300,57100,202700,2424300
round_k,1,6,24,91,285,1013,3504,12121
round_shots,800,500,200,200,100,100,100,100
round_queries,800,1500,2200,7400,15900,51500,168500,2558500
round_k,1,5,18,79,257,842,3334,12792
round_shots,500,400,200,200,100,100,100,100
round_queries,500,1200,2200,7000,13500,40700,144100,2240900
round_k,1,5,17,67,203,720,2894,11204
round_shots,400,500,200,100,200,100,100,100
round_queries,400,1500,2200,3700,22600,49500,152900,2352300
round_k,1,5,18,56,247,764,3051,11761
round_shots,400,500,500,200,200,300,100,100
round_queries,400,1500,4500,7400,28200,129900,138300,2338700
round_k,1,4,18,70,216,691,2660,11693
round_shots,300,500,200,200,100,100,100,100
round_queries,300,1500,2200,7400,15700,47100,146700,2612300
round_k,1,5,18,78,235,733,2916,13061
round_shots,600,500,200,200,200,100,100
round_queries,600,1500,2200,7000,26600,51500,698100
round_k,1,5,17,66,257,893,3490
round_shots,700,400,200,200,100,100,100,100
round_queries,700,1200,2200,7400,15700,50500,178300,3042700
round_k,1,5,18,78,252,891,3357,15213
round_shots,800,500,200,200,100,100,100,100
round_queries,800,1500,2200,7800,13500,44100,156500,2825100
round_k,1,5,19,67,220,782,3166,14125
round_shots,1000,400,200,200,200,100,100,100
round_queries,1000,1200,2200,7400,28600,56500,183900,2019500
round_k,1,5,18,71,282,919,3062,10097
round_shots,500,500,200,100,100,100,200,100
round_queries,500,1500,2200,3500,10500,33900,213800,1875100
round_k,1,5,17,52,169,534,2426,9375
round_shots,600,500,200,200,200,100,100,100
round_queries,600,1500,2200,7400,25800,43100,142300,1874100
round_k,1,5,18,64,215,711,2592,9370
round_shots,700,400,200,200,100,200,200,100
round_queries,700,1200,2200,7400,15700,106200,419800,2789900
round_k,1,5,18,78,265,1049,4258,13949
round_shots,300,400,200,200,200,200,200
round_queries,300,1200,2200,7000,24600,94200,1694200
round_k,1,5,17,61,235,1073,4235
round_shots,900,500,200,200,200,100,100
round_queries,900,1500,2200,7400,27000,57100,775500
round_k,1,5,18,67,285,988,3877
round_shots,400,400,300,300,300,200,100,100
round_queries,400,1200,2700,8100,24300,55400,124700,1493100
round_k,1,4,13,40,138,623,2165,7465
round_shots,500,400,200,200,200,200,100
round_queries,500,1200,2200,7400,32600,136200,1058700
round_k,1,5,18,81,340,1441,5293
round_shots,700,500,200,100,100,100,100,100
round_queries,700,1500,2600,4900,15700,50500,165300,2155500
round_k,1,6,24,78,252,826,2638,10777
round_shots,400,400,200,200,200,100,100,100
round_queries,400,1200,2200,7800,29400,59700,205900,2565900
round_k,1,5,19,73,298,1029,3531,12829
round_shots,500,500,200,100,100,100,100,100
round_queries,500,1500,2200,3700,11100,35900,120900,1974100
round_k,1,5,18,55,179,604,2374,9870
round_shots,400,500,200,100,100,100,100,100
round_queries,400,1500,3000,5100,15500,52900,190700,2467700
round_k,1,7,25,77,264,953,3760,12338
round_shots,600,400,300,200,200,200,100
round_queries,600,1200,3300,7800,33800,149400,959700
round_k,1,5,19,84,373,1599,4798
round_shots,600,400,200,200,100,200,200,100
round_queries,600,1200,2600,9000,13500,82200,271000,1982500
round_k,1,6,22,67,205,677,2737,9912
round_shots,600,500,300,200,200,200,100,100
round_queries,600,1500,2700,5400,19800,63800,99700,1333500
round_k,1,4,13,49,159,498,1606,6667
round_shots,800,500,200,200,200,100,100
round_queries,800,1500,2200,7800,27400,61700,902900
round_k,1,5,19,68,308,1106,4514
round_shots,600,500,500,200,200,200,100
round_queries,600,1500,4500,7400,26200,115000,978300
round_k,1,4,18,65,287,1292,4891
round_shots,300,400,200,200,200,100,100
round_queries,300,1200,2200,7400,32200,67700,963500
round_k,1,5,18,80,338,1239,4817
round_shots,300,500,200,200,100,100,100,100
round_queries,300,1500,2600,10600,16300,51700,178300,3002900
round_k,1,6,26,81,258,891,3591,15014
round_shots,600,500,200,200,200,100,100
round_queries,600,1500,2200,7400,29000,55100,799900
round_k,1,5,18,72,275,1002,3999
round_shots,500,500,300,200,100,100,100,100
round_queries,500,1500,2700,5400,8500,25900,87700,1259300
round_k,1,4,13,42,129,438,1616,6296
round_shots,200,500,200,400,200,100,100,100
round_queries,200,1500,2200,14000,28200,55500,170900,2925300
round_k,1,5,17,70,277,854,3296,14626
round_shots,800,400,200,200,100,100,100,100
round_queries,800,1200,2200,7800,13700,41500,149700,2614900
round_k,1,5,19,68,207,748,2994,13074
round_shots,300,400,200,200,100,200,100,100
round_queries,300,1200,2200,7400,14700,93000,177300,1956700
round_k,1,5,18,73,232,886,2661,9783
round_shots,400,400,200,100,100,200,100,100
round_queries,400,1200,2600,4900,14900,94600,186500,2514700
round_k,1,6,24,74,236,932,3445,12573
round_shots,600,500,500,200,300,100,200,100
round_queries,600,1500,4500,7400,44100,44100,275400,2673500
round_k,1,4,18,73,220,688,3233,13367
round_shots,800,400,200,200,100,100,100,100
round_queries,800,1200,2200,7400,15300,49300,172100,2951100
round_k,1,5,18,76,246,860,3249,14755
round_shots,700,400,300,300,100,100,100,100
round_queries,700,1200,3300,12300,15100,48100,171900,2886900
round_k,1,5,20,75,240,859,3394,14434
round_shots,500,500,200,200,200,100,100
round_queries,500,1500,2600,9800,40600,88100,1501700
round_k,1,6,24,101,440,1631,7508
round_shots,400,500,200,200,100,100,200,100
round_queries,400,1500,2200,7400,14500,46300,310200,2629500
round_k,1,5,18,72,231,775,3456,13147
round_shots,600,500,200,200,100,100,100
round_queries,600,1500,2200,9400,19500,65500,886100
round_k,1,5,23,97,327,1196,4430
round_shots,300,400,200,200,200,200,100
round_queries,300,1200,2600,9400,32200,147400,1480300
round_k,1,6,23,80,368,1736,7401
round_shots,800,500,200,200,200,100,100,100
round_queries,800,1500,2200,7800,27000,51300,168300,2677500
round_k,1,5,19,67,256,841,3088,13387
round_shots,500,500,300,200,200,100,100
round_queries,500,1500,3300,7800,27000,61900,865900
round_k,1,5,19,67,309,1073,4329
round_shots,400,400,200,200,200,100,100
round_queries,400,1200,2200,7400,30600,62900,868900
round_k,1,5,18,76,314,1065,4344
round_shots,500,500,200,200,100,200,100
round_queries,500,1500,2200,7400,15100,95000,981900
round_k,1,5,18,75,237,1076,4909
round_shots,600,500,200,200,100,100,100,100
round_queries,600,1500,2200,7400,13500,41300,138900,2297500
round_k,1,5,18,67,206,694,2679,11487
round_shots,500,500,200,200,100,100,100,100
round_queries,500,1500,2600,7800,15100,50500,183300,2743300
round_k,1,6,19,75,252,916,3258,13716
round_shots,800,500,300,200,200,100,100,100
round_queries,800,1500,3300,7800,27000,55900,202700,3009300
round_k,1,5,19,67,279,1013,4140,15046
round_shots,300,400,200,200,100,100,100,100
round_queries,300,1200,2200,7800,15300,48100,162500,2690500
round_k,1,5,19,76,240,812,2993,13452
round_shots,600,400,200,200,100,100,200,100
round_queries,600,1200,2200,7400,15100,48700,347000,2510500
round_k,1,5,18,75,243,867,3891,12552
round_shots,700,500,300,200,100,100,100
round_queries,700,1500,3300,10200,22700,77100,1156700
round_k,1,5,25,113,385,1473,5783
round_shots,600,400,200,200,100,100,100
round_queries,600,1200,2600,9800,21100,67500,1025700
round_k,1,6,24,105,337,1230,5128
round_shots,500,500,200,200,200,100,100
round_queries,500,1500,2600,10200,43000,86900,1196900
round_k,1,6,25,107,434,1642,5984
round_shots,400,500,200,200,200,100,100,100
round_queries,400,1500,2200,7400,27000,48700,178700,2934100
round_k,1,5,18,67,243,893,3529,14670
round_shots,400,400,200,200,100,100,100,100
round_queries,400,1200,2200,7400,14100,47500,170700,2359100
round_k,1,5,18,70,237,853,3147,11795
round_shots,600,500,200,200,100,100,100,100
round_queries,600,1500,2600,9800,19900,60500,210300,2776700
round_k,1,6,24,99,302,1051,3292,13883
round_shots,700,500,200,200,100,100,100,100
round_queries,700,1500,2200,7400,12900,43900,156300,2543300
round_k,1,5,18,64,219,781,2955,12716
round_shots,500,500,400,400,200,200,100
round_queries,500,1500,3600,10800,21400,84600,824700
round_k,1,4,13,53,211,1054,4123
round_shots,400,400,300,200,100,100,100
round_queries,400,1200,3300,10200,22900,70700,1017500
round_k,1,5,25,114,353,1264,5087
round_shots,600,500,200,200,100,200,100
round_queries,600,1500,2200,7000,14500,93800,848900
round_k,1,5,17,72,234,1138,4244
round_shots,600,500,200,200,100,100,100,100
round_queries,600,1500,2200,7400,14900,49700,169700,1962700
round_k,1,5,18,74,248,848,3025,9813
round_shots,1300,400,200,200,100,100,100
round_queries,1300,3600,5400,17000,30100,103900,1447900
round_k,4,13,42,150,519,1898,7239
round_shots,900,500,200,200,200,100,100
round_queries,900,1500,2600,9800,40600,81500,1332500
round_k,1,6,24,101,407,1420,6662
round_shots,300,500,200,100,100,100,100,100
round_queries,300,1500,2600,3900,11700,37700,131300,2129700
round_k,1,6,19,58,188,656,2428,10648
round_shots,500,500,200,200,100,100,100,100
round_queries,500,1500,2200,7400,15500,46900,170900,2195700
round_k,1,5,18,77,234,854,2589,10978
round_shots,600,500,200,200,100,100,100
round_queries,600,1500,2200,7800,16500,53100,878300
round_k,1,5,19,82,265,946,4391
round_shots,500,500,200,200,100,200,100
round_queries,500,1500,2600,10600,22100,150200,1266900
round_k,1,6,26,110,375,1598,6334
round_shots,400,500,200,200,100,100,100,100
round_queries,400,1500,2200,7800,17900,55500,203700,2641100
round_k,1,5,19,89,277,1018,4124,13205
round_shots,600,400,200,100,200,200,100,100
round_queries,600,1200,2200,3700,22200,95400,196700,2605700
round_k,1,5,18,55,238,983,3776,13028
round_shots,600,400,200,200,100,200,200
round_queries,600,1200,2200,7400,14700,92600,1991000
round_k,1,5,18,73,231,985,4977
round_shots,400,400,200,200,100,200,100,100
round_queries,400,1200,2200,7000,12100,74600,152500,1935900
round_k,1,5,17,60,186,762,2386,9679
round_shots,600,400,200,200,100,100,100,100
round_queries,600,1200,2200,7400,14700,45700,165300,2715700
round_k,1,5,18,73,228,826,3267,13578
round_shots,300,500,200,200,200,200,100,100
round_queries,300,1500,2200,7400,29400,121800,215100,2248100
round_k,1,5,18,73,304,1075,3292,11240
round_shots,200,500,200,200,100,100,100,100
round_queries,200,1500,2200,7400,15100,47500,172700,2768700
round_k,1,5,18,75,237,863,3486,13843
round_shots,600,400,200,200,200,100,100
round_queries,600,1200,2200,7400,28600,49700,720300
round_k,1,5,18,71,248,892,3601
round_shots,300,500,200,200,100,100,100,100
round_queries,300,1500,2600,7800,14700,45700,162100,2637500
round_k,1,6,19,73,228,810,3141,13187
round_shots,400,500,200,200,100,100,100,100
round_queries,400,1500,2200,7400,16100,53300,194500,3105100
round_k,1,5,18,80,266,972,3614,15525
round_shots,600,500,200,200,200,100,100
round_queries,600,1500,2200,7800,30200,68700,901900
round_k,1,5,19,75,343,1102,4509
round_shots,700,500,200,200,100,100,100,100
round_queries,700,1500,2200,7800,15100,47900,158100,2267700
round_k,1,5,19,75,239,790,3112,11338
round_shots,400,500,300,200,100,100,100,100
round_queries,400,1500,2700,5400,10300,32100,110300,1757700
round_k,1,4,13,51,160,551,2076,8788
round_shots,500,500,200,200,200,100,100
round_queries,500,1500,2200,7400,28600,59100,1041100
round_k,1,5,18,71,295,1060,5205
round_shots,500,500,300,200,100,100,100,100
round_queries,500,1500,3300,8200,17100,57700,198900,2910700
round_k,1,5,20,85,288,994,3634,14553
round_shots,400,400,200,200,200,100,100
round_queries,400,1200,2200,7400,31000,67500,938700
round_k,1,5,18,77,337,1150,4693
round_shots,600,400,200,200,100,100,100,100
round_queries,600,1200,2200,7400,16100,52100,173100,2681900
round_k,1,5,18,80,260,865,3063,13409
round_shots,400,500,200,200,100,100,100
round_queries,400,1500,2200,7800,16500,51900,768500
round_k,1,5,19,82,259,962,3842
round_shots,500,500,100,200,100,200,100,100
round_queries,500,1500,1300,7800,12300,77000,123100,1822300
round_k,1,6,19,61,192,615,2218,9111
round_shots,600,500,200,200,100,100,100,100
round_queries,600,1500,2200,7400,13900,44300,136100,2308300
round_k,1,5,18,69,221,680,2664,11541
round_shots,300,400,300,200,100,100,100
round_queries,300,1200,3300,7800,16500,54500,764300
round_k,1,5,19,82,272,995,3821
round_shots,600,400,200,200,100,100,100,100
round_queries,600,1200,2200,7000,11100,37100,113100,1853700
round_k,1,5,17,55,185,565,2129,9268
round_shots,600,400,200,100,200,300,100,100
round_queries,600,1200,2200,3700,22200,128100,175700,3008500
round_k,1,5,18,55,213,878,3385,15042
round_shots,500,500,200,200,100,100,100,100
round_queries,500,1500,2200,7800,13700,43700,151300,1950500
round_k,1,5,19,68,218,756,2691,9752
round_shots,500,400,200,200,100,200,100,100
round_queries,500,1200,2200,7000,12300,79400,140300,1767900
round_k,1,5,17,61,198,701,2366,8839
round_shots,700,500,200,200,100,200,100
round_queries,700,1500,2200,7400,15900,102600,750700
round_k,1,5,18,79,256,1201,3753
round_shots,500,500,400,300,200,100,100,100
round_queries,500,1500,3600,8100,19400,40700,133700,2292500
round_k,1,4,13,48,203,668,2585,11462
round_shots,600,500,200,200,100,100,100
round_queries,600,1500,2600,9800,19100,59500,790500
round_k,1,6,24,95,297,996,3952
round_shots,500,500,200,200,200,200,100
round_queries,500,1500,1800,5400,20200,87800,751300
round_k,1,4,13,50,219,958,3756
round_shots,300,500,200,200,100,100,200,100
round_queries,300,1500,2200,7000,13500,41900,275000,2210700
round_k,1,5,17,67,209,687,2639,11053
round_shots,700,500,400,300,200,100,100,100
round_queries,700,1500,3600,8100,16600,29300,98500,1373900
round_k,1,4,13,41,146,492,1632,6869
round_shots,900,400,200,200,100,100,100
round_queries,900,1200,2200,7800,16500,54500,795500
round_k,1,5,19,82,272,1007,3977
round_shots,400,500,300,300,100,100,100,100
round_queries,400,1500,3300,12300,12300,37300,124700,1913900
round_k,1,5,20,61,186,623,2304,9569
round_shots,900,500,200,200,200,200,100
round_queries,900,1500,2200,7400,32600,98200,770300
round_k,1,5,18,81,245,1048,3851
round_shots,1200,500,200,100,200,100,100,100
round_queries,1200,1500,2200,3500,21000,48700,172900,1765700
round_k,1,5,17,52,243,864,2740,8828
round_shots,600,500,200,200,100,100,100
round_queries,600,1500,2600,10200,22500,74900,1178300
round_k,1,6,25,112,374,1396,5891
round_shots,500,500,200,200,200,100,100,100
round_queries,500,1500,2200,7800,33000,70700,224300,2815300
round_k,1,5,19,82,353,1121,3855,14076
round_shots,400,400,400,200,200,100,100,100
round_queries,400,1200,3600,5400,17400,38700,137300,2181300
round_k,1,4,13,43,193,686,2511,10906
round_shots,600,400,200,200,100,100,100
round_queries,600,1200,2200,7400,15900,50500,704300
round_k,1,5,18,79,252,891,3521
round_shots,400,400,200,200,100,100,100,100
round_queries,400,1200,2200,7400,15700,52100,182500,2834300
round_k,1,5,18,78,260,912,3284,14171
round_shots,700,500,300,200,100,100,100,100
round_queries,700,1500,2700,7000,13900,45100,160900,2557900
round_k,1,4,17,69,225,804,3222,12789
round_shots,700,500,200,100,200,100,100,100
round_queries,700,1500,2200,3500,21000,47300,159300,2610900
round_k,1,5,17,52,236,796,3134,13054
round_shots,600,500,500,300,100,100,100,100
round_queries,600,1500,4500,8100,8100,24700,79300,1054500
round_k,1,4,13,40,123,396,1503,5272
round_shots,900,400,300,200,200,100,100,100
round_queries,900,1200,3300,7800,27000,54900,203500,2690500
round_k,1,5,19,67,274,1017,3337,13452
round_shots,600,400,200,200,100,100,100,100
round_queries,600,1200,2200,7400,14100,43500,142500,2315300
round_k,1,5,18,70,217,712,2648,11576
round_shots,600,500,200,200,100,100,100
round_queries,600,1500,2200,7400,14100,44700,724500
round_k,1,5,18,70,223,793,3622
round_shots,400,500,200,200,100,100,100,100
round_queries,400,1500,2200,7800,13500,45500,159700,2215900
round_k,1,5,19,67,227,798,3162,11079
round_shots,400,500,200,200,100,100,100
round_queries,400,1500,2200,9400,17100,54700,712700
round_k,1,5,23,85,273,976,3563
round_shots,600,400,200,100,200,200,100,100
round_queries,600,1200,2200,3700,22200,79400,134500,2212300
round_k,1,5,18,55,198,672,2542,11061
round_shots,600,500,200,200,100,100,100
round_queries,600,1500,2200,7400,16100,54700,784900
round_k,1,5,18,80,273,995,3924
