round_shots,1200,200,200,100,100,100,100
round_queries,1200,1400,5000,11500,37900,144100,2904900
round_k,3,12,57,189,720,3053,14524
round_shots,600,200,100,100,100,100,100,100
round_queries,600,1400,2500,8300,28500,103300,419700,10282900
round_k,3,12,41,142,516,2098,9652,51414
round_shots,400,200,200,200,100,100,100,100,100
round_queries,400,600,1800,5400,9700,34500,127500,538900,13888500
round_k,1,4,13,48,172,637,2694,12729,69442
round_shots,1100,200,200,100,100,100,100,100
round_queries,1100,1400,5000,10900,36900,140300,593300,15589500
round_k,3,12,54,184,701,2966,14075,77947
round_shots,800,200,100,200,100,100,100,100
round_queries,800,1400,2300,14600,29700,107300,428900,10328700
round_k,3,11,36,148,536,2144,9705,51643
round_shots,600,200,100,100,100,100,100,100
round_queries,600,1400,2300,7500,25300,95700,398300,9533300
round_k,3,11,37,126,478,1991,9050,47666
round_shots,900,100,200,200,100,100,100,100
round_queries,900,300,1800,6600,13900,45700,179700,3670700
round_k,1,4,16,69,228,898,3834,18353
round_shots,700,200,200,100,100,100,100,100
round_queries,700,1400,5000,10700,34900,136100,569100,14699300
round_k,3,12,53,174,680,2845,13457,73496
round_shots,1200,200,100,100,100,100,100,100
round_queries,1200,1800,3100,9700,34700,121900,469100,11448500
round_k,4,15,48,173,609,2345,10680,57242
round_shots,600,200,200,200,100,100,100,100
round_queries,600,600,1800,7800,16300,58900,229500,4964500
round_k,1,4,19,81,294,1147,5007,24822
round_shots,1200,200,100,100,100,100,100,100
round_queries,1200,1800,3300,10700,36100,135300,571500,14721700
round_k,4,16,53,180,676,2857,13469,73608
round_shots,1000,200,100,100,100,100,100,100
round_queries,1000,1800,3300,10100,33100,124300,513700,12948900
round_k,4,16,50,165,621,2568,11956,64744
round_shots,1000,200,100,200,100,100,100,100
round_queries,1000,1400,3100,19400,38500,145300,554100,14243900
round_k,3,15,48,192,726,2770,12949,71219
round_shots,600,200,200,100,100,100,100,100
