round_shots,300,200,200,200,100,100
round_queries,300,600,1800,7000,15900,247700
round_k,1,4,17,79,287,1238
round_shots,200,200,200,200,200,100
round_queries,200,600,1800,5800,21800,181500
round_k,1,4,14,54,246,907
round_shots,200,200,200,100,200,100
round_queries,200,600,1800,3900,23400,228300
round_k,1,4,19,58,299,1141
round_shots,200,200,200,200,200,100,100
round_queries,200,600,1800,5800,24600,51300,692500
round_k,1,4,14,61,256,869,3462
round_shots,200,200,200,200,200,100
round_queries,200,600,1800,7000,32200,314100
round_k,1,4,17,80,376,1570
round_shots,300,300,200,200,100,100,100
round_queries,300,900,1800,5800,11100,36300,592700
round_k,1,4,14,55,181,727,2963
round_shots,200,200,200,200,200,100,100
round_queries,200,600,1800,7000,21400,32100,471500
round_k,1,4,17,53,160,551,2357
round_shots,200,200,200,200,100,100
round_queries,200,600,1800,7000,13900,204100
round_k,1,4,17,69,251,1020
round_shots,300,200,200,100,200,100,100
round_queries,300,600,1800,3500,22200,51900,656900
round_k,1,4,17,55,259,918,3284
round_shots,300,200,200,200,100,300,100
round_queries,300,600,1800,5800,11500,116100,508700
round_k,1,4,14,57,193,816,2543
round_shots,300,200,200,200,100,100,100
round_queries,300,600,1800,5400,12500,39500,589100
round_k,1,4,13,62,197,729,2945
round_shots,300,200,200,200,200,100,100
round_queries,300,600,1800,5400,21000,37300,580300
round_k,1,4,13,52,186,669,2901
round_shots,300,200,200,200,200,100
round_queries,300,600,1800,5800,26600,207500
round_k,1,4,14,66,271,1037
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,6600,14300,46300,743100
round_k,1,4,16,71,231,819,3715
round_shots,300,100,200,100,100,100,100
round_queries,300,300,1800,3500,10500,33300,549900
round_k,1,4,17,52,166,638,2749
round_shots,200,200,100,200,100,100,100
round_queries,200,600,900,5400,11300,40500,598300
round_k,1,4,13,56,202,781,2991
round_shots,300,200,200,200,100,100,100
round_queries,300,600,1800,5800,12900,42900,476500
round_k,1,4,14,64,214,695,2382
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,5800,11500,35300,567500
round_k,1,4,14,57,176,670,2837
round_shots,200,200,200,300,200,100,100
round_queries,200,600,1800,10500,21000,46900,760500
round_k,1,4,17,52,234,885,3802
round_shots,200,200,200,200,200,200,100
round_queries,200,600,1800,5400,17400,87800,554700
round_k,1,4,13,43,219,867,2773
round_shots,300,200,100,200,100,100,100
round_queries,300,600,900,5400,10700,34100,583100
round_k,1,4,13,53,170,665,2915
round_shots,300,200,200,200,100,100
round_queries,300,600,1800,7800,16900,195700
round_k,1,4,19,84,264,978
round_shots,200,200,100,100,100,200,100
round_queries,200,600,900,2700,8300,58600,483700
round_k,1,4,13,41,146,581,2418
round_shots,300,200,200,200,100,100,100
round_queries,300,600,1800,5800,12100,44300,639900
round_k,1,4,14,60,221,774,3199
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,6600,11900,39700,471300
round_k,1,4,16,59,198,763,2356
round_shots,200,200,200,200,200,100,100
round_queries,200,600,1800,5800,23000,50500,677700
round_k,1,4,14,57,252,970,3388
round_shots,300,200,200,200,100,100,100
round_queries,300,600,1800,5800,11100,39100,659700
round_k,1,4,14,55,195,758,3298
round_shots,200,200,200,100,100,100,100
round_queries,200,600,1800,3300,11100,34100,486500
round_k,1,4,16,55,170,592,2432
round_shots,200,200,200,200,200,100
round_queries,200,600,1800,7000,30200,223300
round_k,1,4,17,75,320,1116
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,7000,13300,43900,676300
round_k,1,4,17,66,219,806,3381
round_shots,300,200,200,200,200,100
round_queries,300,600,1800,7000,31000,284300
round_k,1,4,17,77,345,1421
round_shots,300,200,200,200,100,200,100
round_queries,300,600,1800,6600,11100,67800,556900
round_k,1,4,16,55,169,668,2784
round_shots,200,200,200,200,100,200,100
round_queries,200,600,1800,5400,11300,67800,426900
round_k,1,4,13,56,169,633,2134
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,6600,13900,43900,643500
round_k,1,4,16,69,219,846,3217
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,5800,11900,41700,717700
round_k,1,4,14,59,208,809,3588
round_shots,300,300,200,200,300,100,100
round_queries,300,900,1800,5800,26700,32900,496100
round_k,1,4,14,44,164,573,2480
round_shots,200,200,200,400,200,100,100
round_queries,200,600,1800,11600,17400,39100,690300
round_k,1,4,14,43,195,774,3451
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,5400,10300,35500,559100
round_k,1,4,13,51,177,674,2795
round_shots,300,200,200,200,100,100,100
round_queries,300,600,1800,5800,11100,36900,502300
round_k,1,4,14,55,184,577,2511
round_shots,200,200,200,200,200,100
round_queries,200,600,1800,6600,23400,211900
round_k,1,4,16,58,261,1059
round_shots,300,300,400,300,300,100
round_queries,300,900,4400,14100,42300,192700
round_k,1,5,23,70,247,963
round_shots,200,200,200,200,100,100,100
round_queries,200,600,1800,5400,11300,36900,548500
round_k,1,4,13,56,184,646,2742
