round_shots,200,200,300,200,200,200,100,100
round_queries,200,600,2700,7000,23000,96600,216900,3248300
round_k,1,4,17,57,241,1084,4014,16241
round_shots,300,200,300,200,200,100,100,100
round_queries,300,600,2700,8200,30200,61700,211700,3317100
round_k,1,4,20,75,308,1058,3965,16585
round_shots,300,200,200,200,100,200,100,100,100
round_queries,300,600,1800,6600,14100,87000,199700,629900,10048100
round_k,1,4,16,70,217,998,3149,12332,50240
round_shots,300,200,200,200,200,100,100,100,100
round_queries,300,600,1800,5400,21400,48700,157300,555700,9668100
round_k,1,4,13,53,243,786,2778,11290,48340
round_shots,300,200,200,400,200,200,100,100
round_queries,300,600,1800,10800,25800,100600,210100,2927900
round_k,1,4,13,64,251,1050,3902,14639
round_shots,200,200,200,200,200,100,100,100,100
round_queries,200,600,1800,5800,22600,46500,145100,519100,9088900
round_k,1,4,14,56,232,725,2595,10262,45444
round_shots,300,200,200,200,100,100,100,200,100
round_queries,300,600,1800,5800,12500,37500,119700,856600,5744700
round_k,1,4,14,62,187,598,2141,6549,28723
round_shots,300,200,300,300,200,200,200,100
round_queries,300,600,2700,10500,29000,112200,381800,4008700
round_k,1,4,17,72,280,954,4407,20043
round_shots,300,200,300,200,200,100,100,100
round_queries,300,600,2700,7000,28200,55100,183900,2326500
round_k,1,4,17,70,275,919,3361,11632
round_shots,300,200,300,300,200,100,100,100,100
round_queries,300,600,2700,9300,19400,29900,97300,328900,5213900
round_k,1,4,15,48,149,486,1644,6358,26069
round_shots,300,200,300,200,100,100,100,100,100
round_queries,300,600,2700,6600,13700,41700,127700,403500,5131900
round_k,1,4,16,68,208,638,2017,7967,25659
round_shots,200,300,300,200,300,100,100,100,100
round_queries,200,900,3300,7000,32700,43300,132700,482300,6368100
round_k,1,5,17,54,216,663,2411,7234,31840
round_shots,200,200,200,200,200,100,100,100,100
round_queries,200,600,1800,5800,20600,44300,147300,524100,8278500
round_k,1,4,14,51,221,736,2620,9483,41392
round_shots,200,300,200,300,200,100,100,100,100
round_queries,200,900,1800,8100,21800,41100,138300,496500,8329100
