round_shots,200,200,200,200,100,100
round_queries,200,600,1800,7000,14300,191700
round_k,1,4,17,71,245,958
round_shots,200,100,400,200,100,100,100
round_queries,200,300,3600,5400,11100,38900,575100
round_k,1,4,13,55,194,685,2875
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,100,200,200,200,100
round_queries,200,300,1800,5800,23400,204500
round_k,1,4,14,58,272,1022
round_shots,200,200,600,200,100,100
round_queries,200,600,5400,10200,23500,333500
round_k,1,4,25,117,400,1667
round_shots,200,200,500,300,200,100,100
round_queries,200,600,4500,8100,16200,30100,461100
round_k,1,4,13,40,150,553,2305
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,100,400,300,200,100,100
round_queries,200,300,3600,8100,16200,33100,437300
round_k,1,4,13,40,165,522,2186
round_shots,200,100,600,200,100,100
round_queries,200,300,5400,9800,20700,297500
round_k,1,4,24,103,375,1487
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,100,400,200,100,100,100
round_queries,200,300,3600,5400,9500,29700,464300
round_k,1,4,13,47,148,549,2321
round_shots,200,100,200,200,200,200,100
round_queries,200,300,1800,5400,23800,79800,650300
round_k,1,4,13,59,199,732,3251
round_shots,200,200,400,200,100,100
round_queries,200,600,3600,8600,17100,247100
round_k,1,4,21,85,297,1235
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,100,200,300,200,100
round_queries,200,300,1800,9300,29000,263300
round_k,1,4,15,72,272,1316
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,200,400,300,100,100,100
round_queries,200,600,3600,8100,8100,25700,323100
round_k,1,4,13,40,128,443,1615
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,200,200,200,300,200,100
round_queries,200,600,1800,6200,38700,77400,751500
round_k,1,4,15,64,193,872,3757
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
round_shots,200,200,400,300,100,200,100
round_queries,200,600,3600,8100,8900,61000,552900
round_k,1,4,13,44,152,653,2764
round_shots,200,100,100,100,100,100,100
round_queries,200,300,900,2700,8500,28100,352300
round_k,1,4,13,42,140,485,1761
