round_shots,400,300,200,100,100,100,100
round_queries,400,900,3000,6300,21300,78300,1568700
round_k,1,7,31,106,391,1646,7843
round_shots,200,200,200,100,100,100,100,100
round_queries,200,600,2200,4900,16100,57500,233700,5778500
round_k,1,5,24,80,287,1168,5417,28892
round_shots,400,200,200,100,100,100,100,100
round_queries,400,600,2200,4700,15500,56300,228500,5719500
round_k,1,5,23,77,281,1142,5324,28597
round_shots,300,300,200,100,100,100,100
round_queries,300,900,3000,6700,22100,84500,1709100
round_k,1,7,33,110,422,1788,8545
round_shots,300,200,200,100,100,100,100,100
round_queries,300,600,2200,4700,16100,58500,241700,6019700
round_k,1,5,23,80,292,1208,5608,30098
round_shots,400,200,100,100,100,100,100,100
round_queries,400,600,1100,3300,9900,34100,130900,2823700
round_k,1,5,16,49,170,654,2824,14118
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1100,3700,11700,40700,166900,3820100
round_k,1,5,18,58,203,834,3702,19100
round_shots,400,200,200,100,100,100,100,100
round_queries,400,600,2200,4500,16100,59700,250300,6364500
round_k,1,5,22,80,298,1251,5851,31822
round_shots,400,200,200,100,100,100,100,100
round_queries,400,600,2200,4500,13900,48700,193300,4537900
round_k,1,5,22,69,243,966,4360,22689
round_shots,300,300,100,100,100,100,100,100
round_queries,300,900,1100,3300,10900,37700,150700,3420500
round_k,1,5,16,54,188,753,3352,17102
round_shots,300,200,200,100,100,100,100,100
round_queries,300,600,2200,4500,14900,55700,230700,5621900
round_k,1,5,22,74,278,1153,5261,28109
round_shots,300,200,200,100,100,100,100,100
round_queries,300,600,2200,4100,12300,44500,177700,4167900
round_k,1,5,20,61,222,888,4007,20839
round_shots,200,200,200,100,100,100,100,100
round_queries,200,600,2200,3700,12300,44700,181100,4202700
round_k,1,5,18,61,223,905,4037,21013
round_shots,500,200,200,100,100,100,100,100
round_queries,500,600,2200,4500,15500,54500,221100,5375300
round_k,1,5,22,77,272,1105,5043,26876
round_shots,200,300,200,100,100,100,100,100
round_queries,200,900,2200,4100,13300,48500,197300,4653100
round_k,1,5,20,66,242,986,4460,23265
round_shots,300,200,200,100,100,100,100,100
round_queries,300,600,2200,4100,12300,46300,182100,4333300
round_k,1,5,20,61,231,910,4147,21666
round_shots,200,200,200,100,100,100,100,100
round_queries,200,600,2200,4500,14900,54700,223100,5480100
round_k,1,5,22,74,273,1115,5164,27400
round_shots,400,200,100,100,100,100,100,100
round_queries,400,600,1100,3300,10700,39100,157500,3620100
round_k,1,5,16,53,195,787,3531,18100
round_shots,300,300,200,100,100,100,100
round_queries,300,900,3000,6300,19700,75300,1521300
round_k,1,7,31,98,376,1606,7606
round_shots,500,200,100,100,100,100,100
round_queries,500,1000,1900,5900,20900,77700,1553700
round_k,2,9,29,104,388,1638,7768
round_shots,400,200,200,100,100,100,100,100
round_queries,400,600,2200,3700,11700,40700,157700,3422300
round_k,1,5,18,58,203,788,3390,17111
round_shots,200,200,200,100,100,100,100,100
round_queries,200,600,2200,3700,11300,43100,175900,4030900
round_k,1,5,18,56,215,879,3937,20154
round_shots,300,200,200,100,100,100,100,100
round_queries,300,600,2200,4100,13300,49700,198500,4728100
round_k,1,5,20,66,248,992,4487,23640
round_shots,400,200,100,100,100,100,100,100
round_queries,400,600,1100,3700,11900,43700,180900,4210500
round_k,1,5,18,59,218,904,4066,21052
round_shots,300,400,200,100,100,100,100,100
round_queries,300,1200,2200,4100,12300,44500,181500,4208700
round_k,1,5,20,61,222,907,4034,21043
round_shots,500,200,200,200,100,100,100
round_queries,500,600,2200,9000,19900,74900,1477500
round_k,1,5,22,99,374,1550,7387
round_shots,400,200,100,100,100,100,100,100
round_queries,400,600,1100,3300,9900,35900,134900,2833900
round_k,1,5,16,49,179,674,2838,14169
round_shots,300,200,100,100,100,100,100,100
round_queries,300,600,1100,3300,10700,37100,151500,3419100
round_k,1,5,16,53,185,757,3359,17095
round_shots,400,300,200,100,100,100,100,100
round_queries,400,900,2200,3700,11500,41900,172500,4022900
round_k,1,5,18,57,209,862,3881,20114
round_shots,400,200,200,100,100,100,100,100
round_queries,400,600,2200,4900,16900,64100,263500,6587700
round_k,1,5,24,84,320,1317,6069,32938
round_shots,300,200,200,100,100,100,100,100
round_queries,300,600,2200,4100,14100,50500,196100,4438100
round_k,1,5,20,70,252,980,4338,22190
round_shots,200,400,200,100,100,100,100,100
round_queries,200,1200,2200,4700,14100,50300,203700,4890700
round_k,1,5,23,70,251,1018,4668,24453
round_shots,500,200,200,100,100,100,100,100
round_queries,500,600,2200,4500,14300,53700,219300,5364500
round_k,1,5,22,71,268,1096,5031,26822
round_shots,200,200,200,100,100,100,100,100
round_queries,200,600,2200,4500,14500,52100,212900,5197100
round_k,1,5,22,72,260,1064,4918,25985
round_shots,400,200,100,200,100,100,100,100
round_queries,400,600,1100,6600,15700,58900,247100,6159900
round_k,1,5,16,78,294,1235,5734,30799
round_shots,500,200,200,100,100,100,100,100
round_queries,500,600,2200,4100,12300,44700,176700,4162700
round_k,1,5,20,61,223,883,4014,20813
round_shots,200,200,100,200,100,100,100,100
round_queries,200,600,1100,6600,14500,53500,213700,5202700
round_k,1,5,16,72,267,1068,4919,26013
round_shots,200,200,200,100,100,100,100,100
round_queries,200,600,2200,4900,17700,65900,274100,7023500
round_k,1,5,24,88,329,1370,6438,35117
round_shots,400,200,200,100,100,100,100,100
round_queries,400,600,2200,4100,14500,53100,206500,4886500
round_k,1,5,20,72,265,1032,4735,24432
round_shots,200,200,200,100,100,100,100,100
round_queries,200,600,2200,4500,16300,61500,249500,6254300
round_k,1,5,22,81,307,1247,5811,31271
round_shots,200,300,100,100,100,100,100,100
round_queries,200,900,1500,4500,15300,57300,231100,5737900
round_k,1,7,22,76,286,1155,5355,28689
round_shots,400,200,100,100,100,100,100,100
round_queries,400,600,1100,3300,11100,40300,163100,3770700
round_k,1,5,16,55,201,815,3656,18853
round_shots,200,200,200,100,100,100,100,100
round_queries,200,600,2200,4500,14500,53100,216100,5250900
round_k,1,5,22,72,265,1080,4958,26254
round_shots,400,200,100,200,100,100,100,100
round_queries,400,600,1100,6600,14500,51300,199500,4420700
round_k,1,5,16,72,256,997,4264,22103
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1100,3300,10700,39500,159300,3655700
round_k,1,5,16,53,197,796,3540,18278
round_shots,300,300,200,100,100,100,100
round_queries,300,900,3000,6300,22300,87900,1792900
round_k,1,7,31,111,439,1872,8964
round_shots,300,200,100,200,100,100,100,100
round_queries,300,600,1100,6600,13500,49100,198900,4749300
round_k,1,5,16,67,245,994,4511,23746
round_shots,400,200,100,100,100,100,100,100
round_queries,400,600,1100,3300,10700,38900,157300,3559100
round_k,1,5,16,53,194,786,3497,17795
round_shots,400,300,100,100,100,100,100,100
round_queries,400,900,1100,3300,10300,37700,150900,3366700
round_k,1,5,16,51,188,754,3310,16833
round_shots,500,300,100,100,100,100,100,100
round_queries,500,900,1100,3300,9900,35700,143100,3220300
round_k,1,5,16,49,178,715,3165,16101
round_shots,400,200,100,100,100,100,100,100
round_queries,400,600,1100,3700,11900,40900,156700,3512700
round_k,1,5,18,59,204,783,3435,17563
round_shots,300,200,100,200,100,100,100,100
round_queries,300,600,1100,6600,15300,56100,231900,5732700
round_k,1,5,16,76,280,1159,5336,28663
round_shots,300,200,200,100,100,100,100,100
round_queries,300,600,2200,4100,13300,46900,187900,4412300
round_k,1,5,20,66,234,939,4207,22061
round_shots,500,300,200,100,100,100,100,100
round_queries,500,900,2200,4900,15700,59100,243500,6160500
round_k,1,5,24,78,295,1217,5699,30802
round_shots,200,400,200,100,100,100,100
round_queries,200,1200,3000,5900,19500,73700,1457100
round_k,1,7,29,97,368,1532,7285
round_shots,300,200,100,100,100,100,100,100
round_queries,300,600,1100,3300,9900,34100,130900,2545100
round_k,1,5,16,49,170,654,2679,12725
round_shots,200,200,100,200,100,100,100,100
round_queries,200,600,1100,6600,14500,54100,224500,5454500
round_k,1,5,16,72,270,1122,5133,27272
round_shots,300,300,100,100,100,100,100,100
round_queries,300,900,1100,3300,11500,42500,170700,3937100
round_k,1,5,16,57,212,853,3810,19685
round_shots,600,200,200,100,100,100,100,100
round_queries,600,600,2200,4900,15300,53500,218300,5269700
round_k,1,5,24,76,267,1091,4967,26348
round_shots,300,200,200,100,100,100,100,100
round_queries,300,600,2200,4100,13300,47300,191900,4567900
round_k,1,5,20,66,236,959,4346,22839
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1100,3300,10300,37900,152300,3497300
round_k,1,5,16,51,189,761,3416,17486
round_shots,400,300,300,100,100,100,100,100
round_queries,400,900,3300,5700,19300,70900,295500,7697300
round_k,1,5,28,96,354,1477,6952,38486
round_shots,300,200,200,100,100,100,100,100
round_queries,300,600,2200,4100,12700,44300,176300,4134100
round_k,1,5,20,63,221,881,4001,20670
round_shots,300,200,200,100,100,100,100,100
round_queries,300,600,2200,4700,15500,56100,227300,5618500
round_k,1,5,23,77,280,1136,5284,28092
round_shots,200,300,200,100,100,100,100,100
round_queries,200,900,2200,4300,14100,50300,201500,4860900
round_k,1,5,21,70,251,1007,4603,24304
round_shots,400,200,200,200,100,100,100
round_queries,400,600,2200,9000,20700,79500,1600300
round_k,1,5,22,103,397,1666,8001
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,1100,3700,11100,39900,157700,3582900
round_k,1,5,18,55,199,788,3489,17914
round_shots,400,200,300,100,100,100,100,100
round_queries,400,600,3300,5300,18100,66900,270100,6835700
round_k,1,5,26,90,334,1350,6276,34178
round_shots,500,200,300,100,100,100,100
round_queries,500,600,3300,5700,19300,72300,1422300
round_k,1,5,28,96,361,1517,7111
round_shots,300,200,100,200,100,100,100,100
round_queries,300,600,1100,6600,13900,51300,200300,5206300
round_k,1,5,16,69,256,1001,4895,26031
round_shots,200,200,200,100,100,100,100,100
round_queries,200,600,2200,4900,15100,55900,226700,5574300
round_k,1,5,24,75,279,1133,5222,27871
round_shots,400,200,200,100,100,100,100,100
round_queries,400,600,2200,4100,13300,46300,186300,4461500
round_k,1,5,20,66,231,931,4268,22307
round_shots,300,300,200,100,100,100,100,100
round_queries,300,900,2200,3700,12300,44100,178900,4134500
round_k,1,5,18,61,220,894,4009,20672
round_shots,300,200,100,100,100,100,100,100
round_queries,300,600,1100,3700,11900,43900,176300,4121900
round_k,1,5,18,59,219,881,3958,20609
round_shots,200,200,200,100,100,100,100,100
round_queries,200,600,2200,4500,14500,52500,210900,5098100
