round_shots,300,300,200,200,100,100,100,100,100
round_queries,300,900,2200,8200,17300,56300,200100,790300,16256500
round_k,1,5,20,86,281,1000,3951,16868,81282
round_shots,300,300,200,200,100,100,100,100,100,100
round_queries,300,900,2200,8200,16900,54300,185900,686300,2882900,75945300
round_k,1,5,20,84,271,929,3431,14414,68546,379726
round_shots,300,200,200,100,100,100,100,100,100,100
round_queries,300,600,2200,3700,11100,35100,120700,456500,1875900,45164700
round_k,1,5,18,55,175,603,2282,9379,42967,225823
round_shots,400,300,300,200,100,100,100,100,100
round_queries,400,900,3300,10600,23500,77700,287100,1118900,24361700
round_k,1,5,26,117,388,1435,5594,24518,121808
round_shots,300,300,200,100,100,100,100,100,100,100
round_queries,300,900,2200,3700,11100,35900,125900,474300,1949900,47617900
round_k,1,5,18,55,179,629,2371,9749,44996,238089
round_shots,300,200,100,200,100,100,100,100,100,100
round_queries,300,600,1100,6600,12300,41300,145900,557900,2333500,58782700
round_k,1,5,16,61,206,729,2789,11667,54387,293913
round_shots,400,200,200,100,100,100,100,100,100,100
round_queries,400,600,2200,4500,14300,44700,156100,596300,2494500,62900300
round_k,1,5,22,71,223,780,2981,12472,58203,314501
round_shots,400,200,100,100,100,100,100,100,100,100
round_queries,400,600,1100,3300,10100,31900,110100,418300,1707300,40364500
round_k,1,5,16,50,159,550,2091,8536,38760,201822
round_shots,400,200,200,200,100,100,100,100,100,100
round_queries,400,600,2200,7400,14300,47500,173700,667500,2829300,73529300
round_k,1,5,18,71,237,868,3337,14146,66882,367646
round_shots,500,200,200,200,100,100,100,100,100,100
round_queries,500,600,2200,8200,17100,53900,186100,675700,2800100,72974700
round_k,1,5,20,85,269,930,3378,14000,66488,364873
round_shots,500,200,100,200,100,100,100,100,100,100
round_queries,500,600,1100,6600,12500,41900,147500,559300,2326900,58415900
round_k,1,5,16,62,209,737,2796,11634,54154,292079
round_shots,300,200,200,200,100,100,100,100,100
round_queries,300,600,2200,8200,17500,59300,211100,819500,16948100
round_k,1,5,20,87,296,1055,4097,17540,84740
round_shots,500,200,200,200,100,100,100,100,100
round_queries,500,600,2200,9000,17900,61100,216700,849900,17501300
round_k,1,5,22,89,305,1083,4249,18122,87506
round_shots,300,200,200,100,100,100,100,100,100,100
round_queries,300,600,2200,3700,11700,36700,130900,499700,2078900,50278700
round_k,1,5,18,58,183,654,2498,10394,47857,251393
round_shots,300,200,300,200,100,100,100,100,100
round_queries,300,600,3300,9800,21700,73900,268700,1072300,23121500
round_k,1,5,24,108,369,1343,5361,23413,115607
round_shots,200,200,200,100,100,100,100,100,100,100
round_queries,200,600,2200,3700,11100,37500,127500,485500,2023100,46133500
round_k,1,5,18,55,187,637,2427,10115,45109,230667
round_shots,400,200,200,100,100,100,100,100,100,100
round_queries,400,600,2200,3700,11500,37300,126700,471500,1903500,45238300
round_k,1,5,18,57,186,633,2357,9517,43133,226191
round_shots,300,300,200,200,100,100,100,100,100
round_queries,300,900,2200,8200,16300,54100,194700,757700,15524100
round_k,1,5,20,81,270,973,3788,16181,77620
