round_shots,1200,200,200,200,100,100,100
round_queries,1200,1800,6600,28200,58500,183300,2900900
round_k,4,16,70,292,916,3280,14504
round_shots,600,200,300,100,200,100,100,100,100
round_queries,600,600,2700,3300,19800,41300,142900,433300,5363300
round_k,1,4,16,49,206,714,2166,8503,26816
round_shots,1500,300,200,200,200,100,200
round_queries,1500,2100,5000,19800,80200,166700,4412600
round_k,3,12,49,200,833,2880,11031
round_shots,900,300,200,200,200,100,100
round_queries,900,2100,5000,19400,72200,144900,2224700
round_k,3,12,48,180,724,2701,11123
round_shots,1500,300,300,200,200,200,100,100
round_queries,1500,2100,7500,21000,68600,267400,587100,5481900
round_k,3,12,52,171,668,2935,9136,27409
round_shots,1300,400,200,200,200,100,100
round_queries,1300,2800,5000,17800,64200,136100,1964500
round_k,3,12,44,160,680,2440,9822
round_shots,1000,200,300,200,200,100,100,100
round_queries,1000,600,2700,8200,27400,57700,198300,2998900
round_k,1,4,20,68,288,991,3702,14994
round_shots,1400,200,400,200,100,200,100,100
round_queries,1400,1800,12400,23400,38700,234600,380700,6080900
round_k,4,15,58,193,586,1903,6804,30404
round_shots,1200,300,200,400,200,100,100
round_queries,1200,2100,5000,37200,72600,147500,2134100
round_k,3,12,46,181,737,2671,10670
round_shots,1000,400,200,200,300,100,200,100
round_queries,1000,2800,5400,17000,88500,88500,629000,4835100
round_k,3,13,42,147,442,1572,6560,24175
round_shots,1500,200,100,200,200,100,100
round_queries,1500,1800,3300,19800,73400,152300,2187100
round_k,4,16,49,183,761,2729,10935
round_shots,700,200,200,200,200,200,200,100
round_queries,700,600,1800,6600,24600,82600,278200,2110900
round_k,1,4,16,61,206,695,3124,10554
round_shots,1400,300,200,200,100,100,100,100
round_queries,1400,2100,5000,18200,36100,115900,429100,6865100
round_k,3,12,45,180,579,2145,8000,34325
round_shots,1000,300,200,200,100,100,100,100
round_queries,1000,2100,5000,17800,31100,103300,367900,4736300
round_k,3,12,44,155,516,1839,5619,23681
round_shots,1300,300,300,200,200,100,100
round_queries,1300,2100,7500,19400,72200,152500,1953300
round_k,3,12,48,180,762,2485,9766
round_shots,1000,300,200,200,100,100,100,100
round_queries,1000,2100,5000,17800,35900,118100,389700,5419500
round_k,3,12,44,179,590,1948,6923,27097
round_shots,900,200,300,200,300,100,100,100
round_queries,900,1400,7500,21000,122100,123500,402700,7386700
round_k,3,12,52,203,617,2013,8113,36933
round_shots,1400,300,200,200,100,100,100
round_queries,1400,2700,6600,23400,50900,176100,2515300
round_k,4,16,58,254,880,3262,12576
round_shots,1500,300,200,200,200,100,100,100
round_queries,1500,2100,5000,19400,70600,164700,599900,7415700
round_k,3,12,48,176,823,2999,12189,37078
round_shots,1596,288,192,192,192,96,96
round_queries,1596,2016,4800,19008,73920,168672,2508960
round_k,3,12,49,192,878,3263,13067
round_shots,1000,300,200,200,100,100,100,100
round_queries,1000,2100,5000,16200,33900,115300,413500,5809500
round_k,3,12,40,169,576,2067,7292,29047
round_shots,1500,200,300,100,100,100,200,100
round_queries,1500,1800,9300,13100,40300,132300,797800,6008100
round_k,4,15,65,201,661,1994,6931,30040
round_shots,1300,300,300,100,100,100,100
round_queries,1300,2700,12300,19100,60700,206100,2961700
round_k,4,20,95,303,1030,3485,14808
round_shots,1200,300,200,200,200,100,100,100
round_queries,1200,2100,5000,19800,73400,110100,399300,6985700
round_k,3,12,49,183,550,1996,7754,34928
round_shots,1000,200,200,200,100,100,100,100
round_queries,1000,1400,5000,16200,29700,94700,291100,4737100
round_k,3,12,40,148,473,1455,5479,23685
round_shots,1000,400,200,200,100,100,100,100
round_queries,1000,2800,5000,18200,38300,123500,449900,6644700
round_k,3,12,45,191,617,2249,7601,33223
round_shots,1300,200,200,200,100,100,100
round_queries,1300,1800,6600,21400,49300,161300,2397700
round_k,4,16,53,246,806,3032,11988
round_shots,1300,300,200,200,100,100,100
round_queries,1300,2100,5000,19800,42500,141500,2127700
round_k,3,12,49,212,707,2609,10638
round_shots,900,300,300,200,200,100,100
round_queries,900,2100,7500,21000,93000,140100,1843300
round_k,3,12,52,232,700,2454,9216
round_shots,1596,288,192,192,192,96,192,96
round_queries,1596,2016,4800,19008,64320,112800,813888,4781280
round_k,3,12,49,167,587,2119,7072,24902
round_shots,900,300,200,200,200,100,200,100
round_queries,900,2100,5000,16600,60200,113700,816200,5337500
round_k,3,12,41,150,568,2040,6391,26687
round_shots,1200,200,200,100,100,100,100,100
round_queries,1200,1800,6600,11500,36300,117300,426100,7755900
round_k,4,16,57,181,586,2130,8666,38779
round_shots,900,300,300,200,100,100,100,100
round_queries,900,2100,6900,14600,26700,83300,250300,3576700
round_k,3,11,36,133,416,1251,4222,17883
round_shots,1300,300,200,200,200,100,100,100
round_queries,1300,2100,5000,16200,61800,134700,486300,7717900
round_k,3,12,40,154,673,2431,9569,38589
round_shots,1000,300,200,100,100,200,100,100
round_queries,1000,2100,5000,8300,25900,167000,324100,4891100
round_k,3,12,41,129,417,1620,5559,24455
round_shots,1000,300,300,200,200,200,100
round_queries,1000,2100,7500,22600,86600,323400,2628100
round_k,3,12,56,216,808,3709,13140
round_shots,900,300,200,200,200,100,100
round_queries,900,2100,5000,15800,62600,141700,2074100
round_k,3,12,39,156,708,2590,10370
round_shots,1500,200,200,200,100,100,100
round_queries,1500,1800,6600,22600,50100,170700,2636700
round_k,4,16,56,250,853,3163,13183
round_shots,1200,300,200,200,200,100,100,100
round_queries,1200,2100,5000,15800,57800,120300,420500,6008500
round_k,3,12,39,144,601,2102,6823,30042
round_shots,1300,300,200,300,100,100,100,100
round_queries,1300,2100,5000,24300,31500,104300,383300,6889900
round_k,3,12,40,157,521,1916,7670,34449
round_shots,1400,300,200,200,100,100,100
round_queries,1400,2100,5000,21400,47900,160300,2182100
round_k,3,12,53,239,801,2991,10910
round_shots,900,400,200,200,100,100,100,100
