round_shots,600,800,1200,400,300,200,200
round_queries,600,2400,8400,8400,15900,30200,70200
round_k,0,1,3,10,26,75,175
round_shots,600,1100,900,300,200,200,300,100
round_queries,600,3300,6300,6300,9800,20200,68100,56500
round_k,0,1,3,10,24,50,113,282
round_shots,600,900,1100,500,300,300,200,100
round_queries,600,2700,7700,10500,15900,36300,64600,71500
round_k,0,1,3,10,26,60,161,357
round_shots,600,1500,900,300,300,200,300
round_queries,600,4500,6300,6300,14700,24200,86700
round_k,0,1,3,10,24,60,144
round_shots,400,1500,900,400,300,200,200
round_queries,400,4500,6300,8400,15900,30200,70200
round_k,0,1,3,10,26,75,175
round_shots,600,1200,1200,300,300,200,200,100
round_queries,600,3600,8400,6900,15900,31400,67800,75100
round_k,0,1,3,11,26,78,169,375
round_shots,400,800,1100,300,300,200,200,100
round_queries,400,2400,7700,7500,17700,29000,62600,71500
round_k,0,1,3,12,29,72,156,357
round_shots,400,1300,1000,400,300,200,300,100
round_queries,400,3900,7000,8400,15900,24600,75900,51900
round_k,0,1,3,10,26,61,126,259
round_shots,400,1100,1100,400,300,200,200
round_queries,400,3300,7700,8400,15900,31000,71800
round_k,0,1,3,10,26,77,179
round_shots,700,1500,1200,500,300,200,200,100
round_queries,700,4500,8400,10500,15900,25400,55800,63700
round_k,0,1,3,10,26,63,139,318
round_shots,600,1600,800,400,300,200,200,100
round_queries,600,4800,5600,8400,15300,24200,53800,55700
round_k,0,1,3,10,25,60,134,278
round_shots,400,1200,1100,200,200,200,200,200
round_queries,400,3600,7700,4600,10200,20600,45800,102600
round_k,0,1,3,11,25,51,114,256
round_shots,700,1200,700,300,300,200,200
round_queries,700,3600,4900,6300,15300,29400,68600
round_k,0,1,3,10,25,73,171
round_shots,600,900,800,300,300,200,200,100
round_queries,600,2700,5600,6300,14700,29000,63400,73100
round_k,0,1,3,10,24,72,158,365
round_shots,500,1200,1100,300,400,200,200,100
round_queries,500,3600,7700,7500,23600,26600,58600,66700
round_k,0,1,3,12,29,66,146,333
round_shots,500,1000,1200,300,300,200,200,100
round_queries,500,3000,8400,6300,15300,24600,53800,61500
round_k,0,1,3,10,25,61,134,307
round_shots,500,1200,800,200,300,200,300,200
round_queries,500,3600,5600,4200,14100,23000,70500,96600
round_k,0,1,3,10,23,57,117,241
round_shots,700,1000,900,300,300,200,200,100
round_queries,700,3000,6300,6300,14700,24200,53400,57900
round_k,0,1,3,10,24,60,133,289
round_shots,500,1100,1100,400,300,200,200,100
round_queries,500,3300,7700,8400,15900,25400,55400,58500
round_k,0,1,3,10,26,63,138,292
round_shots,600,1400,1100,400,300,200,200,100
round_queries,600,4200,7700,8400,15900,25800,57000,67100
round_k,0,1,3,10,26,64,142,335
round_shots,600,1300,1000,300,300,200,200,100
round_queries,600,3900,7000,6300,14100,23400,55800,62700
round_k,0,1,3,10,23,58,139,313
round_shots,600,1200,1200,300,300,200,200,100
round_queries,600,3600,8400,6900,16500,27000,58200,66500
round_k,0,1,3,11,27,67,145,332
round_shots,400,1000,1000,400,300,200,200,100
round_queries,400,3000,7000,8400,15900,25800,61400,64500
round_k,0,1,3,10,26,64,153,322
round_shots,400,1400,900,400,300,300,200,100
round_queries,400,4200,6300,8400,15900,36300,60200,67100
round_k,0,1,3,10,26,60,150,335
round_shots,400,1100,1100,400,300,200,200,100
round_queries,400,3300,7700,9200,17100,26600,59000,69300
round_k,0,1,3,11,28,66,147,346
round_shots,700,1300,1100,300,300,200,200,100
round_queries,700,3900,7700,6300,15300,24200,53000,58300
round_k,0,1,3,10,25,60,132,291
round_shots,500,1400,1100,300,300,200,200,100
round_queries,500,4200,7700,6300,14700,23800,53000,60300
round_k,0,1,3,10,24,59,132,301
round_shots,600,1300,500,200,300,200,200,100
round_queries,600,3900,3500,4200,13500,26600,57400,62100
round_k,0,1,3,10,22,66,143,310
round_shots,600,1100,1200,300,300,200,200,100
round_queries,600,3300,8400,6900,15900,25400,55400,65300
round_k,0,1,3,11,26,63,138,326
round_shots,500,1000,1100,600,400,200,200
round_queries,500,3000,7700,12600,22800,31400,68600
round_k,0,1,3,10,28,78,171
round_shots,800,1300,1200,500,300,300,200,100
round_queries,800,3900,8400,10500,16500,36300,59800,66700
round_k,0,1,3,10,27,60,149,333
round_shots,600,900,1200,700,300,200,200,100
round_queries,600,2700,8400,14700,17100,27000,59000,67500
round_k,0,1,3,10,28,67,147,337
round_shots,500,1000,1100,600,300,200,200,200
round_queries,500,3000,7700,12600,16500,25800,53000,115800
round_k,0,1,3,10,27,64,132,289
round_shots,500,1100,1100,500,300,300,200
round_queries,500,3300,7700,10500,16500,47100,77000
round_k,0,1,3,10,27,78,192
round_shots,400,1400,1100,300,300,200,200,100
round_queries,400,4200,7700,6900,16500,26200,57400,62100
round_k,0,1,3,11,27,65,143,310
round_shots,600,1100,1200,500,300,300,200,100
round_queries,600,3300,8400,10500,16500,38100,63000,67700
round_k,0,1,3,10,27,63,157,338
round_shots,600,800,1200,400,300,200,200,100
round_queries,600,2400,8400,9200,17100,26200,57400,65700
round_k,0,1,3,11,28,65,143,328
round_shots,900,1100,1200,400,300,200,200,100
round_queries,900,3300,8400,8400,15900,25800,56200,63700
round_k,0,1,3,10,26,64,140,318
round_shots,600,1200,1100,400,300,200,200,100
round_queries,600,3600,7700,8400,15900,24600,54200,61700
round_k,0,1,3,10,26,61,135,308
round_shots,500,2000,300,300,200,300,100
round_queries,500,6000,6300,15300,23400,72300,61700
round_k,0,1,10,25,58,120,308
round_shots,500,1200,1200,400,400,200,200,100
round_queries,500,3600,8400,9200,22800,25800,57400,67900
round_k,0,1,3,11,28,64,143,339
round_shots,500,900,900,400,400,200,300,100
round_queries,500,2700,6300,8400,21200,24200,80100,71100
round_k,0,1,3,10,26,60,133,355
round_shots,600,900,1100,400,500,200,300
round_queries,600,2700,7700,9200,28500,30600,93900
round_k,0,1,3,11,28,76,156
round_shots,600,1200,1100,500,300,300,200
round_queries,600,3600,7700,10500,16500,47100,81800
round_k,0,1,3,10,27,78,204
round_shots,700,800,1100,400,300,500,300
round_queries,700,2400,7700,8400,15900,60500,106500
round_k,0,1,3,10,26,60,177
round_shots,700,1800,1000,300,200,200,200,200
round_queries,700,5400,7000,6300,9400,19000,41800,93000
round_k,0,1,3,10,23,47,104,232
round_shots,600,1400,800,300,400,300,200,100
round_queries,600,4200,5600,6300,20400,41700,62200,64100
round_k,0,1,3,10,25,69,155,320
round_shots,900,1700,600,200,300,200,200,100
round_queries,900,5100,4200,4200,13500,26200,57800,64100
round_k,0,1,3,10,22,65,144,320
round_shots,500,1100,900,300,300,200,200,100
round_queries,500,3300,6300,6300,14700,23800,53000,57500
round_k,0,1,3,10,24,59,132,287
round_shots,400,900,1100,600,400,300,200,100
round_queries,400,2700,7700,12600,22800,37500,62200,72100
round_k,0,1,3,10,28,62,155,360
round_shots,800,1100,1000,400,300,200,200,100
round_queries,800,3300,7000,8400,15900,25000,55400,60700
round_k,0,1,3,10,26,62,138,303
round_shots,500,1200,1100,300,300,200,300
round_queries,500,3600,7700,6900,15900,25400,84300
round_k,0,1,3,11,26,63,140
round_shots,700,1000,1000,400,300,200,200,100
round_queries,700,3000,7000,8400,15900,25000,55400,65500
round_k,0,1,3,10,26,62,138,327
round_shots,400,900,1100,400,300,200,300
round_queries,400,2700,7700,8400,15900,31000,99300
round_k,0,1,3,10,26,77,165
round_shots,600,1900,300,300,200,200,100
round_queries,600,5700,6300,15300,24600,58600,65700
round_k,0,1,10,25,61,146,328
round_shots,800,1200,800,300,300,300,200,100
round_queries,800,3600,5600,6300,14700,36300,66200,71500
round_k,0,1,3,10,24,60,165,357
round_shots,800,1200,1200,500,300,200,200,100
round_queries,800,3600,8400,10500,16500,26200,58200,60100
round_k,0,1,3,10,27,65,145,300
round_shots,400,1100,1100,300,200,200,200,200
round_queries,400,3300,7700,6900,11000,22200,50200,105000
round_k,0,1,3,11,27,55,125,262
round_shots,500,1300,800,300,300,200,200,100
round_queries,500,3900,5600,6300,14700,23400,51400,56700
round_k,0,1,3,10,24,58,128,283
round_shots,500,1200,900,300,300,200,200,100
round_queries,500,3600,6300,6300,15300,24600,53800,61500
round_k,0,1,3,10,25,61,134,307
round_shots,500,1200,1000,500,400,200,200,100
round_queries,500,3600,7000,10500,22000,24200,49400,56900
round_k,0,1,3,10,27,60,123,284
round_shots,500,800,1200,500,300,200,200,100
round_queries,500,2400,8400,10500,16500,27000,58200,66300
round_k,0,1,3,10,27,67,145,331
round_shots,800,1000,1200,200,300,200,200
round_queries,800,3000,8400,4600,15300,30600,66200
round_k,0,1,3,11,25,76,165
round_shots,800,1300,1100,400,300,400,200,100
round_queries,800,3900,7700,8400,15900,48400,60600,67700
round_k,0,1,3,10,26,60,151,338
round_shots,500,1300,900,200,300,200,200,100
round_queries,500,3900,6300,4200,14100,23400,51400,58500
round_k,0,1,3,10,23,58,128,292
round_shots,500,1100,1000,300,300,300,200,100
round_queries,500,3300,7000,6300,15300,38100,64200,72100
round_k,0,1,3,10,25,63,160,360
round_shots,700,900,1000,300,300,200,200,100
round_queries,700,2700,7000,7500,17100,27800,60200,68300
round_k,0,1,3,12,28,69,150,341
round_shots,400,1100,1000,300,300,200,200
round_queries,400,3300,7000,6300,15300,29800,65800
round_k,0,1,3,10,25,74,164
round_shots,500,1400,800,300,300,200,200,100
round_queries,500,4200,5600,6300,15300,25000,53800,61100
round_k,0,1,3,10,25,62,134,305
round_shots,400,1200,800,300,200,300,300,200
round_queries,400,3600,5600,6300,9800,30300,64500,88600
round_k,0,1,3,10,24,50,107,221
round_shots,600,1300,1000,400,300,200,200,100
round_queries,600,3900,7000,8400,15900,25400,55800,61100
round_k,0,1,3,10,26,63,139,305
round_shots,500,900,1100,300,300,200,200
round_queries,500,2700,7700,6900,16500,32200,74600
round_k,0,1,3,11,27,80,186
round_shots,500,1000,800,300,300,200,200,100
round_queries,500,3000,5600,6300,14700,28600,58200,67700
round_k,0,1,3,10,24,71,145,338
round_shots,500,1800,800,300,300,200,200,100
round_queries,500,5400,5600,6300,14700,27800,61000,65100
round_k,0,1,3,10,24,69,152,325
round_shots,500,600,1100,300,300,300,300
round_queries,500,1800,7700,6900,16500,39300,96900
round_k,0,1,3,11,27,65,161
round_shots,800,1100,900,400,300,200,200,100
round_queries,800,3300,6300,8400,15900,25000,59800,69700
round_k,0,1,3,10,26,62,149,348
round_shots,400,800,1000,300,300,200,200,100
round_queries,400,2400,7000,7500,17700,28200,61800,68100
round_k,0,1,3,12,29,70,154,340
round_shots,500,1000,1100,300,300,300,200,100
round_queries,500,3000,7700,7500,17100,39900,65800,67900
round_k,0,1,3,12,28,66,164,339
round_shots,500,1000,900,400,300,200,200,200
round_queries,500,3000,6300,8400,15900,24200,49400,102600
round_k,0,1,3,10,26,60,123,256
round_shots,600,1200,800,300,300,200,200,100
round_queries,600,3600,5600,6300,14700,23800,52200,55100
round_k,0,1,3,10,24,59,130,275
round_shots,800,900,800,600,300,200,300,100
round_queries,800,2700,5600,12600,17100,26200,80700,60700
round_k,0,1,3,10,28,65,134,303
round_shots,600,1200,900,200,300,200,200,100
round_queries,600,3600,6300,4200,13500,23800,51400,56300
round_k,0,1,3,10,22,59,128,281
round_shots,400,2000,500,400,400,200,100
round_queries,400,6000,9500,19600,53200,64600,71100
round_k,0,1,9,24,66,161,355
round_shots,400,600,1200,300,200,300,300,100
round_queries,400,1800,8400,6900,10600,32700,78300,66300
round_k,0,1,3,11,26,54,130,331
round_shots,600,1000,1100,300,300,200,200,100
round_queries,600,3000,7700,6900,15900,26200,56600,63900
round_k,0,1,3,11,26,65,141,319
round_shots,400,1100,1100,500,300,200,200,100
round_queries,400,3300,7700,10500,16500,25800,61800,71900
round_k,0,1,3,10,27,64,154,359
round_shots,400,1000,1100,200,300,200,200
round_queries,400,3000,7700,5000,16500,32600,71000
round_k,0,1,3,12,27,81,177
round_shots,600,1500,900,300,300,200,200,200
round_queries,600,4500,6300,6300,14700,23800,52600,114600
round_k,0,1,3,10,24,59,131,286
round_shots,500,1300,900,300,300,200,300
round_queries,500,3900,6300,6300,14700,29000,100500
round_k,0,1,3,10,24,72,167
round_shots,300,1500,1200,500,300,200,200,100
round_queries,300,4500,8400,10500,16500,25800,62200,72700
round_k,0,1,3,10,27,64,155,363
round_shots,500,1100,1100,400,300,300,200,100
round_queries,500,3300,7700,8400,15300,38100,64600,72300
round_k,0,1,3,10,25,63,161,361
round_shots,500,1300,900,400,400,200,200,100
round_queries,500,3900,6300,8400,21200,24200,53800,61100
round_k,0,1,3,10,26,60,134,305
round_shots,500,800,1100,400,300,200,200,100
round_queries,500,2400,7700,9200,17100,27000,55000,62700
round_k,0,1,3,11,28,67,137,313
round_shots,800,600,800,300,300,200,200,200
round_queries,800,1800,5600,6300,15300,24200,49400,102600
round_k,0,1,3,10,25,60,123,256
round_shots,700,1400,1100,300,200,300,200,200
round_queries,700,4200,7700,6300,9800,30300,43800,101800
round_k,0,1,3,10,24,50,109,254
round_shots,500,900,1200,400,300,200,200,100
round_queries,500,2700,8400,9200,17100,27400,59000,67500
round_k,0,1,3,11,28,68,147,337
round_shots,800,1500,900,300,300,200,200,100
round_queries,800,4500,6300,6300,15300,24200,53800,60700
round_k,0,1,3,10,25,60,134,303
round_shots,600,1100,1000,500,300,200,200,100
round_queries,600,3300,7000,10500,16500,25800,62200,70100
round_k,0,1,3,10,27,64,155,350
round_shots,600,1900,300,300,200,300,100
round_queries,600,5700,6300,14700,24200,80100,69700
round_k,0,1,10,24,60,133,348
round_shots,500,1100,1200,500,300,300,200
round_queries,500,3300,8400,10500,15900,39300,71800
round_k,0,1,3,10,26,65,179
round_shots,800,900,1200,400,400,200,200
round_queries,800,2700,8400,9200,23600,32600,71400
round_k,0,1,3,11,29,81,178
round_shots,700,900,800,300,300,200,200,100
round_queries,700,2700,5600,6300,14700,23400,47800,51900
round_k,0,1,3,10,24,58,119,259
round_shots,400,400,1100,300,300,200,200,100
round_queries,400,1200,7700,6900,16500,26600,58200,63100
round_k,0,1,3,11,27,66,145,315
round_shots,600,1300,900,400,400,200,200,100
round_queries,600,3900,6300,8400,21200,29000,59000,63300
round_k,0,1,3,10,26,72,147,316
round_shots,800,1300,1100,600,300,200,200,100
round_queries,800,3900,7700,12600,17100,26200,58200,68900
round_k,0,1,3,10,28,65,145,344
round_shots,600,1100,800,400,300,200,200,100
round_queries,600,3300,5600,8400,15900,25000,55800,60300
round_k,0,1,3,10,26,62,139,301
round_shots,700,1200,900,300,300,200,200,100
round_queries,700,3600,6300,6300,15300,29800,63800,71100
round_k,0,1,3,10,25,74,159,355
round_shots,500,1100,1100,200,200,200,200,100
round_queries,500,3300,7700,5000,11000,22200,49400,55300
round_k,0,1,3,12,27,55,123,276
round_shots,600,1100,800,400,400,200,200,100
round_queries,600,3300,5600,8400,21200,24200,54200,64100
round_k,0,1,3,10,26,60,135,320
round_shots,500,1700,800,200,200,300,200,200
round_queries,500,5100,5600,4200,9000,27900,49800,109400
round_k,0,1,3,10,22,46,124,273
round_shots,700,1700,900,300,300,200,300,100
round_queries,700,5100,6300,6300,14700,23400,77700,66700
round_k,0,1,3,10,24,58,129,333
round_shots,500,1400,900,400,300,300,200,100
round_queries,500,4200,6300,8400,15900,36300,55400,59700
round_k,0,1,3,10,26,60,138,298
round_shots,600,1100,1100,500,300,200,200,100
round_queries,600,3300,7700,10500,16500,25400,56200,61900
round_k,0,1,3,10,27,63,140,309
round_shots,400,1200,1000,500,300,200,200,100
round_queries,400,3600,7000,10500,16500,25400,56600,66900
round_k,0,1,3,10,27,63,141,334
round_shots,600,1400,1000,300,300,200,400,100
round_queries,600,4200,7000,6300,15300,24200,98800,70300
round_k,0,1,3,10,25,60,123,351
round_shots,400,1100,1100,500,400,400,300,100
round_queries,400,3300,7700,10500,22000,48400,83700,70100
round_k,0,1,3,10,27,60,139,350
round_shots,700,1100,800,400,300,200,300,100
round_queries,700,3300,5600,8400,15300,23800,80100,67300
round_k,0,1,3,10,25,59,133,336
round_shots,600,1200,1000,400,400,500,300,100
round_queries,600,3600,7000,8400,21200,59500,90300,61500
round_k,0,1,3,10,26,59,150,307
round_shots,500,1500,1000,200,200,200,200,200
round_queries,500,4500,7000,4200,9400,19400,40200,82600
round_k,0,1,3,10,23,48,100,206
round_shots,500,700,1100,900,300,200,200,100
round_queries,500,2100,7700,18900,17700,27400,61000,65900
round_k,0,1,3,10,29,68,152,329
round_shots,600,1200,800,300,300,300,200
round_queries,600,3600,5600,6300,14700,35700,65400
round_k,0,1,3,10,24,59,163
round_shots,500,1200,1000,400,300,200,200,100
round_queries,500,3600,7000,8400,15900,25400,54600,62100
round_k,0,1,3,10,26,63,136,310
round_shots,700,900,1200,300,300,200,200,100
round_queries,700,2700,8400,6900,16500,26200,57800,62900
round_k,0,1,3,11,27,65,144,314
round_shots,600,1100,800,400,300,200,300,100
round_queries,600,3300,5600,8400,15900,25000,81300,69900
round_k,0,1,3,10,26,62,135,349
round_shots,700,1100,900,400,400,200,300
round_queries,700,3300,6300,8400,21200,29000,89100
round_k,0,1,3,10,26,72,148
round_shots,600,800,900,300,300,200,200,100
round_queries,600,2400,6300,6300,15300,29800,64200,74300
round_k,0,1,3,10,25,74,160,371
round_shots,600,1800,500,300,200,200,100
round_queries,600,5400,9500,14700,22600,50600,54900
round_k,0,1,9,24,56,126,274
round_shots,400,900,1100,500,300,200,300,100
round_queries,400,2700,7700,10500,16500,25400,77700,71700
round_k,0,1,3,10,27,63,129,358
round_shots,700,1200,1000,300,300,200,200,100
round_queries,700,3600,7000,6300,15300,29400,63000,68100
round_k,0,1,3,10,25,73,157,340
round_shots,500,1300,800,300,300,200,300,100
round_queries,500,3900,5600,6300,15300,24200,74100,60700
round_k,0,1,3,10,25,60,123,303
round_shots,800,1100,800,200,200,300,200,200
round_queries,800,3300,5600,4200,9000,27900,45000,91000
round_k,0,1,3,10,22,46,112,227
round_shots,500,1300,700,200,300,200,200,100
round_queries,500,3900,4900,4200,14100,23400,51400,58500
round_k,0,1,3,10,23,58,128,292
round_shots,600,1800,500,200,300,200,200,200
round_queries,600,5400,3500,4200,13500,22200,47800,96600
round_k,0,1,3,10,22,55,119,241
round_shots,600,900,1100,200,300,200,200
round_queries,600,2700,7700,5000,16500,32600,76600
round_k,0,1,3,12,27,81,191
round_shots,500,700,1200,500,300,200,200,100
round_queries,500,2100,8400,10500,16500,25800,57000,64900
round_k,0,1,3,10,27,64,142,324
round_shots,400,800,1000,300,300,200,200,100
round_queries,400,2400,7000,6300,14700,24200,53000,60300
round_k,0,1,3,10,24,60,132,301
round_shots,600,1300,1000,300,300,200,200,100
round_queries,600,3900,7000,6300,14700,23800,53000,57300
round_k,0,1,3,10,24,59,132,286
round_shots,600,900,1000,300,300,200,200,100
round_queries,600,2700,7000,6300,15300,24600,53400,56500
round_k,0,1,3,10,25,61,133,282
round_shots,800,1200,1000,400,400,300,200,100
round_queries,800,3600,7000,8400,21200,35700,59000,60700
round_k,0,1,3,10,26,59,147,303
round_shots,800,1100,900,400,300,200,200,200
round_queries,800,3300,6300,8400,15900,24200,49800,103000
round_k,0,1,3,10,26,60,124,257
round_shots,300,1100,800,300,300,200,300,100
round_queries,300,3300,5600,6300,15300,23800,84900,71700
round_k,0,1,3,10,25,59,141,358
round_shots,700,1200,600,200,200,200,200,200
round_queries,700,3600,4200,4200,8600,17800,39800,83400
round_k,0,1,3,10,21,44,99,208
round_shots,800,1200,900,300,300,200,200,100
round_queries,800,3600,6300,6300,15300,29400,63800,73500
round_k,0,1,3,10,25,73,159,367
round_shots,600,1300,1000,400,300,200,200,100
round_queries,600,3900,7000,8400,15900,24200,53800,63900
round_k,0,1,3,10,26,60,134,319
round_shots,600,700,1100,400,300,200,200
round_queries,600,2100,7700,9200,17100,27800,65800
round_k,0,1,3,11,28,69,164
round_shots,500,900,1100,200,300,300,200
round_queries,500,2700,7700,5000,16500,47700,81400
round_k,0,1,3,12,27,79,203
round_shots,600,800,1100,300,300,200,200
round_queries,600,2400,7700,7500,17700,34200,80200
round_k,0,1,3,12,29,85,200
