round_shots,400,1000,200,200,100,100,100
round_queries,400,3000,5000,20200,43700,141500,2123300
round_k,1,12,50,218,707,2570,10616
round_shots,200,1100,200,200,200,100,100
round_queries,200,3300,5400,22200,97800,184300,2348300
round_k,1,13,55,244,921,2852,11741
round_shots,300,1100,200,200,100,100,100,100
round_queries,300,3300,4600,15800,33500,108300,369700,6045300
round_k,1,11,39,167,541,1848,7228,30226
round_shots,200,1000,200,100,100,100,100,100
round_queries,200,3000,5000,10100,30700,104700,380700,5645300
round_k,1,12,50,153,523,1903,6930,28226
round_shots,200,1100,200,200,100,100,100
round_queries,200,3300,5000,19400,43700,132700,1871300
round_k,1,12,48,218,663,2332,9356
round_shots,500,800,200,200,100,300,200,100
round_queries,500,2400,4200,14600,31100,309900,619800,6277100
round_k,1,10,36,155,516,1549,7114,31385
round_shots,300,900,200,200,100,100,100,100
round_queries,300,2700,4600,16200,34100,118100,419300,6349700
round_k,1,11,40,170,590,2096,8383,31748
round_shots,300,1100,200,200,200,100,100
round_queries,300,3300,5000,17000,71000,159900,2389700
round_k,1,12,42,177,799,2982,11948
round_shots,300,800,200,100,300,100,100,100
round_queries,300,2400,4200,7100,65100,89100,310100,4525300
round_k,1,10,35,108,445,1550,5432,22626
round_shots,200,1100,200,200,100,100,100
round_queries,200,3300,5000,21000,43900,142300,2129300
round_k,1,12,52,219,711,2587,10646
round_shots,200,1200,200,100,200,300,100
round_queries,200,3600,5000,10100,60600,354300,1822500
round_k,1,12,50,151,590,2732,9112
round_shots,200,1100,100,200,100,100,100,100
round_queries,200,3300,2700,16200,35900,112500,406300,7157900
round_k,1,13,40,179,562,2031,7910,35789
round_shots,300,1200,200,200,100,100,100
round_queries,300,3600,5000,19800,42700,142700,2110700
round_k,1,12,49,213,713,2582,10553
round_shots,300,1000,100,200,100,100,100,100
round_queries,300,3000,2500,15000,29500,98300,351700,4704300
round_k,1,12,37,147,491,1758,5406,23521
round_shots,500,1200,200,200,100,200,100,100
round_queries,500,3600,5000,16600,28900,180200,430300,7542100
round_k,1,12,41,144,450,2151,8417,37710
round_shots,500,1100,200,200,200,100,100
round_queries,500,3300,5000,19800,81800,164300,2341500
round_k,1,12,49,204,821,3048,11707
round_shots,200,800,200,200,200,100,100,100
round_queries,200,2400,4200,14600,62600,108900,360900,6506300
round_k,1,10,36,156,544,1804,7171,32531
round_shots,400,900,200,200,200,100,100,100
round_queries,400,2700,4200,14200,57000,129500,477900,7195900
round_k,1,10,35,142,647,2389,8023,35979
round_shots,300,1000,300,200,300,100,100,100
round_queries,300,3000,6900,16600,84900,105500,379500,6479500
round_k,1,11,41,141,527,1897,7295,32397
round_shots,300,1000,200,200,100,100,100
round_queries,300,3000,5000,19800,42100,141500,2026300
round_k,1,12,49,210,707,2486,10131
round_shots,200,700,200,200,200,100,200,100
round_queries,200,2100,1800,5400,19400,43500,280600,1806300
