round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,23300,53700,116700,385500
round_k,0,1,5,26,116,268,583,1927
round_shots,100,100,100,100,100,100,100
round_queries,100,500,2100,9100,38100,116300,372100
round_k,0,2,10,45,190,581,1860
round_shots,100,100,100,100,100,100
round_queries,100,500,2300,5900,29900,148500
round_k,0,2,11,29,149,742
round_shots,100,100,100,100,200,100,100
round_queries,100,300,1300,5900,42600,131500,639500
round_k,0,1,6,29,106,657,3197
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,3700,11700,26100,125700,626900
round_k,0,1,6,18,58,130,628,3134
round_shots,100,100,100,100,100,200,100
round_queries,100,300,1100,5300,26300,154200,442100
round_k,0,1,5,26,131,385,2210
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,11300,51700,234900
round_k,0,1,5,19,56,258,1174
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,3300,13700,52100,253100
round_k,0,1,6,16,68,260,1265
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,12500,35300,145500,695300
round_k,0,1,4,17,62,176,727,3476
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,4300,17100,84500,366100
round_k,0,1,6,21,85,422,1830
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,3500,12500,65100,292700
round_k,0,1,6,17,62,325,1463
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,3700,13900,34100,133500,685700
round_k,0,1,4,18,69,170,667,3428
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3900,10900,56700,264100
round_k,0,1,4,19,54,283,1320
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,4300,11700,54900,280300
round_k,0,1,6,21,58,274,1401
round_shots,100,100,100,100,100,200,100
round_queries,100,300,1100,3900,14100,63000,183300
round_k,0,1,5,19,70,157,916
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5700,28900,141700,733900
round_k,0,1,6,28,144,708,3669
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,10300,33900,173300
round_k,0,1,5,22,51,169,866
round_shots,100,100,100,200,100,100,100
round_queries,100,300,1300,11800,14900,53700,241300
round_k,0,1,6,29,74,268,1206
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,11300,40700,205700
round_k,0,1,5,25,56,203,1028
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,4300,13500,63300,262100
round_k,0,1,4,21,67,316,1310
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,13100,26700,133500,696900
round_k,0,1,5,22,65,133,667,3484
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,3900,14100,31500,120100,625300
round_k,0,1,6,19,70,157,600,3126
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,12300,63500,335500
round_k,0,1,5,23,61,317,1677
round_shots,100,100,100,200,100,100,100
round_queries,100,300,1500,7000,21500,112300,579100
round_k,0,1,7,17,107,561,2895
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1300,3700,27800,35900,144300,674500
round_k,0,1,6,18,69,179,721,3372
round_shots,100,100,100,100,200,100,100
round_queries,100,300,1300,5300,32200,88300,450900
round_k,0,1,6,26,80,441,2254
round_shots,100,100,100,100,200,100,100
round_queries,100,300,1100,5300,24200,78300,361900
round_k,0,1,5,26,60,391,1809
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,4300,11700,60900,302500
round_k,0,1,4,21,58,304,1512
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5700,28300,93700,197700
round_k,0,1,6,28,141,468,988
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,13500,49900,230700
round_k,0,1,5,26,67,249,1153
round_shots,100,100,100,100,100,200,100
round_queries,100,300,1300,5700,21500,131000,430900
round_k,0,1,6,28,107,327,2154
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1500,5900,27500,77700,288300
round_k,0,1,7,29,137,388,1441
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5900,24700,60700,131900,475900
round_k,0,1,7,29,123,303,659,2379
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,6900,27700,145500,767900
round_k,0,1,3,12,34,138,727,3839
round_shots,100,100,100,100,200,100
round_queries,100,300,1100,4700,46600,169100
round_k,0,1,5,23,116,845
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,20900,106100,508900
round_k,0,1,6,26,104,530,2544
round_shots,100,100,100,100,200,100,100
round_queries,100,300,900,2700,16200,47700,246300
round_k,0,1,4,13,40,238,1231
round_shots,100,100,100,200,100,100,100
round_queries,100,300,1100,8600,26900,135700,690500
round_k,0,1,5,21,134,678,3452
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,12300,39300,207700
round_k,0,1,5,23,61,196,1038
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,18300,51700,123300,444900
round_k,0,1,5,26,91,258,616,2224
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,11900,52900,247100
round_k,0,1,6,24,59,264,1235
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,11900,49100,219700
round_k,0,1,6,24,59,245,1098
round_shots,100,100,100,100,200,100,100
round_queries,100,300,900,4700,35400,98500,466100
round_k,0,1,4,23,88,492,2330
round_shots,100,100,100,200,100,100
round_queries,100,300,1100,10200,34500,180500
round_k,0,1,5,25,172,902
round_shots,100,100,100,100,100,100,100
round_queries,100,300,700,3300,17500,69500,291100
round_k,0,1,3,16,87,347,1455
round_shots,100,100,100,100,100,200,100,100
round_queries,100,300,900,3500,9500,41000,128700,680100
round_k,0,1,4,17,47,102,643,3400
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,13300,46500,205300
round_k,0,1,5,25,66,232,1026
round_shots,100,100,100,100,200,100,100
round_queries,100,300,1300,5700,25400,78500,377100
round_k,0,1,6,28,63,392,1885
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5700,20500,108700,331900
round_k,0,1,5,28,102,543,1659
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3300,13100,47300,163500
round_k,0,1,4,16,65,236,817
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5300,16100,32900,111900,503100
round_k,0,1,7,26,80,164,559,2515
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5700,26500,84100,352300
round_k,0,1,5,28,132,420,1761
round_shots,100,100,100,200,100,100,100
round_queries,100,300,1300,8600,22100,104900,543100
round_k,0,1,6,21,110,524,2715
round_shots,100,100,100,100,100,100,100
round_queries,100,500,1500,7300,27500,128700,378100
round_k,0,2,7,36,137,643,1890
round_shots,100,100,100,200,100,100,100
round_queries,100,300,900,7400,21700,109500,567900
round_k,0,1,4,18,108,547,2839
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,26300,97500,438300
round_k,0,1,6,26,131,487,2191
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,16700,86900,399500
round_k,0,1,5,25,83,434,1997
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5700,14500,46300,229500
round_k,0,1,5,28,72,231,1147
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,4100,10700,39700,206100
round_k,0,1,6,20,53,198,1030
round_shots,100,100,100,200,100,100
round_queries,100,300,1300,9800,30700,153300
round_k,0,1,6,24,153,766
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,6700,18900,95900,450700
round_k,0,1,6,33,94,479,2253
round_shots,100,100,100,100,100,100,100
round_queries,100,300,900,3500,14500,61300,275500
round_k,0,1,4,17,72,306,1377
round_shots,100,100,100,200,100,100,100
round_queries,100,300,1300,7800,24100,105100,543100
round_k,0,1,6,19,120,525,2715
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,4100,9700,33900,171100
round_k,0,1,6,20,48,169,855
round_shots,200,100,100,200,100,100,100
round_queries,200,300,900,9400,27700,133100,703500
round_k,0,1,4,23,138,665,3517
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1500,5300,17500,70300,363100
round_k,0,1,7,26,87,351,1815
