round_shots,3700,500,300,300,200,200,200,200,200
round_queries,3700,4500,7500,17100,31400,67400,148200,334200,769000
round_k,0,4,12,28,78,168,370,835,1922
round_shots,2900,400,300,400,200,300,300,200,200,100
round_queries,2900,2800,5100,15600,16200,51300,128700,217400,503000,581700
round_k,0,3,8,19,40,85,214,543,1257,2908
round_shots,3300,500,300,600,400,300,300,400,300,100
round_queries,3300,3500,5100,21000,39600,75300,189900,514800,896100,687900
round_k,0,3,8,17,49,125,316,643,1493,3439
round_shots,2100,300,300,300,200,300,400,400,300,100
round_queries,2100,2100,5100,11700,17400,57300,187600,408400,770700,618100
round_k,0,3,8,19,43,95,234,510,1284,3090
round_shots,2200,400,400,300,300,200,200,200,200,100
round_queries,2200,2800,6000,12300,29100,47400,103000,237000,537800,622100
round_k,0,3,7,20,48,118,257,592,1344,3110
round_shots,3500,400,300,300,200,200,200,200,200,200
round_queries,3500,2800,5100,12300,20200,43400,95400,214200,497000,1139400
round_k,0,3,8,20,50,108,238,535,1242,2848
round_shots,3200,400,300,200,300,200,200,200,200,100
round_queries,3200,2800,5100,8200,27300,46200,100600,229400,524600,540500
round_k,0,3,8,20,45,115,251,573,1311,2702
round_shots,3200,400,300,300,400,200,300,200,200
round_queries,3200,2800,5100,11700,35600,44600,146100,290600,686600
round_k,0,3,8,19,44,111,243,726,1716
round_shots,2700,300,300,200,300,200,200,200,200,200
round_queries,2700,2100,5100,8200,24900,43000,91000,206600,476200,1060200
round_k,0,3,8,20,41,107,227,516,1190,2650
round_shots,3800,600,200,300,400,400,400,300,300,100
round_queries,3800,4200,3400,10500,30000,65200,173200,357900,752700,509900
round_k,0,3,8,17,37,81,216,596,1254,2549
round_shots,2600,400,300,300,200,200,200,200,200,200
round_queries,2600,2800,5100,12300,23000,49000,101400,222600,489000,1021000
round_k,0,3,8,20,57,122,253,556,1222,2552
round_shots,2300,200,200,200,200,200,300,300,200,200
round_queries,2300,1400,3000,6200,13800,29400,95100,245100,412200,971000
round_k,0,3,7,15,34,73,158,408,1030,2427
round_shots,2000,400,300,300,300,200,200,200,200,200
round_queries,2000,2800,5100,11700,24300,33400,70200,156200,323800,728600
round_k,0,3,8,19,40,83,175,390,809,1821
round_shots,3700,500,400,200,200,200,200,200,200,100
round_queries,3700,3500,6800,9800,19800,42600,90200,195400,453000,529300
round_k,0,3,8,24,49,106,225,488,1132,2646
round_shots,3100,500,400,300,300,200,200,200,200,100
round_queries,3100,3500,6800,14700,33900,50600,119000,265800,615000,700500
round_k,0,3,8,24,56,126,297,664,1537,3502
round_shots,3100,400,400,300,300,300,200,200,200,200
