round_shots,500,200,200,100,100
round_queries,500,1400,7000,18300,410500
round_k,3,17,91,402,2052
round_shots,700,200,100,100,100
round_queries,700,1400,3100,10300,209900
round_k,3,15,51,217,1049
round_shots,500,200,100,100,100,100
round_queries,500,1400,2500,7700,25100,556300
round_k,3,12,38,125,537,2781
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,5900,23100,513300
round_k,2,9,29,115,487,2566
round_shots,700,200,200,100,100,100
round_queries,700,1400,5000,10100,30500,612700
round_k,3,12,50,152,677,3063
round_shots,300,100,200,200,100,100
round_queries,300,500,3400,14600,29900,606500
round_k,2,8,36,149,589,3032
round_shots,600,100,200,100,100,100
round_queries,600,500,3400,6700,27500,676500
round_k,2,8,33,137,626,3382
round_shots,500,200,200,100,100
round_queries,500,1000,3400,7900,156300
round_k,2,8,39,167,781
round_shots,500,200,100,100,100,100
round_queries,500,1000,2300,7900,26500,522900
round_k,2,11,39,132,609,2614
round_shots,500,200,100,100,100,100
round_queries,500,1000,1700,5300,21700,506300
round_k,2,8,26,108,478,2531
round_shots,600,200,100,100,100,100
round_queries,600,1000,1700,5300,16700,354300
round_k,2,8,26,83,345,1771
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7700,146900
round_k,2,11,38,163,734
round_shots,500,200,100,100,100
round_queries,500,1000,2300,7100,141700
round_k,2,11,35,151,708
round_shots,600,200,200,100,100
round_queries,600,1000,4600,10700,202500
round_k,2,11,53,219,1012
round_shots,300,100,100,200,100
round_queries,300,500,1700,11000,144300
round_k,2,8,27,157,721
round_shots,600,100,200,100,100,100
round_queries,600,500,3400,6500,25900,603300
round_k,2,8,32,129,570,3016
round_shots,600,200,100,100,100,100
round_queries,600,1000,2500,8500,30500,747700
round_k,2,12,42,152,684,3738
round_shots,300,200,200,200,100
round_queries,300,1000,3800,14200,165900
round_k,2,9,35,184,829
round_shots,600,200,100,100,100
round_queries,600,1400,3100,10700,154300
round_k,3,15,53,167,771
round_shots,300,100,100,200,100,100
round_queries,300,500,1700,10600,24100,434100
round_k,2,8,26,120,430,2170
round_shots,600,200,100,100,100
round_queries,600,1400,3100,9300,177100
round_k,3,15,46,185,885
round_shots,500,100,100,100,100
round_queries,500,700,2300,8900,165500
round_k,3,11,44,176,827
round_shots,500,200,200,100,100
round_queries,500,1000,4600,10100,181500
round_k,2,11,50,209,907
round_shots,700,200,100,100,100,100
round_queries,700,1400,2900,9100,28900,582500
round_k,3,14,45,144,583,2912
round_shots,500,100,200,100,100,100
round_queries,500,500,3400,6700,21100,256700
round_k,2,8,33,105,335,1283
round_shots,400,200,200,100,100,100
round_queries,400,1000,3400,6100,20500,467700
round_k,2,8,30,102,446,2338
round_shots,600,200,200,100,100
round_queries,600,1400,5800,13900,239700
round_k,3,14,69,257,1198
round_shots,600,200,200,100,100,100
round_queries,600,1000,3800,7300,30900,746100
round_k,2,9,36,154,680,3730
round_shots,400,100,200,100,100,100
round_queries,400,500,3400,7100,27100,470700
round_k,2,8,35,135,507,2353
round_shots,600,200,100,100,100
round_queries,600,1000,2300,8700,169500
round_k,2,11,43,183,847
round_shots,300,200,100,100,100,100
round_queries,300,1000,1700,6500,21900,482700
round_k,2,8,32,109,469,2413
round_shots,500,200,100,200,100,100
round_queries,500,1000,1900,12200,34100,531700
round_k,2,9,30,170,566,2658
round_shots,600,200,100,100,100
round_queries,600,1400,3100,12300,226300
round_k,3,15,61,238,1131
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8300,157700
round_k,2,11,41,174,788
round_shots,400,200,200,100,100,100
round_queries,400,1000,3800,7900,32500,649700
round_k,2,9,39,162,643,3248
round_shots,600,300,100,100,100,100
round_queries,600,1500,2300,7100,25900,622100
round_k,2,11,35,129,585,3110
round_shots,600,200,100,100,100,100
round_queries,600,1000,1700,6100,19300,427100
round_k,2,8,30,96,417,2135
round_shots,500,200,100,100,100,100
round_queries,500,1000,1700,5300,18500,360300
round_k,2,8,26,92,353,1801
round_shots,500,300,200,100,100,100
round_queries,500,1500,3800,7700,24100,503300
round_k,2,9,38,120,508,2516
round_shots,600,200,100,100,100
round_queries,600,1400,3100,10700,194100
round_k,3,15,53,210,970
round_shots,400,100,200,100,100,100
round_queries,400,500,3400,7300,26900,642500
round_k,2,8,36,134,606,3212
round_shots,400,200,200,100,100,100
round_queries,400,1000,3400,8300,33100,547300
round_k,2,8,41,165,639,2736
round_shots,700,200,100,100,100,100
round_queries,700,1400,2500,7900,30300,739900
round_k,3,12,39,151,687,3699
round_shots,300,200,100,200,100,100
round_queries,300,1000,1900,12200,25700,401300
round_k,2,9,30,128,483,2006
round_shots,300,200,200,100,100
round_queries,300,1000,3400,8900,154300
round_k,2,8,44,164,771
round_shots,600,200,200,100,100
round_queries,600,1400,6200,14700,324900
round_k,3,15,73,326,1624
round_shots,600,200,200,100,100,100
round_queries,600,1000,3400,6100,22900,461900
round_k,2,8,30,114,443,2309
round_shots,500,200,200,100,100,100
round_queries,500,1000,3400,8500,27300,641100
round_k,2,8,42,136,591,3205
round_shots,500,200,100,100,100,100
round_queries,500,1400,2500,8900,29700,738500
round_k,3,12,44,148,679,3692
round_shots,500,100,100,200,100
round_queries,500,700,2300,14200,201500
round_k,3,11,35,208,1007
round_shots,500,200,200,100,100
round_queries,500,1400,6200,12700,152700
round_k,3,15,63,191,763
round_shots,500,200,200,100,100
round_queries,500,1400,6200,17700,412100
round_k,3,15,88,399,2060
round_shots,400,200,200,100,100,100
round_queries,400,1000,3400,6700,22300,501500
round_k,2,8,33,111,485,2507
round_shots,400,100,100,100,100,100
round_queries,400,500,1700,5900,23900,315100
round_k,2,8,29,119,377,1575
round_shots,700,200,200,100,100,100
round_queries,700,1000,3800,7300,22300,468500
round_k,2,9,36,111,449,2342
round_shots,700,200,200,100,100
round_queries,700,1400,5000,9500,142500
round_k,3,12,47,174,712
round_shots,300,100,200,100,100,100
round_queries,300,500,3400,6700,23500,337300
round_k,2,8,33,117,369,1686
round_shots,300,200,200,100,100,100
round_queries,300,1000,3800,7900,30500,737500
round_k,2,9,39,152,678,3687
round_shots,500,200,100,100,100,100
round_queries,500,1400,2300,7700,29700,673300
round_k,3,11,38,148,632,3366
round_shots,400,200,100,200,100
round_queries,400,1000,1900,13000,176900
round_k,2,9,32,189,884
round_shots,500,200,100,100,100,100
round_queries,500,1000,1700,5900,19900,444900
round_k,2,8,29,99,435,2224
round_shots,600,200,100,100,100,100
round_queries,600,1000,1700,5900,23500,531300
round_k,2,8,29,117,507,2656
round_shots,300,200,200,100,100,100
round_queries,300,1000,3800,7900,28700,662700
round_k,2,9,39,143,618,3313
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6700,24100,568100
round_k,2,9,33,120,536,2840
round_shots,700,200,100,100,100
round_queries,700,1400,2500,7900,147900
round_k,3,12,39,169,739
round_shots,400,200,200,100,100
round_queries,400,1000,3800,8500,161100
round_k,2,9,42,171,805
round_shots,500,200,100,100,100
round_queries,500,1400,2500,9500,163300
round_k,3,12,47,203,816
round_shots,500,100,100,100,100
round_queries,500,700,2300,8900,157700
round_k,3,11,44,170,788
round_shots,400,200,100,200,100
round_queries,400,1000,1900,13400,155500
round_k,2,9,33,155,777
round_shots,600,200,100,100,100
round_queries,600,1000,2300,8900,142300
round_k,2,11,44,159,711
round_shots,600,200,100,100,100,100
round_queries,600,1000,2500,9100,32700,762100
round_k,2,12,45,163,699,3810
round_shots,600,200,200,100,100,100
round_queries,600,1000,3800,7100,25700,583700
round_k,2,9,35,128,551,2918
round_shots,600,200,200,100,100
round_queries,600,1400,5000,11500,246100
round_k,3,12,57,251,1230
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6700,27500,649900
round_k,2,9,33,137,600,3249
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6700,23900,530300
round_k,2,9,33,119,509,2651
round_shots,600,200,100,100,100,100
round_queries,600,1000,1900,6100,18500,202100
round_k,2,9,30,92,288,1010
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,7300,24300,595500
round_k,2,9,36,121,555,2977
round_shots,600,200,100,100,100,100
round_queries,600,1000,1900,6100,19300,399300
round_k,2,9,30,96,401,1996
round_shots,700,200,100,100,100,100
round_queries,700,1400,2900,9500,31700,715500
round_k,3,14,47,158,657,3577
round_shots,300,100,200,100,100,100
round_queries,300,500,3400,6700,22300,436900
round_k,2,8,33,111,450,2184
round_shots,700,200,200,100,100
round_queries,700,1400,5000,9100,153700
round_k,3,12,45,170,768
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,21700,349300
round_k,2,9,30,108,375,1746
round_shots,500,200,200,100,100
round_queries,500,1000,4600,11500,161100
round_k,2,11,57,180,805
round_shots,300,200,100,200,100
round_queries,300,1000,1700,12200,143900
round_k,2,8,30,163,719
round_shots,400,200,200,100,100,100
round_queries,400,1000,3400,5900,22700,521100
round_k,2,8,29,113,494,2605
round_shots,400,200,200,100,100,100
round_queries,400,1000,3400,8500,28900,598900
round_k,2,8,42,144,600,2994
round_shots,500,200,200,100,100,100
round_queries,500,1000,3400,7300,30700,558500
round_k,2,8,36,153,565,2792
round_shots,500,200,100,100,100
round_queries,500,1400,2500,8700,162700
round_k,3,12,43,175,813
round_shots,400,200,200,100,100,100
