round_shots,1200,300,200,200,200,100,100
round_queries,1200,1500,3800,14200,64200,147500,2209300
round_k,2,9,35,160,737,2671,11046
round_shots,600,200,200,200,200,100,100,100
round_queries,600,1000,3000,9400,38600,84500,271700,3800300
round_k,2,7,23,96,422,1358,4647,19001
round_shots,1200,200,200,200,200,200,100,100
round_queries,1200,600,1800,6600,23000,94200,211700,2601700
round_k,1,4,16,57,235,1058,3672,13008
round_shots,900,300,200,200,100,200,100,100
round_queries,900,1500,3800,13000,27500,179800,373500,6405900
round_k,2,9,32,137,449,1867,7245,32029
round_shots,900,200,200,100,100,100,100,100
round_queries,900,1000,3800,6100,18300,57700,174700,2585500
round_k,2,9,30,91,288,873,3230,12927
round_shots,800,400,200,200,100,100,100,100
round_queries,800,2000,5400,19400,40700,136100,499100,6172500
round_k,2,13,48,203,680,2495,9228,30862
round_shots,1100,300,200,200,100,100,100,100
round_queries,1100,1500,3800,13000,21500,65100,212900,3375500
round_k,2,9,32,107,325,1064,4028,16877
round_shots,1200,200,200,200,200,100,200,200
round_queries,1200,600,1800,6600,27000,48700,328600,5403000
round_k,1,4,16,67,243,821,3311,13507
round_shots,1000,300,200,300,300,100,200,100
round_queries,1000,1500,3800,21300,76500,102500,627000,5039500
round_k,2,9,35,127,512,1567,6701,25197
round_shots,700,300,200,200,200,200,100
round_queries,700,1500,4600,17400,76200,298600,2989100
round_k,2,11,43,190,746,2912,14945
round_shots,700,300,200,200,100,100,100,100
round_queries,700,1500,4600,15800,33100,104900,367300,6260500
round_k,2,11,39,165,524,1836,7042,31302
round_shots,800,300,200,100,100,100,100,100
round_queries,800,1500,4600,8500,25900,86100,283500,4871500
round_k,2,11,42,129,430,1417,5547,24357
round_shots,1100,400,200,200,100,100,100,100
round_queries,1100,2000,4600,19400,41900,136900,501100,7186900
round_k,2,11,48,209,684,2505,10328,35934
round_shots,800,300,200,200,100,200,100
round_queries,800,1500,4600,18600,38700,233000,2098700
round_k,2,11,46,193,582,2549,10493
round_shots,800,500,200,200,100,100,100
round_queries,800,2500,5400,18600,39100,134500,1972900
round_k,2,13,46,195,672,2492,9864
round_shots,700,300,200,200,300,200,100,100
