round_shots,100,100,100,100,100,100
round_queries,100,300,1500,6700,31900,161900
round_k,0,1,7,33,159,809
round_shots,200,100,100,100,100,100
round_queries,200,500,1500,7100,34700,177700
round_k,0,2,7,35,173,888
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,25100,127500,666700
round_k,0,1,5,24,125,637,3333
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,26500,136100,707300
round_k,0,1,5,25,132,680,3536
round_shots,200,100,100,100,100,100
round_queries,200,700,2900,13500,68700,358500
round_k,0,3,14,67,343,1792
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,5500,27900,143700,742300
round_k,0,1,5,27,139,718,3711
round_shots,200,100,100,100,100,100
round_queries,200,700,2500,10700,53100,277500
round_k,0,3,12,53,265,1387
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,21900,108100,555900
round_k,0,1,5,22,109,540,2779
round_shots,100,100,100,100,100,100
round_queries,100,500,1500,5900,30300,151100
round_k,0,2,7,29,151,755
round_shots,200,100,100,100,100,100,100
round_queries,200,300,700,3300,16100,78300,399900
round_k,0,1,3,16,80,391,1999
round_shots,200,100,100,100,100,100,100
round_queries,200,300,700,2300,10900,52300,270700
round_k,0,1,3,11,54,261,1353
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,19300,96100,488900
round_k,0,1,5,20,96,480,2444
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1500,5300,27100,138700,725100
round_k,0,1,7,26,135,693,3625
round_shots,200,100,100,100,100,100
round_queries,200,500,1500,5700,26100,127300
round_k,0,2,7,28,130,636
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4100,20900,103100,536900
round_k,0,1,5,20,104,515,2684
round_shots,200,100,100,100,100,100,100
round_queries,200,300,700,3300,13900,70100,359100
round_k,0,1,3,16,69,350,1795
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,5100,23300,115500,602700
round_k,0,1,5,25,116,577,3013
round_shots,100,100,100,100,100,100,100
round_queries,100,300,700,2300,10300,54100,283700
round_k,0,1,3,11,51,270,1418
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,24700,122700,638300
round_k,0,1,5,24,123,613,3191
round_shots,200,100,100,100,100,100
round_queries,200,700,2700,11700,59700,305100
round_k,0,3,13,58,298,1525
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4100,18100,90100,465900
round_k,0,1,5,20,90,450,2329
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4100,18700,94100,495900
round_k,0,1,5,20,93,470,2479
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,3700,17100,87500,455100
round_k,0,1,5,18,85,437,2275
round_shots,200,100,100,100,100,100
round_queries,200,300,1500,6700,32300,163300
round_k,0,1,7,33,161,816
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,23500,119300,615100
round_k,0,1,5,24,117,596,3075
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4500,20100,98300,487500
round_k,0,1,5,22,100,491,2437
round_shots,100,100,100,100,100,100,100
round_queries,100,300,700,3300,15700,81500,417500
round_k,0,1,3,16,78,407,2087
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,20900,106300,559100
round_k,0,1,5,22,104,531,2795
round_shots,200,100,100,100,100,100
round_queries,200,500,1900,7900,40500,209700
round_k,0,2,9,39,202,1048
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,5500,27900,137500,715100
round_k,0,1,5,27,139,687,3575
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,20700,106500,559100
round_k,0,1,5,22,103,532,2795
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,18500,89300,463300
round_k,0,1,5,20,92,446,2316
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,23700,123500,642900
round_k,0,1,5,22,118,617,3214
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,20300,104700,549100
round_k,0,1,5,20,101,523,2745
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4500,22900,112900,584500
round_k,0,1,5,22,114,564,2922
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,20900,105700,551500
round_k,0,1,5,22,104,528,2757
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,24700,127700,658100
round_k,0,1,5,25,123,638,3290
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,22700,113300,593900
round_k,0,1,5,23,113,566,2969
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4500,21900,130100,681700
round_k,0,1,5,22,109,650,3408
round_shots,200,100,100,100,100,100
round_queries,200,700,3300,16700,85700,438900
round_k,0,3,16,83,428,2194
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,23700,122700,632500
round_k,0,1,5,24,118,613,3162
round_shots,200,100,100,100,100,100,100
round_queries,200,300,700,2900,14100,69900,359100
round_k,0,1,3,14,70,349,1795
round_shots,100,100,100,100,100,100,100
round_queries,100,300,700,3100,13100,64100,332500
round_k,0,1,3,15,65,320,1662
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4100,18300,93700,492900
round_k,0,1,5,20,91,468,2464
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5100,23900,120700,627700
round_k,0,1,5,25,119,603,3138
round_shots,200,100,100,100,100,100
round_queries,200,500,2300,11100,55300,285300
round_k,0,2,11,55,276,1426
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,20300,98900,508900
round_k,0,1,5,20,101,494,2544
round_shots,100,100,100,100,100,100
round_queries,100,300,1500,6500,33500,166700
round_k,0,1,7,32,167,833
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,25700,131300,686500
round_k,0,1,5,26,128,656,3432
round_shots,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13100,65100,338500
round_k,0,1,3,14,65,325,1692
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,5500,25900,133900,689100
round_k,0,1,5,27,129,669,3445
round_shots,100,100,100,100,100,100,100
